epoch,loss,train_seconds,validation_seconds,validation_auroc,validation_auprc,validation_macro_f1,validation_threshold,timestamp_utc
0,3.1112797260284424,0.7930791800000065,0.1382654909999701,0.4825968854253201,0.044210854592631375,0.47297937098410553,0.95,2026-09-09T15:20:17.681550+00:00
1,271.2594909667969,0.29146413899997015,,,,,,2026-09-09T15:20:18.223356+00:00
2,71.90288543701172,0.28843526400004293,,,,,,2026-09-09T15:20:18.512181+00:00
3,6.260305404663086,0.29284167800000205,,,,,,2026-09-09T15:20:18.805399+00:00
4,22.729358673095703,0.29116185499998437,0.14354490699997768,0.7001098220054666,0.07779813590902965,0.3090774943037364,0.95,2026-09-09T15:20:19.096950+00:00
5,7.503362655639648,0.27900844300000927,,,,,,2026-09-09T15:20:19.592905+00:00
6,2.010432243347168,0.2893244960000061,,,,,,2026-09-09T15:20:19.882611+00:00
7,0.8882465362548828,0.2884235550000085,,,,,,2026-09-09T15:20:20.171513+00:00
8,2.4761548042297363,0.28817922799998996,,,,,,2026-09-09T15:20:20.460087+00:00
9,2.1158759593963623,0.28791685100003406,0.14238087000001087,0.8186512802834651,0.5342806374187086,0.7812839745760214,0.5499999999999999,2026-09-09T15:20:20.748394+00:00
10,1.0410282611846924,0.2760794690000239,,,,,,2026-09-09T15:20:21.272245+00:00
11,0.37392932176589966,0.2891187500000001,,,,,,2026-09-09T15:20:21.561740+00:00
12,0.45049864053726196,0.28783276299998306,,,,,,2026-09-09T15:20:21.849960+00:00
13,0.5392811298370361,0.2892686849999677,,,,,,2026-09-09T15:20:22.139602+00:00
14,0.5582950711250305,0.2892343500000152,0.14193246400003545,0.9372910697567527,0.41715003346059293,0.7848977433209157,0.9,2026-09-09T15:20:22.429217+00:00
15,0.530850887298584,0.2750488470000505,,,,,,2026-09-09T15:20:22.946031+00:00
16,0.4881426692008972,0.28849410100002615,,,,,,2026-09-09T15:20:23.234918+00:00
17,0.44908013939857483,0.28949792200000957,,,,,,2026-09-09T15:20:23.524803+00:00
18,0.40986955165863037,0.289719888000036,,,,,,2026-09-09T15:20:23.814922+00:00
19,0.41646286845207214,0.2892661759999555,0.14208030800000415,0.9475307002424372,0.8441031479746237,0.8946612809681158,0.65,2026-09-09T15:20:24.104583+00:00
20,0.4082013666629791,0.2770290509999995,,,,,,2026-09-09T15:20:24.621072+00:00
21,0.42383691668510437,0.2909415690000401,,,,,,2026-09-09T15:20:24.912389+00:00
22,0.416993111371994,0.2899626089999856,,,,,,2026-09-09T15:20:25.202736+00:00
23,0.40134429931640625,0.2906037710000078,,,,,,2026-09-09T15:20:25.493723+00:00
24,0.38349202275276184,0.2906413640000096,0.14440517299999556,0.9488851088518796,0.7952827476561707,0.8736475295712243,0.7999999999999999,2026-09-09T15:20:25.784765+00:00
25,0.3652094304561615,0.27734738399999515,,,,,,2026-09-09T15:20:26.301600+00:00
26,0.34776124358177185,0.29195942000001196,,,,,,2026-09-09T15:20:26.593997+00:00
27,0.33251988887786865,0.29121794200000295,,,,,,2026-09-09T15:20:26.885587+00:00
28,0.32016047835350037,0.2916192519999754,,,,,,2026-09-09T15:20:27.177651+00:00
29,0.31122100353240967,0.2913514300000202,0.14439288500000202,0.9446911515110415,0.756734019358991,0.8685914732865623,0.85,2026-09-09T15:20:27.469404+00:00
30,0.30603939294815063,0.2795433470000148,,,,,,2026-09-09T15:20:27.997942+00:00
31,0.3044191896915436,0.2928407009999887,,,,,,2026-09-09T15:20:28.291172+00:00
32,0.30500417947769165,0.2916351270000064,,,,,,2026-09-09T15:20:28.583201+00:00
33,0.2999378740787506,0.2940824579999912,,,,,,2026-09-09T15:20:28.877666+00:00
34,0.29336774349212646,0.29221058500002073,0.14467725999998038,0.9485716546201535,0.83055823190958,0.8916588428590931,0.85,2026-09-09T15:20:29.170266+00:00
35,0.28379175066947937,0.28155552999999145,,,,,,2026-09-09T15:20:29.701642+00:00
36,0.27579325437545776,0.2944448079999802,,,,,,2026-09-09T15:20:29.996478+00:00
37,0.2746170461177826,0.2942943170000376,,,,,,2026-09-09T15:20:30.291148+00:00
38,0.27718406915664673,0.2927507179999793,,,,,,2026-09-09T15:20:30.584299+00:00
39,0.27447664737701416,0.29243803599996454,0.14449207799998476,0.9435620381306523,0.8172186691819595,0.8776820954431288,0.9,2026-09-09T15:20:30.877120+00:00
40,0.2678094804286957,0.2808518250000134,,,,,,2026-09-09T15:20:31.409784+00:00
41,0.2618246078491211,0.2930122079999933,,,,,,2026-09-09T15:20:31.703219+00:00
42,0.2582666873931885,0.29343791700000565,,,,,,2026-09-09T15:20:31.997045+00:00
43,0.2566501498222351,0.29309811799998897,,,,,,2026-09-09T15:20:32.290528+00:00
44,0.2559540569782257,0.29330791199998885,0.14430012799999758,0.9487419446595047,0.8492830906335412,0.9000563215050515,0.9,2026-09-09T15:20:32.584224+00:00
45,0.2555152475833893,0.28232147700003907,,,,,,2026-09-09T15:20:33.121920+00:00
46,0.25439438223838806,0.29476010999997015,,,,,,2026-09-09T15:20:33.417184+00:00
47,0.252147912979126,0.29500939600001175,,,,,,2026-09-09T15:20:33.712660+00:00
48,0.24935470521450043,0.29347103599997126,,,,,,2026-09-09T15:20:34.006631+00:00
49,0.24728165566921234,0.2953025840000123,0.14447993499999257,0.9509933899585388,0.8552017459241252,0.898721129339429,0.85,2026-09-09T15:20:34.302414+00:00
50,0.24480831623077393,0.2830400990000044,,,,,,2026-09-09T15:20:34.836922+00:00
51,0.24260960519313812,0.296819806999963,,,,,,2026-09-09T15:20:35.134219+00:00
52,0.240248441696167,0.29437508799998113,,,,,,2026-09-09T15:20:35.429063+00:00
53,0.23769572377204895,0.2953537420000316,,,,,,2026-09-09T15:20:35.724899+00:00
54,0.23546762764453888,0.29547943799997256,0.14618155400000887,0.955250264194447,0.8573176988217938,0.9007905575608013,0.85,2026-09-09T15:20:36.020867+00:00
55,0.23320579528808594,0.28505372699999043,,,,,,2026-09-09T15:20:36.572347+00:00
56,0.23118676245212555,0.29609003199999506,,,,,,2026-09-09T15:20:36.868918+00:00
57,0.22951708734035492,0.2973417470000186,,,,,,2026-09-09T15:20:37.166705+00:00
58,0.22813458740711212,0.29836579899995286,,,,,,2026-09-09T15:20:37.465528+00:00
59,0.2264050841331482,0.29655862499998875,0.14606315999998287,0.9620942660857215,0.8591215780658505,0.8978510185255658,0.9,2026-09-09T15:20:37.762565+00:00
60,0.2242310345172882,0.2832847010000137,,,,,,2026-09-09T15:20:38.297513+00:00
61,0.22174902260303497,0.297778744000027,,,,,,2026-09-09T15:20:38.595768+00:00
62,0.21984481811523438,0.29819931100001895,,,,,,2026-09-09T15:20:38.894486+00:00
63,0.21848629415035248,0.2987234650000232,,,,,,2026-09-09T15:20:39.193689+00:00
64,0.21723181009292603,0.2982444239999609,0.1457059819999813,0.9617585837293894,0.8590817260658966,0.9006673355070165,0.9,2026-09-09T15:20:39.492404+00:00
65,0.21573945879936218,0.2868463459999475,,,,,,2026-09-09T15:20:40.032694+00:00
66,0.21473151445388794,0.3002376070000423,,,,,,2026-09-09T15:20:40.333408+00:00
67,0.21380822360515594,0.30046036300001333,,,,,,2026-09-09T15:20:40.634339+00:00
68,0.21270763874053955,0.29962993099996993,,,,,,2026-09-09T15:20:40.934445+00:00
69,0.21164073050022125,0.3005269479999697,0.1457346259999781,0.9631796767126488,0.8572731382643652,0.8981230485164846,0.9,2026-09-09T15:20:41.235454+00:00
70,0.21072281897068024,0.28843728100002863,,,,,,2026-09-09T15:20:41.778617+00:00
71,0.2100568413734436,0.30092056399996636,,,,,,2026-09-09T15:20:42.080046+00:00
72,0.2094704955816269,0.29983802100002777,,,,,,2026-09-09T15:20:42.380307+00:00
73,0.20869135856628418,0.3015956410000058,,,,,,2026-09-09T15:20:42.682284+00:00
74,0.20780934393405914,0.3021564249999642,0.1480587009999681,0.9633288688710184,0.8614819469891882,0.899789420004764,0.85,2026-09-09T15:20:42.984872+00:00
75,0.2070678174495697,0.28735883199999535,,,,,,2026-09-09T15:20:43.527448+00:00
76,0.2066391110420227,0.30298945699996693,,,,,,2026-09-09T15:20:43.830811+00:00
77,0.20627044141292572,0.3017444330000103,,,,,,2026-09-09T15:20:44.132971+00:00
78,0.20592710375785828,0.3022739369999954,,,,,,2026-09-09T15:20:44.435624+00:00
79,0.2054523080587387,0.2999247779999905,0.14796212999999625,0.9639188560427533,0.8643002827351423,0.9033902676109424,0.95,2026-09-09T15:20:44.735992+00:00
80,0.2048540562391281,0.2903738960000055,,,,,,2026-09-09T15:20:45.286036+00:00
81,0.2043278068304062,0.3033281969999848,,,,,,2026-09-09T15:20:45.589758+00:00
82,0.2037678211927414,0.3031610400000204,,,,,,2026-09-09T15:20:45.893313+00:00
83,0.20328019559383392,0.30311096399998405,,,,,,2026-09-09T15:20:46.196846+00:00
84,0.2026842087507248,0.3033747640000115,0.14840893300004154,0.9643792419456014,0.8636697647855082,0.903488381537162,0.95,2026-09-09T15:20:46.500629+00:00
85,0.20199555158615112,0.2905603019999603,,,,,,2026-09-09T15:20:47.049687+00:00
86,0.20150579512119293,0.3043843709999692,,,,,,2026-09-09T15:20:47.354544+00:00
87,0.2009275257587433,0.3050133500000243,,,,,,2026-09-09T15:20:47.660052+00:00
88,0.2003285437822342,0.305615419999981,,,,,,2026-09-09T15:20:47.966054+00:00
89,0.19958531856536865,0.3051986349999538,0.15036954999999352,0.9646553981377353,0.8652464238600862,0.9046934266068767,0.95,2026-09-09T15:20:48.271634+00:00
90,0.1990906447172165,0.29297447099997953,,,,,,2026-09-09T15:20:48.825576+00:00
91,0.19845886528491974,0.30540226799996617,,,,,,2026-09-09T15:20:49.131413+00:00
92,0.1983170360326767,0.3056302599999867,,,,,,2026-09-09T15:20:49.437455+00:00
93,0.1973879635334015,0.3083704840000223,,,,,,2026-09-09T15:20:49.746241+00:00
94,0.1970212310552597,0.30684658000001264,0.15047746900000902,0.9651933941027655,0.8682525817808966,0.903488381537162,0.95,2026-09-09T15:20:50.053491+00:00
95,0.19663366675376892,0.2943368709999845,,,,,,2026-09-09T15:20:50.606935+00:00
96,0.19607801735401154,0.306751050999992,,,,,,2026-09-09T15:20:50.914096+00:00
97,0.19584231078624725,0.30506542200004105,,,,,,2026-09-09T15:20:51.219583+00:00
98,0.19524431228637695,0.30814071999998305,,,,,,2026-09-09T15:20:51.528114+00:00
99,0.19466951489448547,0.308848538999996,0.15056985600000417,0.9642526546597118,0.8710427187629115,0.9042381265477426,0.95,2026-09-09T15:20:51.837352+00:00
