dataset,ratio,seed,auprc,auc,f1_macro,fraud_precision,fraud_recall,fraud_f1,g_mean
amazon,10,2,0.5248168720468096,0.9005730254537879,0.7534819925036667,0.6260162601626016,0.4695121951219512,0.5365853658536586,0.6780879326145396
amazon,10,42,0.5382003661568799,0.9092369345810788,0.7651001500555656,0.56656346749226,0.5579268292682927,0.5622119815668203,0.7350987211003255
amazon,10,72,0.49825553038649056,0.9034285588978614,0.7543287714189719,0.569023569023569,0.5152439024390244,0.5408,0.7074037549197022
amazon,20,2,0.3866554005419927,0.8110043912306958,0.705459671572012,0.38276553106212424,0.5823170731707317,0.4619105199516324,0.7362090878842705
amazon,20,42,0.5529025511151231,0.9082659024499888,0.7490809350033191,0.6351931330472103,0.45121951219512196,0.5276292335115864,0.6652809746864317
amazon,20,72,0.5540440168517325,0.9046072288099819,0.7670953040639867,0.5431754874651811,0.5945121951219512,0.5676855895196506,0.7567014986340158
amazon,30,2,0.5460692346656721,0.8988427106118667,0.7528570627680425,0.5699658703071673,0.5091463414634146,0.537842190016103,0.7033681985202842
amazon,30,42,0.5584204383600465,0.9096974381746514,0.7807148925066807,0.6483516483516484,0.5396341463414634,0.589018302828619,0.7266291929497739
amazon,30,72,0.5297534909979735,0.8991654742912905,0.7589789777923571,0.5261707988980716,0.5823170731707317,0.552821997105644,0.7482008272176854
amazon,40,2,0.5642645304307483,0.9097481483918008,0.7747609663029456,0.5787878787878787,0.5823170731707317,0.5805471124620061,0.7510817231557343
amazon,40,42,0.5545446346164646,0.9041117762829686,0.7619953269422396,0.558282208588957,0.5548780487804879,0.5565749235474006,0.7327471655565466
amazon,40,72,0.5325946041583143,0.8962078351397134,0.7662543872334349,0.6027874564459931,0.5274390243902439,0.5626016260162602,0.7168849742090646
comp,10,2,0.08999912140293202,0.4265093649125441,0.4423206720385446,0.08404558404558404,0.26339285714285715,0.12742980561555076,0.41760710124971306
comp,10,42,0.11705824680837973,0.49377627430373094,0.47220843672456575,0.0,0.0,0.0,0.0
comp,10,72,0.13093764926727963,0.5707822704751896,0.47220843672456575,0.0,0.0,0.0,0.0
comp,20,2,0.09105765874653662,0.4394377299001576,0.47220843672456575,0.0,0.0,0.0,0.0
comp,20,42,0.0939018330445667,0.4570661455596427,0.46445538969899164,0.08880994671403197,0.22321428571428573,0.12706480304955528,0.40378390053400554
comp,20,72,0.11920060130357471,0.5327725020644095,0.47220843672456575,0.0,0.0,0.0,0.0
comp,30,2,0.09023521923513743,0.43884773102619923,0.47220843672456575,0.0,0.0,0.0,0.0
comp,30,42,0.09355840101546925,0.45111454658058703,0.47220843672456575,0.0,0.0,0.0,0.0
comp,30,72,0.14340229369998148,0.5620120486449967,0.47220843672456575,0.0,0.0,0.0,0.0
comp,40,2,0.09004542347059907,0.4372736187223182,0.47220843672456575,0.0,0.0,0.0,0.0
comp,40,42,0.10587413290912874,0.4886750713159672,0.47220843672456575,0.0,0.0,0.0,0.0
comp,40,72,0.13350147634597748,0.56988378312439,0.47220843672456575,0.0,0.0,0.0,0.0
elliptic,10,2,0.4827964836851144,0.8658316420647301,0.7391518454887844,0.5248380129589633,0.5346534653465347,0.5297002724795641,0.7118013327593032
elliptic,10,42,0.3644946480891374,0.7796082127846292,0.6661243752992098,0.4149453219927096,0.3756875687568757,0.3943418013856813,0.5951158462648506
elliptic,10,72,0.38735069724872406,0.8458699927584382,0.7106784649353521,0.4102941176470588,0.6138613861386139,0.49184662847069194,0.7451712121005328
elliptic,20,2,0.5452356504688185,0.8913996602539837,0.7470007738619376,0.46255023748629887,0.6963696369636964,0.5558726673984632,0.7971354116309075
