ratio,n_seeds,auprc_mean,auprc_sd,auroc_mean,auroc_sd,macro_f1_mean,macro_f1_sd,fraud_precision_mean,fraud_precision_sd,fraud_recall_mean,fraud_recall_sd,fraud_f1_mean,fraud_f1_sd,gmean_mean,gmean_sd,training_seconds_total_mean,training_seconds_total_sd,mean_train_epoch_seconds_mean,mean_train_epoch_seconds_sd,final_test_inference_seconds_full_graph_mean,final_test_inference_seconds_full_graph_sd,final_test_inference_ms_per_test_node_mean,final_test_inference_ms_per_test_node_sd,peak_overall_gpu_mb_mean,peak_overall_gpu_mb_sd
TR40,3,0.8873220445903458,0.01567103809362577,0.9748186026789334,0.0013288229819019759,0.9267606360105098,0.0006680114222130391,0.8987768809227056,0.02380087223328838,0.8250230840258541,0.019407063302847406,0.8599664392764099,0.0012302892050466915,0.9062132471389116,0.010081423485657973,2913.5004068376534,473.07820513548097,61.36793685079059,2.262324420103922,7.905077629994291,0.6036799195348587,0.5021328609537122,0.0383459264139528,14201.882975260416,21.795932841476418
TR30,3,0.8988238068671291,0.004469774166821959,0.9706829951764053,0.0022116156285437293,0.9243637692768684,0.001885153939028826,0.8937923056200198,0.01805211966076221,0.8204062788550323,0.010019637310346554,0.8553830179945673,0.0035243296506096036,0.9036167367444728,0.005129147677885844,3342.3067701473387,905.163366804999,61.05580284517913,3.3235556709992533,7.538052281005851,0.3245230585517292,0.4788193026110558,0.020613800327239345,14214.495930989584,0.20647677660290636
TR20,3,0.8940622037294705,0.006085119344917054,0.9734093260509461,0.0021181568218875987,0.9306198768608903,0.00277897279014197,0.9065568425684347,0.013241148589340924,0.8314866112650044,0.007107481218070469,0.8673413512587915,0.0052843044761838875,0.909969035823659,0.00373474165431863,3247.581840029345,534.3464278085282,61.60751342232431,2.7763365298426677,7.295223835661697,0.013163884416756576,0.4633947681929554,0.0008361738179989054,14215.228190104166,1.3239253646543412
TR10,3,0.8943912223506413,0.0021132536833922966,0.9733019509836124,0.0006823676755887783,0.9253567627884692,0.0005793403951025072,0.8762903749133804,0.01892550959374213,0.8397968605724838,0.016052944275820557,0.8574198297878551,0.0010270201455501518,0.9137460347148908,0.008245229822662787,2666.1531402353626,626.9826447496315,59.245737321561194,0.3395728356323222,7.399183091998566,0.22605593610347363,0.46999829079581823,0.014359139687700778,14214.44677734375,0.8180366553508961
