epoch,train_seconds,validation_seconds,cumulative_seconds,train_loss,validation_auroc,validation_auprc,validation_macro_f1,validation_threshold,is_best_checkpoint,timestamp_utc,notes
0,1.0143839409574866,1.3758032360346988,2.3901871769921854,2.1147472858428955,0.5562377948024635,0.13248930750304005,0.527206828677417,0.51,True,2026-09-13T23:35:13.316202+00:00,
1,0.8378703549969941,1.753276860981714,4.9813343929708935,2.091622829437256,0.5860184767913474,0.1484567094943114,0.5438173715417529,0.52,True,2026-09-13T23:35:16.278957+00:00,
2,0.8570647179731168,1.7314175360370427,7.569816646981053,2.091047525405884,0.5959234640228331,0.17346289843355148,0.5563520454962392,0.53,True,2026-09-13T23:35:19.234180+00:00,
3,0.8429217350203544,1.9990128499921411,10.411751231993549,2.0749874114990234,0.5969468228931951,0.17459601160737095,0.5541400551841095,0.58,True,2026-09-13T23:35:22.450071+00:00,
4,0.8409958539996296,1.7733951940317638,13.026142280024942,2.068917989730835,0.60217628060688,0.1808312255227426,0.5544014904517932,0.59,True,2026-09-13T23:35:25.435530+00:00,
5,0.8390627579647116,1.7518068089848384,15.617011846974492,2.06929349899292,0.5975570827700165,0.18187151434176266,0.5552538812135024,0.56,True,2026-09-13T23:35:28.398969+00:00,
6,0.8389337250264362,1.7359638010384515,18.19190937303938,2.0728628635406494,0.5885909568874869,0.19146177839033565,0.5643768415070071,0.55,True,2026-09-13T23:35:31.344952+00:00,
7,0.8407195649924688,1.783092421013862,20.81572135904571,2.065004825592041,0.5731091332432027,0.1715914507156277,0.5406744187730687,0.51,False,2026-09-13T23:35:34.322956+00:00,
8,0.6430478600086644,1.3414042260264978,22.800173445080873,2.065412759780884,0.556782334384858,0.16606978491975086,0.5285530281905217,0.51,False,2026-09-13T23:35:36.660917+00:00,
9,0.6544502379838377,1.3046375369885936,24.759261220053304,2.065617084503174,0.5660113414450954,0.16974857756225312,0.5253478712357217,0.52,False,2026-09-13T23:35:38.971389+00:00,
10,0.6318569249706343,1.311114804004319,26.702232949028257,2.064157485961914,0.5742263782484602,0.17461599002775954,0.5390316651441276,0.5,False,2026-09-13T23:35:41.279263+00:00,
11,0.6435976260108873,1.5505732499877922,28.896403825026937,2.060750961303711,0.5795872765509988,0.18391171198450365,0.5465692727499086,0.52,False,2026-09-13T23:35:43.817013+00:00,
12,0.6277452409849502,1.2872266750200652,30.811375741031952,2.0560686588287354,0.5922055730809674,0.19698305007118785,0.5569101088903069,0.56,True,2026-09-13T23:35:46.078938+00:00,
13,0.6302051430102438,1.306779363017995,32.74836024706019,2.0607213973999023,0.589933528616494,0.19103348060799705,0.5635250291590298,0.59,False,2026-09-13T23:35:48.362307+00:00,
14,0.6333479959866963,1.28816115797963,34.66986940102652,2.050373077392578,0.5871732762505633,0.1879362574794532,0.5618404936875825,0.6,False,2026-09-13T23:35:50.626447+00:00,
15,0.63283701101318,1.291510920971632,36.59421733301133,2.049100399017334,0.5908160582845126,0.18925312740348077,0.5537713249451485,0.59,False,2026-09-13T23:35:52.895113+00:00,
