comparison,n,best_validation_auroc_mean_delta,best_validation_auroc_sd_delta,auroc_mean_delta,auroc_sd_delta,auprc_mean_delta,auprc_sd_delta,macro_f1_mean_delta,macro_f1_sd_delta,fraud_f1_mean_delta,fraud_f1_sd_delta,fraud_precision_mean_delta,fraud_precision_sd_delta,fraud_recall_mean_delta,fraud_recall_sd_delta,gmean_mean_delta,gmean_sd_delta,accuracy_mean_delta,accuracy_sd_delta,mean_epoch_seconds_mean_delta,mean_epoch_seconds_sd_delta,fit_wall_seconds_mean_delta,fit_wall_seconds_sd_delta,inference_seconds_mean_delta,inference_seconds_sd_delta,peak_gpu_memory_mb_mean_delta,peak_gpu_memory_mb_sd_delta
TR30 - TR40,3,-0.008545942236915996,0.007313670534413444,-0.009782432252476991,0.006294355115236205,-0.014175560985882907,0.006513815686410239,0.018458979778043783,0.03223972173107728,0.029726789646428053,0.05453914969129326,0.07246999641527178,0.09490105005299615,-0.05065856129685916,0.02437935038605059,-0.017095734533507545,0.01085289124397757,0.012056327160493837,0.017055403862460607,-0.49158109309805126,0.06531055533119663,-23.950580805333328,4.661353849449772,0.13193908333475216,0.2047883432136752,-0.35107421875,0.18753496479816928
TR20 - TR40,3,-0.02010817582600381,0.0025546111281389843,-0.023175603277529544,0.002353457318339106,-0.019605762909068236,0.006121508510914181,-0.026298877261109577,0.03385701936201098,-0.044528625802493504,0.054534207131304496,-0.04160561347801054,0.07560446251172617,-0.03850050658561296,0.019541338928050583,-0.025066216894627624,0.008955807275930996,-0.01369598765432097,0.021853888050206324,-0.9595239097974496,0.06769978776304293,-45.463252222333416,4.389232701217858,0.2905407390032148,0.26758352106453615,-0.6193033854166666,0.09204630410729606
TR10 - TR40,3,-0.02789907055080783,0.005315358740336926,-0.028847353296727014,0.007084652294434379,-0.024636519252839013,0.011508706501825047,0.01073449390025997,0.024061404095972606,0.015624023235347026,0.0409816651375194,0.055821099519434224,0.06107505559902552,-0.0668693009118541,0.0109591224178237,-0.025962672402648934,0.010020137220470677,0.009548611111111086,0.012306811526699496,-1.4831719085229327,0.04753940418578574,-73.18929442766664,3.5430021111903143,1.1534380270016602,0.10371067002684753,-1.0983072916666667,0.3989763791988828
