epoch,time_s
0,5.492372512817383
1,5.349416494369507
2,5.373741388320923
3,5.249213457107544
4,5.411240816116333
5,5.292683839797974
6,5.187888145446777
7,5.212646961212158
8,5.013882875442505
9,5.145069599151611
10,5.119768381118774
11,5.104071378707886
12,5.29988694190979
13,4.967128038406372
14,4.967051267623901
15,5.2232465744018555
16,5.292020320892334
17,5.19048810005188
18,5.165723562240601
19,5.445664882659912
20,5.395708799362183
21,5.609018564224243
22,5.467028856277466
23,5.698090553283691
24,5.457365989685059
25,5.490748882293701
26,5.5485310554504395
27,5.764760494232178
28,5.3356850147247314
29,5.135632753372192
30,5.102328062057495
31,5.074445009231567
32,5.135250568389893
33,5.048394680023193
34,5.149860382080078
35,5.070272207260132
36,5.171956300735474
37,5.089973211288452
