model,dataset,ratio,split_seed,training_seed,rho,run_id,best_validation_epoch,best_validation_auroc,auroc,auprc,macro_f1,fraud_f1,fraud_precision,fraud_recall,gmean,accuracy,train_nodes,validation_nodes,test_nodes,mean_epoch_seconds,total_epoch_seconds,training_wall_seconds,inference_seconds,peak_gpu_memory_mb,summary_path
PC-GNN,YelpChi,TR40,2,42,0.4,20260909T082455642815Z_yelp_PCGNN_unified_final_yelpchi_tr40_kaggle_t4_seed42_rho0p4_seed42,90,0.8321320461417224,0.8384972543885894,0.5212585824048394,0.6587340955638011,0.477017482922311,0.34604401142281205,0.767511177347243,0.7604488723471777,0.7554942080762153,18381,9099,18474,12.428370958540018,1242.8370958540017,1479.6245711009997,24.223663794011372,270.25537109375,/kaggle/working/pcgnn_clean_restart/PC-GNN-COMP8851-Instrumented/results/unified-final/yelpchi/pcgnn/tr40/seed42/20260909T082455642815Z_yelp_PCGNN_unified_final_yelpchi_tr40_kaggle_t4_seed42_rho0p4_seed42/summary.json
PC-GNN,YelpChi,TR30,2,42,0.4,20260909T085013967741Z_yelp_PCGNN_unified_final_yelpchi_tr30_kaggle_t4_seed42_rho0p4_seed42,95,0.8265665447028818,0.8315593355035209,0.5070838518393856,0.6281182915286208,0.44819630872483224,0.31187974314068884,0.7961997019374069,0.747294537624265,0.7151672620980838,13786,9099,18474,9.074991226590027,907.4991226590028,1146.2397588429994,22.226892522994603,268.958984375,/kaggle/working/pcgnn_clean_restart/PC-GNN-COMP8851-Instrumented/results/unified-final/yelpchi/pcgnn/tr30/seed42/20260909T085013967741Z_yelp_PCGNN_unified_final_yelpchi_tr30_kaggle_t4_seed42_rho0p4_seed42/summary.json
PC-GNN,YelpChi,TR20,2,42,0.4,20260909T090955938606Z_yelp_PCGNN_unified_final_yelpchi_tr20_kaggle_t4_seed42_rho0p4_seed42,95,0.8023140600206552,0.8067060308123857,0.47619536531489093,0.563874933898207,0.3945855082721401,0.258730711219399,0.830849478390462,0.7033267526439758,0.6295875284183177,9191,9099,18474,5.511978652410144,551.1978652410144,775.4702141289999,21.902078356997663,257.8974609375,/kaggle/working/pcgnn_clean_restart/PC-GNN-COMP8851-Instrumented/results/unified-final/yelpchi/pcgnn/tr20/seed42/20260909T090955938606Z_yelp_PCGNN_unified_final_yelpchi_tr20_kaggle_t4_seed42_rho0p4_seed42/summary.json
PC-GNN,YelpChi,TR10,2,42,0.4,20260909T092326953924Z_yelp_PCGNN_unified_final_yelpchi_tr10_kaggle_t4_seed42_rho0p4_seed42,95,0.7878996350034831,0.7933732040029863,0.4547006916748033,0.6014555819305367,0.41527834213734255,0.28547486033519553,0.7615499254843517,0.7174997006493571,0.6884269784562087,4595,9099,18474,2.65177573804991,265.17757380499097,484.847007477998,21.9812475349936,252.7314453125,/kaggle/working/pcgnn_clean_restart/PC-GNN-COMP8851-Instrumented/results/unified-final/yelpchi/pcgnn/tr10/seed42/20260909T092326953924Z_yelp_PCGNN_unified_final_yelpchi_tr10_kaggle_t4_seed42_rho0p4_seed42/summary.json
