TRIAL_CONFIG | trial=11/12 | hidden=128 | bins=16 | lr=0.001
===== GAAP × YELPCHI — UNIFIED 2-EPOCH SMOKE =====
RATIO=TR40 | TRAIN_SEED=2 | SPLIT_SEED=2
AUTHOR_ARCHITECTURE_CHANGED=NO
TEST_USED_FOR_SELECTION=NO
MAX_EPOCHS=100 | PATIENCE=20
CANONICAL_NODES=45954
CANONICAL_FEATURES=32
RELATION_EDGE_ENTRIES=8051348
HOMOGENEOUS_WITH_SELF_LOOPS=8097302
SHARED_YELP_VIEW_GATE=PASS
EXACT_FROZEN_SPLIT_GATE=PASS
The shape of bin-encoded feature is torch.Size([45954, 32])
Processing dataset done!

GAAP_NATIVE_NORM_TYPE=norm01
GAAP_NATIVE_PREPROCESS=None
GAAP_AUTHOR_DATALOADER_GATE=PASS
TEST_LABELS_HIDDEN_DURING_FIT=PASS
GPU available: True (cuda), used: True
TPU available: False, using: 0 TPU cores
HPU available: False, using: 0 HPUs
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [0]
trial=11/12 | TR40 seed=2 | epoch=036 | loss=0.121734 | valAUPRC=0.849415 | valAUROC=0.952943 | best=0.850606@34 | patience=2/20
trial=11/12 | TR40 seed=2 | epoch=037 | loss=0.120848 | valAUPRC=0.865904 | valAUROC=0.960351 | best=0.865904@37 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=038 | loss=0.112132 | valAUPRC=0.860791 | valAUROC=0.957290 | best=0.865904@37 | patience=1/20
trial=11/12 | TR40 seed=2 | epoch=039 | loss=0.104410 | valAUPRC=0.868821 | valAUROC=0.959838 | best=0.868821@39 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=040 | loss=0.100463 | valAUPRC=0.853674 | valAUROC=0.955203 | best=0.868821@39 | patience=1/20
trial=11/12 | TR40 seed=2 | epoch=041 | loss=0.103890 | valAUPRC=0.861047 | valAUROC=0.954698 | best=0.868821@39 | patience=2/20
trial=11/12 | TR40 seed=2 | epoch=042 | loss=0.100217 | valAUPRC=0.866516 | valAUROC=0.959866 | best=0.868821@39 | patience=3/20
trial=11/12 | TR40 seed=2 | epoch=043 | loss=0.097618 | valAUPRC=0.868574 | valAUROC=0.958573 | best=0.868821@39 | patience=4/20
trial=11/12 | TR40 seed=2 | epoch=044 | loss=0.091724 | valAUPRC=0.858639 | valAUROC=0.956878 | best=0.868821@39 | patience=5/20
trial=11/12 | TR40 seed=2 | epoch=045 | loss=0.089621 | valAUPRC=0.872354 | valAUROC=0.961732 | best=0.872354@45 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=046 | loss=0.086044 | valAUPRC=0.865069 | valAUROC=0.956916 | best=0.872354@45 | patience=1/20
trial=11/12 | TR40 seed=2 | epoch=047 | loss=0.429192 | valAUPRC=0.854321 | valAUROC=0.959909 | best=0.872354@45 | patience=2/20
trial=11/12 | TR40 seed=2 | epoch=048 | loss=0.088236 | valAUPRC=0.865429 | valAUROC=0.962972 | best=0.872354@45 | patience=3/20
