epoch,train_seconds,validation_seconds,cumulative_seconds,train_loss,validation_auroc,validation_auprc,validation_macro_f1,validation_threshold,is_best_checkpoint,timestamp_utc,notes
0,1.6593100329628214,3.0534859619801864,4.712795994943008,2.348629504442215,0.8099484107930668,0.4664815438806875,0.7565343576827313,0.89,True,2026-09-13T19:23:29.099472+00:00,
1,1.2734761370229535,3.055347896995954,9.041620028961916,1.090832531452179,0.8322828040805704,0.6168000689430361,0.7546420380241767,0.99,True,2026-09-13T19:23:34.501730+00:00,
2,1.268400061991997,3.0490801139967516,13.359100204950664,0.921499952673912,0.8336059141707651,0.6351640106503786,0.7832856556894576,0.99,True,2026-09-13T19:23:39.898621+00:00,
3,1.2684059480088763,3.2782938560121693,17.90580000897171,0.7971831560134888,0.8289171921494625,0.6167930818815092,0.781558749560209,0.98,False,2026-09-13T19:23:45.281390+00:00,
4,1.2780210440396331,3.058819814992603,22.242640868003946,0.7654470801353455,0.8284664978210114,0.6154189104188554,0.7903789664940923,0.97,False,2026-09-13T19:23:50.412317+00:00,
5,1.2605688060284592,3.0394880209933035,26.54269769502571,0.6899319738149643,0.829764867502238,0.612783362632835,0.7943306188610413,0.87,False,2026-09-13T19:23:55.490479+00:00,
6,1.264649846998509,3.0504053070326336,30.85775284905685,0.700192779302597,0.8332759547834336,0.6311031193293914,0.7998541529626122,0.88,False,2026-09-13T19:24:00.587852+00:00,
7,1.2596876769675873,3.040373174007982,35.15781370003242,0.601963996887207,0.834097449809259,0.6322688215640692,0.795260722815682,0.94,False,2026-09-13T19:24:05.677485+00:00,
8,1.2593257080297917,3.269177647016477,39.68631705507869,0.5944704860448837,0.8336240658641175,0.6287237053495746,0.7998666872865183,0.93,False,2026-09-13T19:24:10.992115+00:00,
9,1.2588022190029733,3.041502076026518,43.98662135010818,0.5986229479312897,0.8316383316988084,0.6158268430857088,0.797436736807045,0.95,False,2026-09-13T19:24:16.079694+00:00,
10,1.2621346449595876,3.046981265011709,48.29573726007948,0.564254641532898,0.8311665622071622,0.6073167746218171,0.795213194514315,0.96,False,2026-09-13T19:24:21.180212+00:00,
11,1.259440547961276,3.037118480016943,52.592296288057696,0.577168345451355,0.8338661902545303,0.6164265728637732,0.7952539143449787,0.93,False,2026-09-13T19:24:26.261378+00:00,
12,1.2576831810292788,3.045329663960729,56.895309133047704,0.5114855691790581,0.8343187608397463,0.6163037561858625,0.7947132296301158,0.97,False,2026-09-13T19:24:31.363343+00:00,
13,1.2617764950264245,3.0421002090442926,61.19918583711842,0.5338983088731766,0.8376837618965588,0.6372246466592053,0.7955577215212104,0.96,True,2026-09-13T19:24:36.734102+00:00,
14,1.4955080910003744,3.0360346999950707,65.73072862811387,0.5134837627410889,0.8362433639416262,0.6290497025646966,0.7971102417370348,0.93,False,2026-09-13T19:24:42.053952+00:00,
15,1.2530789829907008,3.032637568016071,70.01644517912064,0.4922638237476349,0.8369253178248058,0.6374478249034616,0.7994483485079484,0.97,True,2026-09-13T19:24:47.408946+00:00,
16,1.2576794999768026,3.037068433011882,74.31119311210932,0.4769062101840973,0.8366897821500087,0.6365098189582041,0.7979090379275711,0.97,False,2026-09-13T19:24:52.497154+00:00,
17,1.2586630290024914,3.031910151010379,78.60176629212219,0.48982130736112595,0.8400292137541664,0.6535705341698504,0.7980621950225248,0.96,True,2026-09-13T19:24:57.848329+00:00,
18,1.3108059199876152,3.410258327028714,83.32283053913852,0.49436765909194946,0.8380964947509318,0.6415963433908354,0.7972794845004131,0.97,False,2026-09-13T19:25:03.366814+00:00,
19,1.3121371839661151,3.167330229014624,87.80229795211926,0.45438302308321,0.8394264553600118,0.6409061974938044,0.8027761284334914,0.96,False,2026-09-13T19:25:08.635759+00:00,
20,1.310795936966315,3.206851602997631,92.3199454920832,0.4669594168663025,0.841058449674343,0.6489192085091071,0.8073467279357727,0.96,False,2026-09-13T19:25:13.945622+00:00,
21,1.3090191619703546,3.1604203449678607,96.78938499902142,0.49364346265792847,0.8422044062188401,0.6555533122596298,0.8079527825486224,0.97,True,2026-09-13T19:25:19.485273+00:00,
22,1.7464532970334403,4.321031443018001,102.85686973907286,0.4540921077132225,0.8404682578371245,0.6434268351322643,0.8111539411645712,0.96,False,2026-09-13T19:25:26.390613+00:00,
