epoch,time_s
0,1.9017746448516846
1,1.8060340881347656
2,1.799323558807373
3,1.7826271057128906
4,1.3997817039489746
5,1.4589123725891113
6,1.4009151458740234
7,1.4298861026763916
8,1.5027782917022705
9,1.4374449253082275
10,1.4206123352050781
11,1.803382396697998
12,1.8003103733062744
13,1.4769783020019531
14,1.4966700077056885
15,1.4903037548065186
16,1.792518138885498
17,1.7613656520843506
18,1.8294970989227295
19,1.7489080429077148
20,1.711991310119629
21,1.7814860343933105
22,1.7052876949310303
23,1.4466965198516846
24,1.4121708869934082
25,1.391085147857666
26,1.4021179676055908
27,1.395547866821289
28,1.5034573078155518
29,1.4866728782653809
30,1.7002010345458984
31,1.6958825588226318
32,1.6957921981811523
33,1.6551496982574463
34,1.6921865940093994
35,1.679990291595459
36,1.6812982559204102
37,1.7338297367095947
38,1.4061801433563232
39,1.3788061141967773
40,1.4177989959716797
41,1.3896262645721436
42,1.3684561252593994
