comparison,n,best_validation_auroc_mean_delta,best_validation_auroc_sd_delta,best_validation_auroc_seed2_delta,best_validation_auroc_seed42_delta,best_validation_auroc_seed72_delta,auroc_mean_delta,auroc_sd_delta,auroc_seed2_delta,auroc_seed42_delta,auroc_seed72_delta,auprc_mean_delta,auprc_sd_delta,auprc_seed2_delta,auprc_seed42_delta,auprc_seed72_delta,macro_f1_mean_delta,macro_f1_sd_delta,macro_f1_seed2_delta,macro_f1_seed42_delta,macro_f1_seed72_delta,fraud_f1_mean_delta,fraud_f1_sd_delta,fraud_f1_seed2_delta,fraud_f1_seed42_delta,fraud_f1_seed72_delta,fraud_precision_mean_delta,fraud_precision_sd_delta,fraud_precision_seed2_delta,fraud_precision_seed42_delta,fraud_precision_seed72_delta,fraud_recall_mean_delta,fraud_recall_sd_delta,fraud_recall_seed2_delta,fraud_recall_seed42_delta,fraud_recall_seed72_delta,gmean_mean_delta,gmean_sd_delta,gmean_seed2_delta,gmean_seed42_delta,gmean_seed72_delta,accuracy_mean_delta,accuracy_sd_delta,accuracy_seed2_delta,accuracy_seed42_delta,accuracy_seed72_delta,mean_epoch_seconds_mean_delta,mean_epoch_seconds_sd_delta,mean_epoch_seconds_seed2_delta,mean_epoch_seconds_seed42_delta,mean_epoch_seconds_seed72_delta,fit_wall_seconds_mean_delta,fit_wall_seconds_sd_delta,fit_wall_seconds_seed2_delta,fit_wall_seconds_seed42_delta,fit_wall_seconds_seed72_delta,inference_seconds_mean_delta,inference_seconds_sd_delta,inference_seconds_seed2_delta,inference_seconds_seed42_delta,inference_seconds_seed72_delta,peak_gpu_memory_mb_mean_delta,peak_gpu_memory_mb_sd_delta,peak_gpu_memory_mb_seed2_delta,peak_gpu_memory_mb_seed42_delta,peak_gpu_memory_mb_seed72_delta
TR30 - TR40,3,-0.004662947383997011,0.00863309668878332,0.004385969178288152,-0.005565501438840603,-0.01280930989143858,-0.005290524510252729,0.008134590043388257,0.0035416759083688465,-0.00693791888506845,-0.012475330554058583,-0.013449629772870083,0.01555408426968747,0.002454323684245585,-0.014174730565453708,-0.028628482437402125,0.012326031332013154,0.051970275646495326,0.07009996035413857,-0.030615804035180383,-0.002506062322918723,0.006802545029395386,0.04321328170333057,0.054873298986562735,-0.02882117419747876,-0.0056444897008978145,0.008121333630994857,0.04847712079576194,0.06102853516085094,-0.03416426828212321,-0.0025002659857431553,-0.021609538002980638,0.052260656255981884,-0.07563338301043221,0.02868852459016391,-0.01788375558867361,0.00550941510475141,0.02721872078398204,0.03674122364620325,-0.01315433472291272,-0.007058643609036297,0.01912597885316299,0.07093844425529086,0.09765075240879073,-0.04032694597813147,5.4130128829710245e-05,-3.4915955283399005,0.12137373220684844,-3.5406067081199755,-3.3533797319499907,-3.5808001449497358,-348.500517137335,13.425409648995851,-353.0787347430014,-333.38481225800024,-359.0380044110034,-0.9112468863343869,1.1104258363194797,-0.9594780489987897,-1.9967712710167689,0.22250866101239808,-3.1931966145833335,1.6447814847676516,-4.05859375,-1.29638671875,-4.224609375
TR20 - TR40,3,-0.02415682458671627,0.005018941801284771,-0.0202523656299064,-0.02981798612106723,-0.022400122009175183,-0.023720342787712623,0.006992474431470127,-0.019484001551661967,-0.031791223576203675,-0.019885803235272226,-0.03923939710520813,0.007425301376621272,-0.03087795124978887,-0.045063217089948426,-0.04177702297588709,-0.004787172637535179,0.08268070164769309,0.06766006080055165,-0.09485916166559416,0.012837582952436977,-0.011929867011783002,0.06419741683618992,0.04315544863759757,-0.08243197465017088,0.003486924977224304,-0.0032717436273923908,0.07562872252210318,0.05930301837509322,-0.08731330020341305,0.018195050946142655,-0.045827123695976156,0.09918351894595577,-0.13040238450074515,0.06333830104321903,-0.07041728763040234,-0.017491768407620307,0.037862664704318386,0.018312710559991285,-0.05712211970320191,-0.013665896079650297,0.0015878171123380562,0.11705407670565232,0.10420049799718523,-0.1259066796578976,0.026469632997726533,-6.9185839092698425,0.21697655580568947,-7.136647965259817,-6.916392306129874,-6.702711456419839,-699.4431270270012,27.472794166601435,-724.2556487890015,-704.1543569719997,-669.9193753200025,-0.9974152940091395,1.3697677818037557,-1.0844589499956783,-2.3215854370137095,0.413798504981969,-10.03955078125,2.608965447544665,-7.21435546875,-12.35791015625,-10.54638671875
TR10 - TR40,3,-0.0422211985624756,0.00532391027875349,-0.03618465909698798,-0.04423241113823928,-0.04624652545219954,-0.04256917197808915,0.00557725185711337,-0.036172144361208636,-0.045124050385603076,-0.04641132118745572,-0.06668923499622896,0.010693746330909243,-0.05606176577130351,-0.06655789073003604,-0.07744804848734732,0.024602624181339666,0.07899069977571242,0.10034463133041693,-0.057278513633264416,0.030741754846866476,0.003097666715373167,0.06265154125971298,0.06330738056582985,-0.06173914078496845,0.007724760365258099,0.03837496658919998,0.09020718526162909,0.1160406852768206,-0.06056915108761651,0.059653365578395845,-0.14605067064083457,0.12529269482553626,-0.24739195230998512,-0.005961251862891204,-0.18479880774962743,-0.031449305788509165,0.023190504896237668,-0.004756251519366539,-0.04294917169782064,-0.04664249414834032,0.05400382519577063,0.1151637838023044,0.162173865973801,-0.06706722962000655,0.06690483923351742,-9.808647381006692,0.14194329766882602,-9.963876169599862,-9.776595220490108,-9.685470752930105,-989.5069370336681,14.310337203354369,-1000.4344819330017,-994.7775636230017,-973.3087655450008,-0.6895621163403121,1.3475399590066244,0.0011506049941090168,-2.242416259017773,0.17257930500272778,-15.431640625,2.7360451529524785,-12.33544921875,-17.52392578125,-16.435546875
