epoch,time_s
0,3.558316946029663
1,3.413114309310913
2,3.299712657928467
3,3.4150595664978027
4,3.2989115715026855
5,3.468390464782715
6,3.340670347213745
7,3.0555412769317627
8,3.370742082595825
9,3.4342851638793945
10,3.457292079925537
11,3.4177935123443604
12,3.45931339263916
13,3.3736116886138916
14,3.288459300994873
15,3.2116827964782715
16,3.3335516452789307
17,3.2510063648223877
18,3.347682476043701
19,3.2775750160217285
20,3.3320441246032715
21,3.0800907611846924
22,3.3264846801757812
23,3.623234748840332
24,3.3385097980499268
25,3.3989639282226562
26,3.507927179336548
27,3.3583312034606934
28,3.1939728260040283
