epoch,train_seconds,valid_seconds,peak_memory_bytes,loss
0,3.6597326332703233,3.055229153484106,18705875456,1.7186415195465088
1,3.1955870129168034,2.955156546086073,19395115520,1.7014760971069336
2,3.199752847664058,3.081284487619996,19395115520,1.68503999710083
3,3.203669961541891,2.9558407133445144,19395115520,1.6672260761260986
4,3.210371581837535,3.0475433617830276,19395115520,1.649643063545227
5,3.1922566574066877,2.96440676599741,19395115520,1.6249576807022095
6,3.1948863929137588,2.95294801145792,19395115520,1.5992625951766968
7,3.2972928155213594,2.9558984208852053,19395115520,1.5707757472991943
8,3.211609033867717,2.9489767411723733,19395115520,1.520388126373291
9,3.291855945251882,2.9578191051259637,19395115520,1.4765994548797607
10,3.1975510232150555,2.9570529218763113,19395115520,1.4300726652145386
11,3.2891456307843328,2.9499225532636046,19395115520,1.3780418634414673
12,3.1947663109749556,2.969707732088864,19395115520,1.3282605409622192
13,3.293650910258293,2.952474173158407,19395115520,1.3051811456680298
14,3.1960024423897266,2.9521618923172355,19395115520,1.2087123394012451
15,3.3014808101579547,2.956935045309365,19395115520,1.175540566444397
16,3.2210905430838466,2.962931402027607,19395115520,1.1489349603652954
17,3.3474150924012065,2.963348936289549,19395115520,1.0836306810379028
18,3.2051585828885436,2.9599336003884673,19395115520,1.0643420219421387
19,3.3191817002370954,2.9709026562049985,19395115520,1.0167393684387207
20,3.2025732127949595,2.995678683742881,19395115520,0.9945698380470276
21,3.3150924909859896,2.958893071860075,19395115520,0.9708078503608704
22,3.255039533600211,2.978193118236959,19395115520,0.9171433448791504
23,3.204167079180479,3.0753054162487388,19395115520,0.8834247589111328
24,3.2048936868086457,2.9660450136289,19395115520,0.8471450805664062
25,3.2031455002725124,3.071904563345015,19395115520,0.8657597899436951
26,3.201703825034201,2.959604644216597,19395115520,0.7871264219284058
27,3.2079308526590466,3.1122474232688546,19395115520,0.7931994795799255
28,3.21371958963573,2.971298257820308,19395115520,0.7748692035675049
29,3.2064028503373265,3.100309050641954,19395115520,0.7502163648605347
30,3.229766020551324,2.9727026345208287,19395115520,0.717253565788269
31,3.2193335313349962,3.0108232786878943,19395115520,0.7420858144760132
32,3.369698418304324,2.9825279489159584,19395115520,0.7449284791946411
33,3.2439549705013633,2.968969903886318,19395115520,0.7227646708488464
34,3.339920312166214,2.9899862902238965,19395115520,0.7093533277511597
35,3.231647307984531,2.965392111800611,19395115520,0.6782441139221191
36,3.2011997047811747,3.0511899134144187,19395115520,0.6870462894439697
37,3.198512664064765,2.953294380567968,19395115520,0.6577172875404358
38,3.200184696353972,3.070699393749237,19395115520,0.702908992767334
39,3.1970263831317425,2.954984919168055,19395115520,0.6796274185180664
40,3.1975645292550325,3.0430462630465627,19395115520,0.6706053018569946
41,3.1997595774009824,2.957730864174664,19395115520,0.647113561630249
42,3.197548968717456,2.9723579036071897,19395115520,0.6529629230499268
43,3.289843295700848,2.9591282112523913,19395115520,0.6217379570007324
44,3.2073719231411815,2.9636981431394815,19395115520,0.6379101276397705
45,3.2998762214556336,2.9523161621764302,19395115520,0.6546775698661804
46,3.2130793454125524,2.960142911411822,19395115520,0.6382036209106445
47,3.288208563812077,2.9523831512778997,19395115520,0.614737331867218
48,3.2086615581065416,2.9560554875060916,19395115520,0.6138735413551331
49,3.3035502694547176,2.9530430659651756,19395115520,0.5937700271606445
50,3.197076470591128,2.954169597476721,19395115520,0.6572163105010986
51,3.294518987648189,2.960765851661563,19395115520,0.622512698173523
52,3.216154109686613,2.9635498421266675,19395115520,0.6054931879043579
53,3.3133017662912607,2.958568688482046,19395115520,0.6068804264068604
54,3.2021737694740295,2.9576916694641113,19395115520,0.6144119501113892
55,3.352917612530291,2.988619522191584,19395115520,0.6178810000419617
56,3.2073379904031754,2.9760212851688266,19395115520,0.6268203854560852
57,3.2971436213701963,2.960471421480179,19395115520,0.6266136169433594
58,3.2113887639716268,2.985949244350195,19395115520,0.5866638422012329
59,3.2475446965545416,3.091981489211321,19395115520,0.5967585444450378
60,3.331555644981563,3.0687699001282454,19395115520,0.583794116973877
61,3.236787574365735,3.1596378004178405,19395115520,0.6048126816749573
62,3.2275985283777118,2.9614777471870184,19395115520,0.551308274269104
63,3.230506010353565,3.0751379346475005,19395115520,0.5628600120544434
64,3.207400972954929,2.9972990741953254,19395115520,0.6139213442802429
65,3.2200264409184456,3.1684449715539813,19395115520,0.5687354207038879
66,3.234316977672279,2.954861130565405,19395115520,0.6091883182525635
67,3.195942942984402,2.9510969053953886,19395115520,0.5796951055526733
68,3.2933551287278533,2.953425955027342,19395115520,0.5838722586631775
69,3.2006925521418452,2.950903167016804,19395115520,0.5963361263275146
70,3.308845709078014,2.9824027232825756,19395115520,0.5683277249336243
71,3.205134140327573,2.961893603205681,19395115520,0.5621787309646606
72,3.198699318803847,3.1141247330233455,19395115520,0.585579514503479
73,3.210392122156918,2.956090621650219,19395115520,0.5852841138839722
74,3.20705352909863,3.0881931260228157,19395115520,0.5753399729728699
75,3.2058674274012446,2.958401197567582,19395115520,0.5624434351921082
76,3.1988449739292264,3.0747109409421682,19395115520,0.5602848529815674
77,3.236732947640121,2.9800708452239633,19395115520,0.5585728883743286
78,3.198494945652783,2.9547869972884655,19395115520,0.5616424083709717
79,3.317978525534272,2.963406822644174,19395115520,0.5405094027519226
80,3.2013284042477608,2.956215437501669,19395115520,0.5627979636192322
81,3.3269761884585023,2.9739265954121947,19395115520,0.5910532474517822
82,3.2270894637331367,2.98954657278955,19395115520,0.5445406436920166
83,3.3663506880402565,2.94646730273962,19395115520,0.5625243186950684
84,3.193533804267645,3.0053653568029404,19395115520,0.5688241124153137
85,3.345909534022212,2.9567925557494164,19395115520,0.5489118695259094
86,3.194203701801598,2.956027357839048,19395115520,0.5595821142196655
87,3.3452588031068444,2.9642288517206907,19395115520,0.5557466149330139
88,3.1970869721844792,2.9531618552282453,19395115520,0.5754224061965942
89,3.3146074805408716,2.9734051283448935,19395115520,0.54192054271698
90,3.2103629922494292,2.9596511963754892,19395115520,0.5434821248054504
91,3.330393483862281,2.962906092405319,19395115520,0.5610545873641968
92,3.2055551279336214,2.9640198657289147,19395115520,0.5141329765319824
93,3.3223329009488225,2.9630861170589924,19395115520,0.5664776563644409
94,3.214474451728165,2.960068547166884,19395115520,0.5465248823165894
95,3.22432245593518,3.0975999608635902,19395115520,0.5701315402984619
96,3.198168722912669,2.9537886260077357,19395115520,0.5408265590667725
97,3.2017655009403825,3.1036883695051074,19395115520,0.5342344045639038
98,3.1909532360732555,2.949511766433716,19395115520,0.5457829833030701
99,3.1945207938551903,3.073409430682659,19395115520,0.5718979835510254
