ratio,n,auroc_mean,auroc_sample_sd,auprc_mean,auprc_sample_sd,macro_f1_mean,macro_f1_sample_sd,fraud_f1_mean,fraud_f1_sample_sd,fraud_precision_mean,fraud_precision_sample_sd,fraud_recall_mean,fraud_recall_sample_sd,gmean_mean,gmean_sample_sd,accuracy_mean,accuracy_sample_sd,mean_epoch_seconds_mean,mean_epoch_seconds_sample_sd,fit_wall_seconds_mean,fit_wall_seconds_sample_sd,inference_seconds_mean,inference_seconds_sample_sd,peak_gpu_memory_mb_mean,peak_gpu_memory_mb_sample_sd
TR40,3,0.9572655261931705,0.006271719847342961,0.8014837850217571,0.08892016346604102,0.8759381416564395,0.03078041469060003,0.7629011446531938,0.057950906104861415,0.8064390566280782,0.11825392688252821,0.7286176606564956,0.004237240587106646,0.849718301696325,0.005412328242150065,0.978933773712737,0.006820041489874726,0.2763526991733302,0.004487463343153244,27.332288876333376,9.435892755967044,0.1251036683333382,0.0032279381278072154,64.34619140625,0.0
TR30,3,0.9588291634442229,0.0011778496254056658,0.8412811674508536,0.015220780689782354,0.8880418194936631,0.011220210054369618,0.7857766923849633,0.021557695238988782,0.8336602664937286,0.018778428741542483,0.7434119278779473,0.03003662666811055,0.8590225392322846,0.017321670190525426,0.9814532520325203,0.0017149390243902385,0.27578810236999973,0.00369094980290065,32.74056913399996,0.38304249291550296,0.1254808569999947,0.00042728747352316956,64.31640625,0.0
TR20,3,0.9561869211545533,0.0028568625991321904,0.8294246363943903,0.037247421689183186,0.8835699600883583,0.02147108313810963,0.7766192248481772,0.041222267773954914,0.8870040174813737,0.04375327344426719,0.6907073509015257,0.03913102906980826,0.8291231634432038,0.0242164972126868,0.981813177506775,0.003303049099938647,0.2739028575178435,0.001395181590873037,30.896342067666637,2.7095116249505953,0.12552307533330045,0.0013133110236321422,64.2861328125,0.0
TR10,3,0.9549264559637005,0.004173854972211161,0.8282522623586265,0.018120689875112613,0.8803463912100998,0.010120436605901745,0.7711426656810759,0.019591898328406476,0.8105911627048837,0.02153116185713608,0.7364771151178918,0.03883495145631066,0.8544060435392575,0.022306798817972002,0.9800135501355013,0.0013583176602596227,0.27249529123333405,0.0009632406367777166,32.384738071333345,0.07120396763343545,0.12488826266663484,0.0009778822474568799,64.25634765625,0.0
