hidden_dimension,best_validation_auroc,best_validation_macro_f1,best_validation_epoch,epochs_completed,test_evaluated,summary_path
32,0.960692115037752,0.8494160649756777,29,45,False,results/tuning/hidden_32/20260909T152056051829Z_tfinance_BWGNN_tuning_tfinance_tr40_hidden32_seed72_seed72/summary.json
64,0.9488976839744606,0.8727059319508826,24,40,False,results/tuning/hidden_64/20260909T152115358711Z_tfinance_BWGNN_tuning_tfinance_tr40_hidden64_seed72_seed72/summary.json
