epoch,avg_train_loss,train_seconds,validation_seconds,val_auprc,val_auroc,best_val_auprc_so_far,best_epoch_so_far,patience_count,peak_gpu_memory_mb_so_far
1,0.45157952308654786,0.5381101429957198,0.4393685850009206,0.12191215703948982,0.5616840486194478,0.12191215703948982,1,0,149.37841796875
2,0.313592529296875,0.559278118002112,0.5174339350051014,0.12845243375735393,0.5739420768307324,0.12845243375735393,2,0,149.37841796875
3,0.19149612188339232,0.5435632180015091,0.44285042300180066,0.11827096915114423,0.5500262605042017,0.12845243375735393,2,1,149.3818359375
4,0.10190167427062988,0.6167857899999944,0.4348453150014393,0.10784718520647357,0.5204738145258103,0.12845243375735393,2,2,149.3818359375
5,0.0465970516204834,0.5243348439980764,0.4168567200031248,0.10928776888416064,0.528248799519808,0.12845243375735393,2,3,149.3818359375
6,0.03323736488819122,0.5327162870016764,0.4896487520018127,0.11165334139484243,0.5330319627851141,0.12845243375735393,2,4,149.3818359375
7,0.02862802743911743,0.5783143079970614,0.4197506810014602,0.11011917950443117,0.5278455132052822,0.12845243375735393,2,5,149.3818359375
8,0.02518751621246338,0.5405648699961603,0.40746696799760684,0.11304696071536063,0.5350577731092437,0.12845243375735393,2,6,149.3828125
9,0.014812105894088745,0.6091212550018099,0.42761778800195316,0.1153064028201328,0.5387764480792316,0.12845243375735393,2,7,149.3828125
10,0.008862600475549699,0.5118832099979045,0.3840645839954959,0.11092024161801695,0.526795093037215,0.12845243375735393,2,8,149.3828125
11,0.004066941514611244,0.5685416570049711,0.4242512880009599,0.107400948639883,0.51968599939976,0.12845243375735393,2,9,149.3828125
12,0.002033327706158161,0.6090757330021006,0.4543173359998036,0.10592547235523445,0.5145745798319328,0.12845243375735393,2,10,149.3828125
13,0.001442420855164528,0.5323554299975513,0.4817143819964258,0.10492427656809744,0.5114092512004802,0.12845243375735393,2,11,149.3828125
14,0.0005458610597997904,0.5449810950012761,0.42931384499388514,0.10380663389545544,0.5085581107442977,0.12845243375735393,2,12,149.3828125
15,0.0005727220326662063,0.5647646200013696,0.4095105830056127,0.10437429844963923,0.5091771083433373,0.12845243375735393,2,13,149.38330078125
16,0.00034700711257755755,0.5635667059978005,0.41601906299911207,0.10512289453345151,0.5106073679471789,0.12845243375735393,2,14,149.38330078125
17,0.0002744628582149744,0.5605760620019282,0.5054648799996357,0.10575671283685742,0.5120704531812725,0.12845243375735393,2,15,149.38330078125
18,0.0002268012147396803,0.5125603089982178,0.4050120239990065,0.10548145027429617,0.511953218787515,0.12845243375735393,2,16,149.38330078125
19,0.00015119469026103616,0.5388253540004371,3.363967971999955,0.1054202859115371,0.5116765456182473,0.12845243375735393,2,17,149.38330078125
20,0.00014247121289372443,0.5364298920030706,0.9366623579990119,0.10546536196610763,0.5119016356542617,0.12845243375735393,2,18,149.38330078125
21,0.00012835662346333265,2.977217571999063,3.7123355629955768,0.10583796940263365,0.5130177070828332,0.12845243375735393,2,19,149.38330078125
22,0.0001743646222166717,0.5148045680034556,3.449269443997764,0.10643065906007874,0.5143682472989196,0.12845243375735393,2,20,149.38330078125
