epoch,time_s
0,9.278785943984985
1,9.440776586532593
2,9.163156032562256
3,9.331865310668945
4,9.286339044570923
5,9.191432476043701
6,9.131684064865112
7,9.175641298294067
8,9.125278234481812
9,9.278645515441895
10,9.133591651916504
11,9.186219215393066
12,9.247442245483398
13,9.38053560256958
14,9.470091819763184
15,9.069272994995117
16,9.541828870773315
17,9.15474820137024
18,9.215550661087036
19,9.000279188156128
20,9.47586727142334
21,9.278358936309814
22,9.099387168884277
23,9.179094791412354
24,9.390798807144165
25,9.394883871078491
26,9.779757261276245
27,9.613542079925537
28,9.231066942214966
29,9.273465156555176
30,9.124592065811157
31,9.128289461135864
32,9.50528860092163
33,9.214982986450195
34,8.89369797706604
35,9.04328989982605
36,9.14638352394104
37,9.336963653564453
38,9.546850442886353
39,9.399856090545654
