==============================================================================
GHRN | tfinance | unified | TR40 | seed 42
==============================================================================
Run ID: ghrn_tfinance_unified_tr40_seed42_t4_20260916T235426Z
Device: cuda:0
Protocol: vast-v4.4  selection=auprc
Deletion ratio: 0.015 (post_aggregation)
Loaded tfinance: 39,357 nodes, 10 features, 1 relation(s)
Split: train 15,742 | valid 7,871 | test 15,744
Graph: 39,357 nodes, 42,484,443 stored directed edges (backend: dgl)
Training fraud/normal: 722/15,020 | fraud weight 20.8033
Parameters: 17,346 trainable
[protocol] WARNING unset identity fields: model_source_commit
------------------------------------------------------------------------------
STAGE 1: training on the unrefined graph (del_ratio = 0)
[stage1_unrefined] epoch  39/100 | loss 0.407669 | train 0.333s | val AUPRC 0.528033 | val AUROC 0.937838 | thr 0.90 | best epoch 37
[stage1_unrefined] epoch  40/100 | loss 0.371992 | train 0.333s | val AUPRC 0.470781 | val AUROC 0.942567 | thr 0.91 | best epoch 37
[stage1_unrefined] epoch  41/100 | loss 0.397920 | train 0.337s | val AUPRC 0.450904 | val AUROC 0.942896 | thr 0.91 | best epoch 37
[stage1_unrefined] epoch  42/100 | loss 0.419046 | train 0.334s | val AUPRC 0.563880 | val AUROC 0.948482 | thr 0.90 | best epoch 37
[stage1_unrefined] epoch  43/100 | loss 0.354025 | train 0.334s | val AUPRC 0.684250 | val AUROC 0.945666 | thr 0.82 | best epoch 43
[stage1_unrefined] epoch  44/100 | loss 0.331820 | train 0.338s | val AUPRC 0.747667 | val AUROC 0.942199 | thr 0.79 | best epoch 44
[stage1_unrefined] epoch  45/100 | loss 0.355015 | train 0.338s | val AUPRC 0.772913 | val AUROC 0.941768 | thr 0.79 | best epoch 45
[stage1_unrefined] epoch  46/100 | loss 0.367344 | train 0.336s | val AUPRC 0.784821 | val AUROC 0.944728 | thr 0.78 | best epoch 46
[stage1_unrefined] epoch  47/100 | loss 0.349581 | train 0.340s | val AUPRC 0.781551 | val AUROC 0.952187 | thr 0.81 | best epoch 46
[stage1_unrefined] epoch  48/100 | loss 0.317387 | train 0.342s | val AUPRC 0.742584 | val AUROC 0.960319 | thr 0.82 | best epoch 46
[stage1_unrefined] epoch  49/100 | loss 0.314764 | train 0.339s | val AUPRC 0.716492 | val AUROC 0.960190 | thr 0.90 | best epoch 46
[stage1_unrefined] epoch  50/100 | loss 0.336531 | train 0.344s | val AUPRC 0.766226 | val AUROC 0.961920 | thr 0.94 | best epoch 46
[stage1_unrefined] epoch  51/100 | loss 0.316595 | train 0.345s | val AUPRC 0.804232 | val AUROC 0.958334 | thr 0.90 | best epoch 51
[stage1_unrefined] epoch  52/100 | loss 0.296121 | train 0.344s | val AUPRC 0.803528 | val AUROC 0.950179 | thr 0.89 | best epoch 51
[stage1_unrefined] epoch  53/100 | loss 0.306110 | train 0.347s | val AUPRC 0.802269 | val AUROC 0.947232 | thr 0.90 | best epoch 51
[stage1_unrefined] epoch  54/100 | loss 0.313380 | train 0.347s | val AUPRC 0.803521 | val AUROC 0.949332 | thr 0.91 | best epoch 51
[stage1_unrefined] epoch  55/100 | loss 0.304428 | train 0.345s | val AUPRC 0.807136 | val AUROC 0.956123 | thr 0.91 | best epoch 55
[stage1_unrefined] epoch  56/100 | loss 0.289009 | train 0.349s | val AUPRC 0.811457 | val AUROC 0.962247 | thr 0.93 | best epoch 56
[stage1_unrefined] epoch  57/100 | loss 0.287630 | train 0.349s | val AUPRC 0.810172 | val AUROC 0.963550 | thr 0.95 | best epoch 56
[stage1_unrefined] epoch  58/100 | loss 0.296003 | train 0.349s | val AUPRC 0.814791 | val AUROC 0.963560 | thr 0.94 | best epoch 58
[stage1_unrefined] epoch  59/100 | loss 0.287245 | train 0.352s | val AUPRC 0.817990 | val AUROC 0.961115 | thr 0.92 | best epoch 59
[stage1_unrefined] epoch  60/100 | loss 0.276238 | train 0.353s | val AUPRC 0.818509 | val AUROC 0.957138 | thr 0.91 | best epoch 60
[stage1_unrefined] epoch  61/100 | loss 0.278958 | train 0.354s | val AUPRC 0.819671 | val AUROC 0.955669 | thr 0.88 | best epoch 61
[stage1_unrefined] epoch  62/100 | loss 0.282404 | train 0.357s | val AUPRC 0.821727 | val AUROC 0.957542 | thr 0.88 | best epoch 62
[stage1_unrefined] epoch  63/100 | loss 0.276664 | train 0.352s | val AUPRC 0.822882 | val AUROC 0.961105 | thr 0.91 | best epoch 63
[stage1_unrefined] epoch  64/100 | loss 0.269681 | train 0.324s | val AUPRC 0.820055 | val AUROC 0.963249 | thr 0.94 | best epoch 63
[stage1_unrefined] epoch  65/100 | loss 0.272694 | train 0.358s | val AUPRC 0.818210 | val AUROC 0.963620 | thr 0.92 | best epoch 63
[stage1_unrefined] epoch  66/100 | loss 0.274487 | train 0.356s | val AUPRC 0.822969 | val AUROC 0.963113 | thr 0.93 | best epoch 66
[stage1_unrefined] epoch  67/100 | loss 0.267902 | train 0.361s | val AUPRC 0.825189 | val AUROC 0.960995 | thr 0.91 | best epoch 67
[stage1_unrefined] epoch  68/100 | loss 0.266137 | train 0.361s | val AUPRC 0.825572 | val AUROC 0.959168 | thr 0.90 | best epoch 68
[stage1_unrefined] epoch  69/100 | loss 0.268952 | train 0.364s | val AUPRC 0.825931 | val AUROC 0.959574 | thr 0.90 | best epoch 69
[stage1_unrefined] epoch  70/100 | loss 0.267819 | train 0.362s | val AUPRC 0.827401 | val AUROC 0.962048 | thr 0.90 | best epoch 70
[stage1_unrefined] epoch  71/100 | loss 0.263455 | train 0.360s | val AUPRC 0.828301 | val AUROC 0.964473 | thr 0.94 | best epoch 71
[stage1_unrefined] epoch  72/100 | loss 0.262907 | train 0.366s | val AUPRC 0.829097 | val AUROC 0.965480 | thr 0.94 | best epoch 72
[stage1_unrefined] epoch  73/100 | loss 0.264375 | train 0.364s | val AUPRC 0.832697 | val AUROC 0.965700 | thr 0.94 | best epoch 73
[stage1_unrefined] epoch  74/100 | loss 0.264278 | train 0.311s | val AUPRC 0.831737 | val AUROC 0.964492 | thr 0.94 | best epoch 73
