TRIAL_CONFIG | trial=09/12 | hidden=40 | bins=16 | lr=0.001
===== GAAP × YELPCHI — UNIFIED 2-EPOCH SMOKE =====
RATIO=TR40 | TRAIN_SEED=2 | SPLIT_SEED=2
AUTHOR_ARCHITECTURE_CHANGED=NO
TEST_USED_FOR_SELECTION=NO
MAX_EPOCHS=100 | PATIENCE=20
CANONICAL_NODES=45954
CANONICAL_FEATURES=32
RELATION_EDGE_ENTRIES=8051348
HOMOGENEOUS_WITH_SELF_LOOPS=8097302
SHARED_YELP_VIEW_GATE=PASS
EXACT_FROZEN_SPLIT_GATE=PASS
The shape of bin-encoded feature is torch.Size([45954, 32])
Processing dataset done!

GAAP_NATIVE_NORM_TYPE=norm01
GAAP_NATIVE_PREPROCESS=None
GAAP_AUTHOR_DATALOADER_GATE=PASS
TEST_LABELS_HIDDEN_DURING_FIT=PASS
GPU available: True (cuda), used: True
TPU available: False, using: 0 TPU cores
HPU available: False, using: 0 HPUs
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [0]
trial=09/12 | TR40 seed=2 | epoch=001 | loss=0.424001 | valAUPRC=0.436716 | valAUROC=0.788032 | best=0.436716@1 | patience=0/20
trial=09/12 | TR40 seed=2 | epoch=002 | loss=0.402755 | valAUPRC=0.365850 | valAUROC=0.763789 | best=0.436716@1 | patience=1/20
trial=09/12 | TR40 seed=2 | epoch=003 | loss=1.150787 | valAUPRC=0.435918 | valAUROC=0.802274 | best=0.436716@1 | patience=2/20
trial=09/12 | TR40 seed=2 | epoch=004 | loss=0.394758 | valAUPRC=0.450579 | valAUROC=0.813812 | best=0.450579@4 | patience=0/20
trial=09/12 | TR40 seed=2 | epoch=005 | loss=0.356377 | valAUPRC=0.520064 | valAUROC=0.832607 | best=0.520064@5 | patience=0/20
trial=09/12 | TR40 seed=2 | epoch=006 | loss=0.335118 | valAUPRC=0.476238 | valAUROC=0.820530 | best=0.520064@5 | patience=1/20
trial=09/12 | TR40 seed=2 | epoch=007 | loss=0.401970 | valAUPRC=0.494166 | valAUROC=0.826044 | best=0.520064@5 | patience=2/20
trial=09/12 | TR40 seed=2 | epoch=008 | loss=0.339855 | valAUPRC=0.522296 | valAUROC=0.837792 | best=0.522296@8 | patience=0/20
trial=09/12 | TR40 seed=2 | epoch=009 | loss=0.347394 | valAUPRC=0.509426 | valAUROC=0.827815 | best=0.522296@8 | patience=1/20
trial=09/12 | TR40 seed=2 | epoch=010 | loss=0.337228 | valAUPRC=0.542920 | valAUROC=0.850503 | best=0.542920@10 | patience=0/20
trial=09/12 | TR40 seed=2 | epoch=011 | loss=0.327266 | valAUPRC=0.578359 | valAUROC=0.859606 | best=0.578359@11 | patience=0/20
trial=09/12 | TR40 seed=2 | epoch=012 | loss=0.312916 | valAUPRC=0.577645 | valAUROC=0.859631 | best=0.578359@11 | patience=1/20
trial=09/12 | TR40 seed=2 | epoch=013 | loss=0.313578 | valAUPRC=0.579802 | valAUROC=0.865152 | best=0.579802@13 | patience=0/20
trial=09/12 | TR40 seed=2 | epoch=014 | loss=0.310342 | valAUPRC=0.588439 | valAUROC=0.863037 | best=0.588439@14 | patience=0/20
trial=09/12 | TR40 seed=2 | epoch=015 | loss=0.316930 | valAUPRC=0.592577 | valAUROC=0.868770 | best=0.592577@15 | patience=0/20
trial=09/12 | TR40 seed=2 | epoch=016 | loss=0.300023 | valAUPRC=0.608736 | valAUROC=0.871003 | best=0.608736@16 | patience=0/20
trial=09/12 | TR40 seed=2 | epoch=017 | loss=0.300364 | valAUPRC=0.625883 | valAUROC=0.882797 | best=0.625883@17 | patience=0/20
trial=09/12 | TR40 seed=2 | epoch=018 | loss=0.286407 | valAUPRC=0.639511 | valAUROC=0.884558 | best=0.639511@18 | patience=0/20
trial=09/12 | TR40 seed=2 | epoch=019 | loss=0.278565 | valAUPRC=0.655824 | valAUROC=0.893645 | best=0.655824@19 | patience=0/20
trial=09/12 | TR40 seed=2 | epoch=020 | loss=0.272060 | valAUPRC=0.669324 | valAUROC=0.898298 | best=0.669324@20 | patience=0/20
trial=09/12 | TR40 seed=2 | epoch=021 | loss=0.266256 | valAUPRC=0.690967 | valAUROC=0.903412 | best=0.690967@21 | patience=0/20
trial=09/12 | TR40 seed=2 | epoch=022 | loss=0.257815 | valAUPRC=0.688240 | valAUROC=0.903915 | best=0.690967@21 | patience=1/20
trial=09/12 | TR40 seed=2 | epoch=023 | loss=0.255166 | valAUPRC=0.691482 | valAUROC=0.906228 | best=0.691482@23 | patience=0/20
trial=09/12 | TR40 seed=2 | epoch=024 | loss=0.248676 | valAUPRC=0.708269 | valAUROC=0.910310 | best=0.708269@24 | patience=0/20
trial=09/12 | TR40 seed=2 | epoch=025 | loss=0.243584 | valAUPRC=0.709685 | valAUROC=0.916828 | best=0.709685@25 | patience=0/20
trial=09/12 | TR40 seed=2 | epoch=026 | loss=0.238370 | valAUPRC=0.726418 | valAUROC=0.918809 | best=0.726418@26 | patience=0/20
trial=09/12 | TR40 seed=2 | epoch=027 | loss=0.230550 | valAUPRC=0.749774 | valAUROC=0.926066 | best=0.749774@27 | patience=0/20
trial=09/12 | TR40 seed=2 | epoch=028 | loss=0.226691 | valAUPRC=0.749886 | valAUROC=0.924893 | best=0.749886@28 | patience=0/20
trial=09/12 | TR40 seed=2 | epoch=029 | loss=0.222980 | valAUPRC=0.751939 | valAUROC=0.929419 | best=0.751939@29 | patience=0/20
trial=09/12 | TR40 seed=2 | epoch=030 | loss=0.217299 | valAUPRC=0.750183 | valAUROC=0.924804 | best=0.751939@29 | patience=1/20
trial=09/12 | TR40 seed=2 | epoch=031 | loss=0.233355 | valAUPRC=0.778616 | valAUROC=0.935108 | best=0.778616@31 | patience=0/20
trial=09/12 | TR40 seed=2 | epoch=032 | loss=0.211721 | valAUPRC=0.768958 | valAUROC=0.934153 | best=0.778616@31 | patience=1/20
trial=09/12 | TR40 seed=2 | epoch=033 | loss=0.211358 | valAUPRC=0.778118 | valAUROC=0.933675 | best=0.778616@31 | patience=2/20
trial=09/12 | TR40 seed=2 | epoch=034 | loss=0.209124 | valAUPRC=0.780797 | valAUROC=0.933879 | best=0.780797@34 | patience=0/20
trial=09/12 | TR40 seed=2 | epoch=035 | loss=0.199315 | valAUPRC=0.760615 | valAUROC=0.930455 | best=0.780797@34 | patience=1/20
trial=09/12 | TR40 seed=2 | epoch=036 | loss=0.194377 | valAUPRC=0.686503 | valAUROC=0.891760 | best=0.780797@34 | patience=2/20
trial=09/12 | TR40 seed=2 | epoch=037 | loss=0.203670 | valAUPRC=0.792697 | valAUROC=0.939081 | best=0.792697@37 | patience=0/20
