epoch,loss,train_seconds,validation_seconds,validation_auroc,validation_auprc,validation_macro_f1,validation_threshold,timestamp_utc
0,8.120006561279297,0.8006052140000293,0.12518663199989533,0.5748787397044016,0.06270821489923503,0.48823146944083223,0.44999999999999996,2026-09-09T15:28:12.521938+00:00
1,102.79804992675781,0.26068668499999603,,,,,,2026-09-09T15:28:13.019606+00:00
2,61.79690170288086,0.26704335800002355,,,,,,2026-09-09T15:28:13.287081+00:00
3,21.000394821166992,0.2666946059999873,,,,,,2026-09-09T15:28:13.554186+00:00
4,3.2168235778808594,0.26847396200003004,0.13484171000004608,0.6459293425939929,0.06389578432100025,0.25717591911239046,0.95,2026-09-09T15:28:13.823078+00:00
5,11.609781265258789,0.26013439299993024,,,,,,2026-09-09T15:28:14.295241+00:00
6,7.4421706199646,0.26668721600003664,,,,,,2026-09-09T15:28:14.562312+00:00
7,2.5797572135925293,0.267226201000085,,,,,,2026-09-09T15:28:14.829943+00:00
8,0.7765518426895142,0.26894942500007346,,,,,,2026-09-09T15:28:15.099278+00:00
9,1.229453682899475,0.2676466249999976,0.1334104129999787,0.9166647609281807,0.6402629467522665,0.8010168149195498,0.39999999999999997,2026-09-09T15:28:15.367336+00:00
10,1.5818617343902588,0.25862388500002,,,,,,2026-09-09T15:28:15.870762+00:00
11,1.5323139429092407,0.2667247640000596,,,,,,2026-09-09T15:28:16.137941+00:00
12,1.2110111713409424,0.26857396999992034,,,,,,2026-09-09T15:28:16.406937+00:00
13,0.7761673927307129,0.26820963599993775,,,,,,2026-09-09T15:28:16.675549+00:00
14,0.6448796987533569,0.26665838099995653,0.13386375699997188,0.8262770599496148,0.12809583071605396,0.5658850008919747,0.95,2026-09-09T15:28:16.942635+00:00
15,0.8414545059204102,0.25899366400005874,,,,,,2026-09-09T15:28:17.423071+00:00
16,0.7096205353736877,0.2678614929999412,,,,,,2026-09-09T15:28:17.691329+00:00
17,0.5111660361289978,0.26713611100001344,,,,,,2026-09-09T15:28:17.958861+00:00
18,0.44008201360702515,0.26950546299997313,,,,,,2026-09-09T15:28:18.228751+00:00
19,0.443392813205719,0.266750366999986,0.13414471800001593,0.9404535411694841,0.6594845314227348,0.8465329633905243,0.6,2026-09-09T15:28:18.495910+00:00
20,0.4551617503166199,0.25934095799993884,,,,,,2026-09-09T15:28:19.002493+00:00
21,0.4523659348487854,0.2677844989999585,,,,,,2026-09-09T15:28:19.270665+00:00
22,0.4304451644420624,0.26989389800007757,,,,,,2026-09-09T15:28:19.540972+00:00
23,0.3962841033935547,0.2676329540000779,,,,,,2026-09-09T15:28:19.809024+00:00
24,0.36117592453956604,0.2673444339999378,0.13449599199998374,0.9556875228227553,0.7296708850598507,0.8490418254731563,0.7,2026-09-09T15:28:20.076788+00:00
25,0.32770824432373047,0.2581978960000697,,,,,,2026-09-09T15:28:20.578155+00:00
26,0.3030037581920624,0.2669468719999486,,,,,,2026-09-09T15:28:20.845508+00:00
27,0.29300931096076965,0.2705374720000009,,,,,,2026-09-09T15:28:21.116453+00:00
28,0.29935818910598755,0.26841840700001285,,,,,,2026-09-09T15:28:21.385272+00:00
29,0.31241971254348755,0.2670646010000155,0.13564904599991223,0.9441092393890324,0.7279029165615261,0.8166123870722204,0.95,2026-09-09T15:28:21.652716+00:00
