run_no,run_id,ratio,train_seed,auprc,auroc,macro_f1,fraud_precision,fraud_recall,fraud_f1,gmean,threshold,best_val_auprc,best_epoch,training_seconds_total,mean_train_epoch_seconds,final_test_inference_seconds_full_graph,final_test_inference_ms_per_test_node,peak_overall_gpu_mb
1,tfinance_tr40_seed2,TR40,2,0.8828833478103252,0.9751510396986232,0.9260371153394409,0.8960843373493976,0.8240997229916898,0.8585858585858586,0.9057119652783927,0.64,0.8897255063056946,34,3454.8612971070397,63.97891290938963,8.11815221098368,0.5156674211385175,14176.751953125
2,tfinance_tr40_seed42,TR40,42,0.8743491280701083,0.9733551236947867,0.9268908199242976,0.8764367816091954,0.8448753462603878,0.8603667136812412,0.9165359601930892,0.27,0.895173966884613,23,2579.5801163579454,59.99023526413826,7.223754411999835,0.4588550093374728,14215.6259765625
3,tfinance_tr40_seed72,TR40,72,0.9047336578906039,0.9759496446433903,0.9273539727677911,0.9238095238095239,0.8060941828254847,0.8609467455621301,0.8963918159452526,0.44,0.8950154781341553,25,2706.0598070479755,60.1346623788439,8.373326266999356,0.5318761523851462,14213.27099609375
4,tfinance_tr30_seed2,TR30,2,0.9010922970586209,0.968558238226409,0.9258929332532523,0.9139280125195618,0.8088642659279779,0.858192505510654,0.8977207676394868,0.35,0.8892127871513367,24,2590.4993444640713,58.87498510145617,7.366095038014464,0.467896527854568,14214.263671875
5,tfinance_tr30_seed42,TR30,42,0.9017044522170516,0.9729722801743304,0.9249408461588193,0.8883928571428571,0.8268698060941828,0.8565279770444764,0.9070508459068649,0.68,0.8919573426246643,32,3089.394200899056,59.41142694036647,7.335693867993541,0.46596543657457545,14214.65869140625
6,tfinance_tr30_seed72,TR30,72,0.8936746713257151,0.9705184671284763,0.9222575284185335,0.8790560471976401,0.8254847645429363,0.8514285714285714,0.9060785966870668,0.63,0.8806541562080383,47,4347.026765078888,64.88099649371475,7.912367937009549,0.5025959434040239,14214.5654296875
7,tfinance_tr20_seed2,TR20,2,0.897164566312801,0.9756692892185471,0.9324157334969223,0.9211746522411128,0.8254847645429363,0.870708546384222,0.9070182137959688,0.37,0.8877784609794617,34,3499.677334422013,64.80883952633357,7.29662649097736,0.4634838652720168,14213.7509765625
8,tfinance_tr20_seed42,TR20,42,0.8979708930629253,0.9730892908745853,0.9274189366072856,0.8953662182361734,0.8296398891966759,0.8612508986340762,0.9087208862552555,0.49,0.8911669850349426,24,2633.823111623933,59.859616173271206,7.281414789991686,0.4625176135419987,14215.6259765625
9,tfinance_tr20_seed72,TR20,72,0.8870511518126855,0.9714693980597061,0.9320249604784632,0.9031296572280179,0.8393351800554016,0.8700646087580761,0.9141680074197522,0.35,0.8849471211433411,40,3609.24507404209,60.154084567368166,7.307630226016045,0.4641828257648507,14216.3076171875
10,tfinance_tr10_seed2,TR10,2,0.8948158481481505,0.9727260874480254,0.9253586568903991,0.8605299860529986,0.8545706371191135,0.857539958304378,0.9213476349240574,0.22,0.8881558775901794,14,2019.5648109959147,59.39896502929161,7.5716071279894095,0.4809507163812113,14214.13427734375
11,tfinance_tr10_seed42,TR10,42,0.8962599214243265,0.9740556203770862,0.925935153810378,0.8972809667673716,0.8227146814404432,0.8583815028901735,0.9049808040766484,0.63,0.8867740035057068,35,3271.493198613083,59.48169452023787,7.482687749987235,0.4753025312829343,14213.8310546875
12,tfinance_tr10_seed72,TR10,72,0.8920978974794467,0.9731241451257253,0.9247764776646308,0.8710601719197708,0.8421052631578947,0.856338028169014,0.9149096651439665,0.22,0.8869273066520691,26,2707.4014110970893,58.85655241515411,7.143254398019053,0.453741624723309,14215.375
