=== Run: splitgnn_amazon_unified_tr30_seed72_a6000_20260917T234103Z ===
Result dir: /workspace/splitgnn_vast/results/splitgnn/amazon/unified/tr30/seed_72
Split overlap checks: PASSED
train=3584 valid=2389 test=4777
Model source commit: 32fbdb836781d5c02523844a7079425f89be8831
Config SHA256: 4a54719575cbda02b53a17d1c22a6f9f8b911f38168a270456b7c20080eaff29
Split SHA256: 194b49f7cac03b0081747e62cd5d422718e854d4350e200337c19b7663dca8dc
epoch 42: loss=1.0713 val_auprc=0.4186 val_auc=0.8483 val_f1_macro=0.6250 (best_epoch=42, best_auprc=0.4186)
epoch 43: loss=1.0693 val_auprc=0.4235 val_auc=0.8464 val_f1_macro=0.6370 (best_epoch=43, best_auprc=0.4235)
epoch 44: loss=1.0677 val_auprc=0.4149 val_auc=0.8484 val_f1_macro=0.6615 (best_epoch=43, best_auprc=0.4235)
epoch 45: loss=1.0789 val_auprc=0.4136 val_auc=0.8474 val_f1_macro=0.6247 (best_epoch=43, best_auprc=0.4235)
epoch 46: loss=1.0084 val_auprc=0.4081 val_auc=0.8497 val_f1_macro=0.6075 (best_epoch=43, best_auprc=0.4235)
epoch 47: loss=1.0198 val_auprc=0.4068 val_auc=0.8515 val_f1_macro=0.6411 (best_epoch=43, best_auprc=0.4235)
epoch 48: loss=1.0043 val_auprc=0.4106 val_auc=0.8526 val_f1_macro=0.6663 (best_epoch=43, best_auprc=0.4235)
epoch 49: loss=1.1052 val_auprc=0.4169 val_auc=0.8545 val_f1_macro=0.6539 (best_epoch=43, best_auprc=0.4235)
epoch 50: loss=1.0393 val_auprc=0.4192 val_auc=0.8565 val_f1_macro=0.6395 (best_epoch=43, best_auprc=0.4235)
epoch 51: loss=1.0041 val_auprc=0.4181 val_auc=0.8566 val_f1_macro=0.6715 (best_epoch=43, best_auprc=0.4235)
epoch 52: loss=1.0102 val_auprc=0.4197 val_auc=0.8563 val_f1_macro=0.6713 (best_epoch=43, best_auprc=0.4235)
epoch 53: loss=1.0017 val_auprc=0.4205 val_auc=0.8575 val_f1_macro=0.6490 (best_epoch=43, best_auprc=0.4235)
epoch 54: loss=0.9925 val_auprc=0.4229 val_auc=0.8634 val_f1_macro=0.6346 (best_epoch=43, best_auprc=0.4235)
epoch 55: loss=0.9945 val_auprc=0.4205 val_auc=0.8630 val_f1_macro=0.6268 (best_epoch=43, best_auprc=0.4235)
epoch 56: loss=0.9718 val_auprc=0.4211 val_auc=0.8629 val_f1_macro=0.6394 (best_epoch=43, best_auprc=0.4235)
epoch 57: loss=1.0018 val_auprc=0.4244 val_auc=0.8627 val_f1_macro=0.6320 (best_epoch=57, best_auprc=0.4244)
epoch 58: loss=0.9823 val_auprc=0.4272 val_auc=0.8640 val_f1_macro=0.6107 (best_epoch=58, best_auprc=0.4272)
epoch 59: loss=0.9439 val_auprc=0.4316 val_auc=0.8649 val_f1_macro=0.6099 (best_epoch=59, best_auprc=0.4316)
epoch 60: loss=0.9559 val_auprc=0.4325 val_auc=0.8650 val_f1_macro=0.6253 (best_epoch=60, best_auprc=0.4325)
epoch 61: loss=0.9455 val_auprc=0.4322 val_auc=0.8661 val_f1_macro=0.6449 (best_epoch=60, best_auprc=0.4325)
epoch 62: loss=0.9774 val_auprc=0.4398 val_auc=0.8683 val_f1_macro=0.6289 (best_epoch=62, best_auprc=0.4398)
epoch 63: loss=0.9421 val_auprc=0.4322 val_auc=0.8688 val_f1_macro=0.6371 (best_epoch=62, best_auprc=0.4398)
epoch 64: loss=0.9513 val_auprc=0.4293 val_auc=0.8686 val_f1_macro=0.6398 (best_epoch=62, best_auprc=0.4398)
epoch 65: loss=0.9572 val_auprc=0.4280 val_auc=0.8685 val_f1_macro=0.6421 (best_epoch=62, best_auprc=0.4398)
epoch 66: loss=0.9713 val_auprc=0.4329 val_auc=0.8694 val_f1_macro=0.6303 (best_epoch=62, best_auprc=0.4398)
epoch 67: loss=0.9676 val_auprc=0.4375 val_auc=0.8721 val_f1_macro=0.6213 (best_epoch=62, best_auprc=0.4398)
epoch 68: loss=0.9417 val_auprc=0.4317 val_auc=0.8717 val_f1_macro=0.6260 (best_epoch=62, best_auprc=0.4398)
epoch 69: loss=1.0907 val_auprc=0.4229 val_auc=0.8699 val_f1_macro=0.6546 (best_epoch=62, best_auprc=0.4398)
epoch 70: loss=1.0391 val_auprc=0.4196 val_auc=0.8702 val_f1_macro=0.6477 (best_epoch=62, best_auprc=0.4398)
epoch 71: loss=1.0142 val_auprc=0.4217 val_auc=0.8708 val_f1_macro=0.5198 (best_epoch=62, best_auprc=0.4398)
epoch 72: loss=1.0660 val_auprc=0.4213 val_auc=0.8736 val_f1_macro=0.4415 (best_epoch=62, best_auprc=0.4398)
epoch 73: loss=1.0896 val_auprc=0.4175 val_auc=0.8740 val_f1_macro=0.4523 (best_epoch=62, best_auprc=0.4398)
epoch 74: loss=1.1236 val_auprc=0.4156 val_auc=0.8706 val_f1_macro=0.5078 (best_epoch=62, best_auprc=0.4398)
epoch 75: loss=1.0621 val_auprc=0.4152 val_auc=0.8666 val_f1_macro=0.5926 (best_epoch=62, best_auprc=0.4398)
epoch 76: loss=1.0126 val_auprc=0.4106 val_auc=0.8636 val_f1_macro=0.6354 (best_epoch=62, best_auprc=0.4398)
epoch 77: loss=0.9920 val_auprc=0.4112 val_auc=0.8581 val_f1_macro=0.6388 (best_epoch=62, best_auprc=0.4398)
epoch 78: loss=1.0285 val_auprc=0.4181 val_auc=0.8609 val_f1_macro=0.6162 (best_epoch=62, best_auprc=0.4398)
epoch 79: loss=1.0519 val_auprc=0.4226 val_auc=0.8610 val_f1_macro=0.5812 (best_epoch=62, best_auprc=0.4398)
epoch 80: loss=1.0294 val_auprc=0.4264 val_auc=0.8638 val_f1_macro=0.5663 (best_epoch=62, best_auprc=0.4398)
epoch 81: loss=1.0318 val_auprc=0.4309 val_auc=0.8692 val_f1_macro=0.5800 (best_epoch=62, best_auprc=0.4398)
epoch 82: loss=1.0637 val_auprc=0.4254 val_auc=0.8735 val_f1_macro=0.6125 (best_epoch=62, best_auprc=0.4398)
Early stopping at epoch 82 (no improvement for 20 epochs)
Selected threshold (best val macro-F1): 0.75 (val F1=0.7423)
TEST metrics: {'auprc': 0.5297534909979734, 'auc': 0.8991654742912905, 'f1_macro': 0.7589789777923571, 'recall': 0.5823170731707317, 'threshold_used': 0.7500000000000001, 'best_epoch': 62}
