epoch,train_seconds
1,41.1942606579978
2,41.61736676795408
3,41.30053947796114
4,41.70493105892092
5,42.38685896783136
6,41.36473102797754
7,42.00473211915232
8,40.93645126000047
9,41.592763925902545
10,41.41970276506618
11,41.081279336009175
12,41.81159432604909
13,41.64032196486369
14,41.61523619689979
15,41.126158585073426
16,41.882217074977234
17,41.242633152985945
18,41.0637848880142
19,41.36925622797571
20,41.18779635592364
21,41.1899849709589
22,41.845542697934434
23,41.71624891203828
24,40.66565023199655
25,41.8036768429447
26,41.3413535868749
27,41.87558482005261
28,41.51467575598508
29,41.25149027700536
30,41.1595095009543
31,41.48202767316252
32,41.2907134979032
33,41.58327624690719
34,41.42788833193481
35,41.2805616739206
36,42.025089957984164
37,41.45094266207889
38,41.50451466604136
39,41.39862237102352
40,40.87039717612788
41,40.4067870201543
42,41.14256273815408
43,41.207963480148464
44,41.94925827998668
45,41.26099550817162
46,41.39334264397621
47,41.64391118101776
48,41.16218074783683
49,41.99210637691431
50,41.46929538389668
51,41.15319633902982
52,41.54416175908409
53,41.26369870500639
54,41.650871435180306
55,42.13546314812265
56,41.055783450836316
57,41.200858749914914
58,40.47417172905989
59,41.27997584408149
60,41.10733216907829
61,41.58330432488583
62,40.75360495597124
63,41.439902264857665
64,41.53310713986866
65,41.27163079101592
66,41.26320320810191
67,41.954802099149674
68,41.720221461961046
69,41.75594675610773
70,40.70889259013347
71,41.17855152487755
72,41.21727702091448
73,41.361665819073096
74,41.284236166859046
75,41.7559232681524
76,41.348350127926096
77,41.31269266293384
78,41.17330840812065
79,41.09023061301559
80,40.31446307199076
81,41.6296142230276
82,41.43328798585571
83,41.566588938003406
84,41.62177682807669
85,41.06458444404416
86,41.02607579389587
87,40.90112392487936
88,40.78225547191687
89,41.21359349717386
90,41.12859260896221
91,41.552830117056146
92,41.09347496088594
93,41.01608789805323
94,41.36164945107885
95,41.25142413680442
96,41.69842059002258
97,41.55777430604212
98,40.85349077288993
99,41.65706364111975
100,41.52796537801623
