epoch,avg_train_loss,train_seconds,validation_seconds,val_auprc,val_auroc,best_val_auprc_so_far,best_epoch_so_far,patience_count,peak_gpu_memory_mb_so_far
1,0.4512939929962158,4.723044050995668,2.8834776009971392,0.1210692301573797,0.5546218487394958,0.1210692301573797,1,0,149.37841796875
2,0.3058337688446045,0.6530221459979657,0.5467313030021614,0.1323001933043833,0.5650135054021609,0.1323001933043833,2,0,149.37841796875
3,0.20941414833068847,0.7347422020029626,0.5847070489980979,0.13144797156644875,0.5651354291716687,0.1323001933043833,2,1,149.3828125
4,0.10033410787582397,0.7845766289974563,0.44163732600281946,0.11072568468100322,0.53125,0.1323001933043833,2,2,149.3828125
5,0.052743828296661376,0.6444679819978774,0.45145146200229647,0.10994162292123705,0.5294492797118847,0.1323001933043833,2,3,149.3828125
6,0.035142922401428224,0.6240303259983193,0.6217785629996797,0.11178786569218545,0.5372899159663865,0.1323001933043833,2,4,149.3828125
7,0.02732810378074646,0.56674813599966,0.42575899199437117,0.1132916334408116,0.5393626200480193,0.1323001933043833,2,5,149.3828125
8,0.015872813761234283,0.6282986890000757,0.40952468500472605,0.11671830081208542,0.5443614945978391,0.1323001933043833,2,6,149.3828125
9,0.014997264742851258,0.626057919995219,0.5507000209981925,0.11394722312664965,0.5369804171668667,0.1323001933043833,2,7,149.3828125
10,0.005860883742570877,0.6103728649977711,0.5225132490013493,0.11095468156202629,0.5267950930372148,0.1323001933043833,2,8,149.3828125
11,0.0023147864267230034,0.5681714590027696,0.420577268996567,0.10847679265862731,0.5200658388355343,0.1323001933043833,2,9,149.3828125
12,0.0013506040908396245,0.5508150150053552,0.426763645002211,0.10842303032460279,0.5168254801920769,0.1323001933043833,2,10,149.38427734375
13,0.0006254023872315883,0.5406822769946302,0.5902362220003852,0.11022743831471342,0.518546481092437,0.1323001933043833,2,11,149.38427734375
14,0.0003212065668776631,0.528031590001774,0.4453313869962585,0.11088456225764283,0.5191279636854743,0.1323001933043833,2,12,149.38427734375
15,0.000229287869296968,0.5920383799966658,0.4503800879974733,0.11071947811746183,0.518171331032413,0.1323001933043833,2,13,149.38427734375
16,0.0001471074763685465,0.6276899769945885,0.5337045999986003,0.11056733136010913,0.5171443577430972,0.1323001933043833,2,14,149.38427734375
17,0.00011028207372874022,0.5894793560000835,0.4650393259944394,0.11045986829947857,0.516609768907563,0.1323001933043833,2,15,149.38427734375
18,0.00011712484993040562,0.5672086240010685,0.3763977580019855,0.11036663408912928,0.5162908913565426,0.1323001933043833,2,16,149.38427734375
19,7.967341225594282e-05,0.5266465649983729,1.5179969960008748,0.11034519148663971,0.5158172644057624,0.1323001933043833,2,17,149.38427734375
20,0.00010710778879001737,2.174422226999013,0.42423956799757434,0.11033473505975791,0.5156015531212486,0.1323001933043833,2,18,149.38427734375
21,6.771323387511075e-05,3.728999216000375,3.3928553010046016,0.11038592104922623,0.5155124549819928,0.1323001933043833,2,19,149.38427734375
22,6.53013470582664e-05,0.7976592479972169,3.2669843550029327,0.11026343980004091,0.5151607518007202,0.1323001933043833,2,20,149.38427734375
