epoch,train_seconds,validation_seconds,cumulative_seconds,train_loss,validation_auroc,validation_auprc,validation_macro_f1,validation_threshold,is_best_checkpoint,timestamp_utc,notes
0,61.24060727999995,319.73290092199977,380.9735082019997,83.7721548010833,0.587925673255391,0.03657313561879022,0.2308681993592635,0.99,True,2026-09-17T00:13:30.524989+00:00,
1,68.87357930400049,327.29289618500025,777.1399836910005,19.6055239830574,0.7130737962431096,0.056341272680403794,0.5115116409048516,0.01,True,2026-09-17T00:20:17.975668+00:00,
2,61.91010502399968,328.3488868630002,1167.3989755780003,17.506722457217474,0.7121406293107708,0.055979800016999745,0.4253706624362417,0.99,False,2026-09-17T00:26:59.916241+00:00,
3,61.44617237700004,328.3080993650001,1557.1532473200004,13.090320761186364,0.6798599523405775,0.04847403795113264,0.40403111788053664,0.99,False,2026-09-17T00:33:41.158414+00:00,
4,61.73394906500016,328.621823337,1947.5090197220006,12.556677766089893,0.7413494370869834,0.07203194506555183,0.5099471954987097,0.01,True,2026-09-17T00:40:22.844593+00:00,
5,61.49825028000032,327.4545838999993,2336.4618539020003,13.47211191776025,0.7123648755141831,0.055746832493861545,0.4543097038137238,0.99,False,2026-09-17T00:47:03.350201+00:00,
6,61.004055585999595,327.797785275,2725.263694763,11.099848200804995,0.7661324737100899,0.08592878522475503,0.5538213232488328,0.59,True,2026-09-17T00:53:43.266639+00:00,
7,61.05027258300015,328.8865350349997,3115.2005023809998,11.19646747790984,0.7135895711726224,0.057842236368427564,0.42362311857639895,0.99,False,2026-09-17T01:00:24.996243+00:00,
8,62.20964177300084,331.28881832500065,3508.6989624790012,8.625264453191827,0.730349646701881,0.057334466082764754,0.4929974745238862,0.99,False,2026-09-17T01:07:10.385740+00:00,
9,62.44511566199981,333.0283152189995,3904.1723933600006,9.990599750602332,0.7504464967188311,0.06801610141057901,0.5120782565174625,0.99,False,2026-09-17T01:13:57.711685+00:00,
