epoch,time_s
0,6.922250986099243
1,6.85452675819397
2,7.080874443054199
3,7.05681300163269
4,7.454939365386963
5,7.131436347961426
6,6.909995794296265
7,6.875977993011475
8,6.7099621295928955
9,6.9939000606536865
10,6.78892707824707
11,7.077785491943359
12,7.120945692062378
13,6.862372636795044
14,6.968137264251709
15,6.645338535308838
16,7.002715110778809
17,6.839021682739258
18,6.893522500991821
19,6.956754446029663
20,6.877907037734985
21,7.053891897201538
22,6.86161208152771
23,7.1234025955200195
24,7.034181594848633
25,7.207690715789795
26,6.897783994674683
27,6.814324617385864
28,6.755554437637329
29,6.671063661575317
30,6.702050685882568
31,6.606521129608154
32,7.004894018173218
33,6.952428579330444
34,7.362566709518433
35,7.540783643722534
36,6.766837120056152
37,7.002195835113525
38,6.849722623825073
39,6.642118215560913
40,7.162489414215088
41,7.2674665451049805
42,7.1245551109313965
43,6.891234636306763
44,7.07714056968689
45,6.990135431289673
46,6.916573762893677
47,7.015109300613403
48,7.146004915237427
49,7.722489595413208
50,7.213340759277344
