=== Run: splitgnn_amazon_unified_tr40_seed2_a6000_20260917T225714Z ===
Result dir: /workspace/splitgnn_vast/results/splitgnn/amazon/unified/tr40/seed_2
No existing split file at /workspace/splitgnn_vast/splits/amazon_seed2_nested_splits.npz, generating now.
Split overlap checks: PASSED
train=4778 valid=2389 test=4777
epoch 42: loss=1.0043 val_auprc=0.4333 val_auc=0.8656 val_f1_macro=0.5919 (best_epoch=40, best_auprc=0.4341)
epoch 43: loss=1.0354 val_auprc=0.4317 val_auc=0.8649 val_f1_macro=0.5786 (best_epoch=40, best_auprc=0.4341)
epoch 44: loss=1.0474 val_auprc=0.4332 val_auc=0.8657 val_f1_macro=0.5646 (best_epoch=40, best_auprc=0.4341)
epoch 45: loss=1.0417 val_auprc=0.4340 val_auc=0.8657 val_f1_macro=0.5552 (best_epoch=40, best_auprc=0.4341)
epoch 46: loss=1.0530 val_auprc=0.4322 val_auc=0.8570 val_f1_macro=0.5714 (best_epoch=40, best_auprc=0.4341)
epoch 47: loss=1.0808 val_auprc=0.4389 val_auc=0.8666 val_f1_macro=0.5693 (best_epoch=47, best_auprc=0.4389)
epoch 48: loss=1.0276 val_auprc=0.4474 val_auc=0.8717 val_f1_macro=0.6168 (best_epoch=48, best_auprc=0.4474)
epoch 49: loss=1.0301 val_auprc=0.4561 val_auc=0.8810 val_f1_macro=0.6490 (best_epoch=49, best_auprc=0.4561)
epoch 50: loss=0.9898 val_auprc=0.4610 val_auc=0.8815 val_f1_macro=0.6784 (best_epoch=50, best_auprc=0.4610)
epoch 51: loss=1.0026 val_auprc=0.4576 val_auc=0.8753 val_f1_macro=0.6790 (best_epoch=50, best_auprc=0.4610)
epoch 52: loss=1.0187 val_auprc=0.4664 val_auc=0.8840 val_f1_macro=0.6645 (best_epoch=52, best_auprc=0.4664)
epoch 53: loss=0.9657 val_auprc=0.4617 val_auc=0.8778 val_f1_macro=0.6557 (best_epoch=52, best_auprc=0.4664)
epoch 54: loss=0.9719 val_auprc=0.4593 val_auc=0.8719 val_f1_macro=0.6621 (best_epoch=52, best_auprc=0.4664)
epoch 55: loss=0.9658 val_auprc=0.4624 val_auc=0.8729 val_f1_macro=0.6659 (best_epoch=52, best_auprc=0.4664)
epoch 56: loss=0.9402 val_auprc=0.4663 val_auc=0.8767 val_f1_macro=0.6499 (best_epoch=52, best_auprc=0.4664)
epoch 57: loss=0.9528 val_auprc=0.4690 val_auc=0.8782 val_f1_macro=0.6509 (best_epoch=57, best_auprc=0.4690)
epoch 58: loss=0.9469 val_auprc=0.4706 val_auc=0.8796 val_f1_macro=0.6491 (best_epoch=58, best_auprc=0.4706)
epoch 59: loss=0.9576 val_auprc=0.4662 val_auc=0.8816 val_f1_macro=0.6590 (best_epoch=58, best_auprc=0.4706)
epoch 60: loss=0.9562 val_auprc=0.4481 val_auc=0.8811 val_f1_macro=0.6491 (best_epoch=58, best_auprc=0.4706)
epoch 61: loss=0.9608 val_auprc=0.4551 val_auc=0.8814 val_f1_macro=0.6650 (best_epoch=58, best_auprc=0.4706)
epoch 62: loss=0.9469 val_auprc=0.4576 val_auc=0.8828 val_f1_macro=0.6641 (best_epoch=58, best_auprc=0.4706)
epoch 63: loss=0.9407 val_auprc=0.4600 val_auc=0.8863 val_f1_macro=0.6420 (best_epoch=58, best_auprc=0.4706)
epoch 64: loss=0.9506 val_auprc=0.4623 val_auc=0.8882 val_f1_macro=0.6576 (best_epoch=58, best_auprc=0.4706)
epoch 65: loss=0.9248 val_auprc=0.4609 val_auc=0.8884 val_f1_macro=0.6864 (best_epoch=58, best_auprc=0.4706)
epoch 66: loss=0.9000 val_auprc=0.4610 val_auc=0.8888 val_f1_macro=0.6859 (best_epoch=58, best_auprc=0.4706)
epoch 67: loss=0.9321 val_auprc=0.4575 val_auc=0.8870 val_f1_macro=0.6580 (best_epoch=58, best_auprc=0.4706)
epoch 68: loss=0.9043 val_auprc=0.4588 val_auc=0.8874 val_f1_macro=0.6540 (best_epoch=58, best_auprc=0.4706)
epoch 69: loss=0.9255 val_auprc=0.4498 val_auc=0.8878 val_f1_macro=0.6594 (best_epoch=58, best_auprc=0.4706)
epoch 70: loss=0.9474 val_auprc=0.4623 val_auc=0.8893 val_f1_macro=0.6827 (best_epoch=58, best_auprc=0.4706)
epoch 71: loss=0.9347 val_auprc=0.4604 val_auc=0.8877 val_f1_macro=0.6738 (best_epoch=58, best_auprc=0.4706)
epoch 72: loss=0.9303 val_auprc=0.4575 val_auc=0.8858 val_f1_macro=0.6500 (best_epoch=58, best_auprc=0.4706)
epoch 73: loss=0.9558 val_auprc=0.4624 val_auc=0.8858 val_f1_macro=0.6512 (best_epoch=58, best_auprc=0.4706)
epoch 74: loss=0.9127 val_auprc=0.4692 val_auc=0.8866 val_f1_macro=0.6733 (best_epoch=58, best_auprc=0.4706)
epoch 75: loss=0.9359 val_auprc=0.4402 val_auc=0.8861 val_f1_macro=0.6608 (best_epoch=58, best_auprc=0.4706)
epoch 76: loss=0.9124 val_auprc=0.4178 val_auc=0.8856 val_f1_macro=0.6262 (best_epoch=58, best_auprc=0.4706)
epoch 77: loss=0.9370 val_auprc=0.4467 val_auc=0.8916 val_f1_macro=0.6563 (best_epoch=58, best_auprc=0.4706)
epoch 78: loss=0.9003 val_auprc=0.4557 val_auc=0.8919 val_f1_macro=0.6708 (best_epoch=58, best_auprc=0.4706)
Early stopping at epoch 78 (no improvement for 20 epochs)
Selected threshold (best val macro-F1): 0.80 (val F1=0.7278)
TEST metrics: {'auprc': 0.5642645304307483, 'auc': 0.9097484910284032, 'f1_macro': 0.7747609663029456, 'recall': 0.5823170731707317, 'threshold_used': 0.8, 'best_epoch': 58}
