epoch,train_seconds,valid_seconds,peak_memory_bytes,loss
0,0.6880376422777772,0.048027887009084225,27816960,1.7023388147354126
1,0.05611862428486347,0.046801427379250526,29369344,1.7062809467315674
2,0.05571341048926115,0.046867127530276775,29369344,1.7033482789993286
3,0.05858514551073313,0.04751199297606945,29369344,1.6993629932403564
4,0.06136481836438179,0.04707949981093407,29369344,1.7015633583068848
5,0.06063670199364424,0.0473440820351243,29369344,1.702434778213501
6,0.06068984139710665,0.04748219158500433,29369344,1.703528881072998
7,0.06091367453336716,0.04684284795075655,29369344,1.7010860443115234
8,0.06040565948933363,0.04749823268502951,29369344,1.7002172470092773
9,0.06185284163802862,0.047112380154430866,29369344,1.702931523323059
10,0.060915195383131504,0.04639590531587601,29369344,1.701066493988037
11,0.0617400910705328,0.04670440685003996,29369344,1.7008384466171265
12,0.06131951790302992,0.04694723803550005,29369344,1.7002146244049072
13,0.060881054028868675,0.04640139453113079,29369344,1.7010961771011353
14,0.06040657963603735,0.04639841429889202,29369344,1.698756217956543
15,0.061024945229291916,0.04731459263712168,29369344,1.7011553049087524
16,0.06105599645525217,0.04675754625350237,29369344,1.7016339302062988
17,0.06033403892070055,0.04760831315070391,29369344,1.6977756023406982
18,0.060832333751022816,0.04656539484858513,29369344,1.699257254600525
19,0.06052130088210106,0.046384344808757305,29369344,1.7002577781677246
20,0.0616401806473732,0.04647583421319723,29369344,1.698326826095581
21,0.06034516077488661,0.047206961549818516,29369344,1.6985875368118286
22,0.061070675030350685,0.04632066376507282,29369344,1.6980020999908447
