epoch,train_seconds,validation_seconds,cumulative_seconds,train_loss,validation_auroc,validation_auprc,validation_macro_f1,validation_threshold,is_best_checkpoint,timestamp_utc,notes
0,0.3467578289564699,0.008235440007410944,0.35499326896388084,1.7271404266357422,0.26973909924521244,0.06271154091327975,0.08824801106883431,0.99,True,2026-09-13T23:22:11.397048+00:00,stage1_unrefined
1,0.015960295975673944,0.007897435047198087,0.37885099998675287,20.12699317932129,0.29422096251013663,0.062106691101923094,0.2818538531278332,0.99,False,2026-09-13T23:22:11.810583+00:00,stage1_unrefined
2,0.015031023998744786,0.007899349962826818,0.40178137394832447,3.5890378952026367,0.8479469465410767,0.5079411411652974,0.7436380140864313,0.02,True,2026-09-13T23:22:12.225174+00:00,stage1_unrefined
3,0.015135156048927456,0.007874255010392517,0.42479078500764444,2.139345169067383,0.850933347888466,0.5363183421841261,0.7463632022918988,0.02,True,2026-09-13T23:22:12.639355+00:00,stage1_unrefined
4,0.015053639945108443,0.007884660037234426,0.4477290849899873,2.2717502117156982,0.8652259684361548,0.6255584585193726,0.7750444090758293,0.13,True,2026-09-13T23:22:13.050816+00:00,stage1_unrefined
5,0.015021497965790331,0.007887048996053636,0.4706376319518313,1.4680671691894531,0.8834445761337409,0.7146067149505125,0.8363878214602424,0.43,True,2026-09-13T23:22:13.469397+00:00,stage1_unrefined
6,0.015061039011925459,0.007876031973864883,0.4935747029376216,0.7245528101921082,0.88445043977294,0.6220307876598693,0.8506951397649221,0.7,False,2026-09-13T23:22:13.888582+00:00,stage1_unrefined
7,0.015021750994492322,0.007885276980232447,0.5164817309123464,0.38284239172935486,0.853307653920529,0.7048382995050134,0.8704910447955088,0.88,False,2026-09-13T23:22:14.311087+00:00,stage1_unrefined
8,0.015322133025620133,0.007884477032348514,0.539688340970315,0.5153102278709412,0.8430150957519805,0.7432508851363037,0.8879036132920948,0.93,True,2026-09-13T23:22:14.739740+00:00,stage1_unrefined
9,0.015269607014488429,0.007875357987359166,0.5628333059721626,0.5277494788169861,0.8576391054831265,0.7541059784391017,0.8993032458386614,0.92,True,2026-09-13T23:22:15.163308+00:00,stage1_unrefined
10,0.01502788404468447,0.007877322030253708,0.5857385120471008,0.42072269320487976,0.9058152953652299,0.773722617831231,0.9049073167889387,0.86,True,2026-09-13T23:22:15.585853+00:00,stage1_unrefined
11,0.01507136900909245,0.007886589970439672,0.6086964710266329,0.3159463405609131,0.913452841369846,0.785502378224459,0.8996243658753824,0.82,True,2026-09-13T23:22:16.008146+00:00,stage1_unrefined
12,0.015023388958070427,0.007876478950493038,0.6315963389351964,0.2988142967224121,0.9196088827895952,0.7926798610322464,0.8980798824658578,0.74,True,2026-09-13T23:22:16.430478+00:00,stage1_unrefined
13,0.01502561999950558,0.007889567990787327,0.6545115269254893,0.28839054703712463,0.9268838500405464,0.7980911222660468,0.8996243658753824,0.68,True,2026-09-13T23:22:16.851899+00:00,stage1_unrefined
14,0.01507265301188454,0.007876911025959998,0.6774610909633338,0.2882237136363983,0.9300106044538707,0.8005680872927704,0.9005618800996726,0.71,True,2026-09-13T23:22:17.271976+00:00,stage1_unrefined
15,0.015024897991679609,0.007878964010160416,0.7003649529651739,0.2933691740036011,0.9312737820472834,0.8012049348093897,0.9027414578390454,0.72,True,2026-09-13T23:22:17.695927+00:00,stage1_unrefined
16,0.015416985959745944,0.00790109799709171,0.7236830369220115,0.2929522693157196,0.9318001060445388,0.801776471171935,0.9058967042063302,0.78,True,2026-09-13T23:22:18.117929+00:00,stage1_unrefined
17,0.015123313991352916,0.00787564500933513,0.7466819959226996,0.2849563956260681,0.9312776807435594,0.8021482708880677,0.9074888857082608,0.85,True,2026-09-13T23:22:18.539726+00:00,stage1_unrefined
18,0.015113039989955723,0.007874653034377843,0.7696696889470331,0.2751709520816803,0.92963438026324,0.7986248404810392,0.9074888857082608,0.89,False,2026-09-13T23:22:18.959909+00:00,stage1_unrefined
19,0.01501171599375084,0.0078801239724271,0.7925615289132111,0.26981785893440247,0.9304784480069865,0.7979963464521702,0.9074888857082608,0.94,False,2026-09-13T23:22:19.381617+00:00,stage1_unrefined
20,0.015076815034262836,0.00788819300942123,0.8155265369568951,0.26791077852249146,0.9333186482440272,0.800968199046059,0.9080666438657351,0.93,False,2026-09-13T23:22:19.803281+00:00,stage1_unrefined
21,0.015060779987834394,0.007878998992964625,0.8384663159376942,0.26717308163642883,0.9380945511820847,0.8058381465936543,0.9080666438657351,0.94,True,2026-09-13T23:22:20.227122+00:00,stage1_unrefined
22,0.015393178968224674,0.007884492981247604,0.8617439878871664,0.2661368250846863,0.9415663402158319,0.8092461858852756,0.9080666438657351,0.95,True,2026-09-13T23:22:20.650801+00:00,stage1_unrefined
23,0.015289431961718947,0.007879474957007915,0.8849128948058933,0.2620795667171478,0.9337182646123137,0.799602087304448,0.9080666438657351,0.94,False,2026-09-13T23:22:21.072586+00:00,stage1_unrefined
24,0.015362884034402668,0.007896297029219568,0.9081720758695155,0.26893261075019836,0.9475664337845424,0.8147732492889194,0.9064821709990821,0.92,True,2026-09-13T23:22:21.493004+00:00,stage1_unrefined
25,0.015024133026599884,0.007874600996728987,0.9310708098928444,0.2561459541320801,0.9512623978541576,0.8181266641846408,0.9064821709990821,0.9,True,2026-09-13T23:22:21.913487+00:00,stage1_unrefined
26,0.015066833002492785,0.007877604977693409,0.9540152478730306,0.25675705075263977,0.9544047470525856,0.821227323553622,0.9074888857082608,0.91,True,2026-09-13T23:22:22.333930+00:00,stage1_unrefined
27,0.015031235001515597,0.00788537401240319,0.9769318568869494,0.2559714615345001,0.9566231052336099,0.8252451687295418,0.9074888857082608,0.91,True,2026-09-13T23:22:22.760444+00:00,stage1_unrefined
28,0.01534665300277993,0.008096122008282691,1.000374631898012,0.25206369161605835,0.9566425987149897,0.8264526167650474,0.9058967042063302,0.9,True,2026-09-13T23:22:23.202051+00:00,stage1_unrefined
29,0.015346329018939286,0.00791583297541365,1.023636793892365,0.24709054827690125,0.9545528975110723,0.8250497404502476,0.9058967042063302,0.92,False,2026-09-13T23:22:23.651468+00:00,stage1_unrefined
30,0.015841119980905205,0.007871173962485045,1.0473490878357552,0.24277499318122864,0.952338438026324,0.8229346955598688,0.9058967042063302,0.94,False,2026-09-13T23:22:24.065613+00:00,stage1_unrefined
31,0.015346186992246658,0.007998107990715653,1.0706933828187175,0.24543671309947968,0.9545567962073482,0.8245353638744128,0.9058967042063302,0.94,False,2026-09-13T23:22:24.484351+00:00,stage1_unrefined
32,0.015334662981331348,0.007835398020688444,1.0938634438207373,0.2396349161863327,0.9560616929698709,0.8262088827940713,0.9058967042063302,0.94,False,2026-09-13T23:22:24.908094+00:00,stage1_unrefined
