==============================================================================
GHRN | amazon | unified | TR40 | seed 42
==============================================================================
Run ID: ghrn_amazon_unified_tr40_seed42_a6000_20260913T232200Z
Device: cuda:0
Protocol: vast-v4.4  selection=auprc
Deletion ratio: 0.015 (post_aggregation)
/venv/main/lib/python3.12/site-packages/scipy/sparse/_index.py:145: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
Loaded amazon: 11,944 nodes, 25 features, 3 relation(s)
[compatibility] NOTE amazon is multi-relational; GHRN is a homogeneous spectral method and receives the frozen union view. Record this pair as PASS_WITH_SHARED_ADAPTER (A1).
Split: train 3,455 | valid 1,728 | test 3,456
Graph: 11,944 nodes, 8,847,096 stored directed edges (backend: dgl)
Training fraud/normal: 328/3,127 | fraud weight 9.5335
Parameters: 18,306 trainable
[protocol] WARNING unset identity fields: model_source_commit
------------------------------------------------------------------------------
STAGE 1: training on the unrefined graph (del_ratio = 0)
[stage1_unrefined] epoch  37/100 | loss 0.230767 | train 0.015s | val AUPRC 0.837350 | val AUROC 0.961699 | thr 0.92 | best epoch 37
[stage1_unrefined] epoch  38/100 | loss 0.228337 | train 0.015s | val AUPRC 0.838346 | val AUROC 0.962144 | thr 0.92 | best epoch 38
[stage1_unrefined] epoch  39/100 | loss 0.226249 | train 0.015s | val AUPRC 0.838899 | val AUROC 0.962834 | thr 0.92 | best epoch 39
[stage1_unrefined] epoch  40/100 | loss 0.223168 | train 0.015s | val AUPRC 0.839937 | val AUROC 0.963754 | thr 0.94 | best epoch 40
[stage1_unrefined] epoch  41/100 | loss 0.219928 | train 0.016s | val AUPRC 0.840676 | val AUROC 0.964471 | thr 0.95 | best epoch 41
[stage1_unrefined] epoch  42/100 | loss 0.217777 | train 0.016s | val AUPRC 0.841372 | val AUROC 0.965212 | thr 0.95 | best epoch 42
[stage1_unrefined] epoch  43/100 | loss 0.214942 | train 0.016s | val AUPRC 0.841508 | val AUROC 0.965773 | thr 0.93 | best epoch 43
[stage1_unrefined] epoch  44/100 | loss 0.211244 | train 0.015s | val AUPRC 0.839897 | val AUROC 0.966296 | thr 0.94 | best epoch 43
[stage1_unrefined] epoch  45/100 | loss 0.208227 | train 0.015s | val AUPRC 0.835470 | val AUROC 0.967228 | thr 0.92 | best epoch 43
[stage1_unrefined] epoch  46/100 | loss 0.205667 | train 0.015s | val AUPRC 0.838031 | val AUROC 0.968623 | thr 0.95 | best epoch 43
[stage1_unrefined] epoch  47/100 | loss 0.201831 | train 0.015s | val AUPRC 0.843794 | val AUROC 0.969871 | thr 0.96 | best epoch 47
[stage1_unrefined] epoch  48/100 | loss 0.199144 | train 0.015s | val AUPRC 0.843025 | val AUROC 0.970380 | thr 0.96 | best epoch 47
[stage1_unrefined] epoch  49/100 | loss 0.196239 | train 0.015s | val AUPRC 0.838085 | val AUROC 0.969777 | thr 0.89 | best epoch 47
[stage1_unrefined] epoch  50/100 | loss 0.193091 | train 0.015s | val AUPRC 0.826251 | val AUROC 0.969742 | thr 0.87 | best epoch 47
[stage1_unrefined] epoch  51/100 | loss 0.190286 | train 0.015s | val AUPRC 0.832185 | val AUROC 0.971890 | thr 0.90 | best epoch 47
[stage1_unrefined] epoch  52/100 | loss 0.186852 | train 0.015s | val AUPRC 0.834843 | val AUROC 0.972382 | thr 0.91 | best epoch 47
[stage1_unrefined] epoch  53/100 | loss 0.184172 | train 0.015s | val AUPRC 0.829797 | val AUROC 0.971477 | thr 0.93 | best epoch 47
[stage1_unrefined] epoch  54/100 | loss 0.180881 | train 0.015s | val AUPRC 0.833253 | val AUROC 0.971409 | thr 0.91 | best epoch 47
[stage1_unrefined] epoch  55/100 | loss 0.177982 | train 0.015s | val AUPRC 0.841462 | val AUROC 0.972705 | thr 0.83 | best epoch 47
[stage1_unrefined] epoch  56/100 | loss 0.175442 | train 0.015s | val AUPRC 0.836747 | val AUROC 0.971750 | thr 0.78 | best epoch 47
[stage1_unrefined] epoch  57/100 | loss 0.172373 | train 0.015s | val AUPRC 0.843787 | val AUROC 0.974795 | thr 0.85 | best epoch 47
[stage1_unrefined] epoch  58/100 | loss 0.168700 | train 0.015s | val AUPRC 0.842452 | val AUROC 0.974405 | thr 0.85 | best epoch 47
[stage1_unrefined] epoch  59/100 | loss 0.164623 | train 0.015s | val AUPRC 0.853545 | val AUROC 0.976397 | thr 0.80 | best epoch 59
[stage1_unrefined] epoch  60/100 | loss 0.181885 | train 0.015s | val AUPRC 0.810547 | val AUROC 0.959567 | thr 0.94 | best epoch 59
[stage1_unrefined] epoch  61/100 | loss 0.218999 | train 0.015s | val AUPRC 0.844701 | val AUROC 0.971179 | thr 0.86 | best epoch 59
[stage1_unrefined] epoch  62/100 | loss 0.179768 | train 0.016s | val AUPRC 0.844533 | val AUROC 0.974545 | thr 0.89 | best epoch 59
[stage1_unrefined] epoch  63/100 | loss 0.172259 | train 0.015s | val AUPRC 0.843667 | val AUROC 0.970918 | thr 0.87 | best epoch 59
[stage1_unrefined] epoch  64/100 | loss 0.187138 | train 0.015s | val AUPRC 0.853995 | val AUROC 0.973078 | thr 0.85 | best epoch 64
[stage1_unrefined] epoch  65/100 | loss 0.183646 | train 0.015s | val AUPRC 0.856273 | val AUROC 0.973261 | thr 0.62 | best epoch 65
[stage1_unrefined] epoch  66/100 | loss 0.181264 | train 0.015s | val AUPRC 0.862410 | val AUROC 0.974206 | thr 0.67 | best epoch 66
[stage1_unrefined] epoch  67/100 | loss 0.167055 | train 0.015s | val AUPRC 0.859474 | val AUROC 0.973758 | thr 0.86 | best epoch 66
[stage1_unrefined] epoch  68/100 | loss 0.164677 | train 0.015s | val AUPRC 0.844436 | val AUROC 0.971532 | thr 0.88 | best epoch 66
[stage1_unrefined] epoch  69/100 | loss 0.170583 | train 0.015s | val AUPRC 0.818109 | val AUROC 0.958576 | thr 0.89 | best epoch 66
[stage1_unrefined] epoch  70/100 | loss 0.190285 | train 0.015s | val AUPRC 0.852596 | val AUROC 0.973565 | thr 0.97 | best epoch 66
[stage1_unrefined] epoch  71/100 | loss 0.176419 | train 0.015s | val AUPRC 0.862113 | val AUROC 0.975220 | thr 0.95 | best epoch 66
[stage1_unrefined] epoch  72/100 | loss 0.185611 | train 0.015s | val AUPRC 0.868190 | val AUROC 0.975926 | thr 0.95 | best epoch 72
[stage1_unrefined] epoch  73/100 | loss 0.191559 | train 0.015s | val AUPRC 0.872367 | val AUROC 0.974904 | thr 0.93 | best epoch 73
[stage1_unrefined] epoch  74/100 | loss 0.192235 | train 0.015s | val AUPRC 0.875220 | val AUROC 0.974308 | thr 0.94 | best epoch 74
[stage1_unrefined] epoch  75/100 | loss 0.188507 | train 0.015s | val AUPRC 0.854702 | val AUROC 0.965575 | thr 0.95 | best epoch 74
[stage1_unrefined] epoch  76/100 | loss 0.199576 | train 0.015s | val AUPRC 0.874373 | val AUROC 0.974011 | thr 0.94 | best epoch 74
[stage1_unrefined] epoch  77/100 | loss 0.188111 | train 0.015s | val AUPRC 0.868344 | val AUROC 0.971567 | thr 0.95 | best epoch 74
[stage1_unrefined] epoch  78/100 | loss 0.196493 | train 0.015s | val AUPRC 0.864789 | val AUROC 0.970300 | thr 0.93 | best epoch 74
[stage1_unrefined] epoch  79/100 | loss 0.196423 | train 0.015s | val AUPRC 0.866315 | val AUROC 0.971407 | thr 0.93 | best epoch 74
[stage1_unrefined] epoch  80/100 | loss 0.189362 | train 0.015s | val AUPRC 0.867361 | val AUROC 0.972616 | thr 0.93 | best epoch 74
[stage1_unrefined] epoch  81/100 | loss 0.181028 | train 0.015s | val AUPRC 0.865044 | val AUROC 0.972522 | thr 0.95 | best epoch 74
[stage1_unrefined] epoch  82/100 | loss 0.177964 | train 0.015s | val AUPRC 0.860552 | val AUROC 0.971641 | thr 0.96 | best epoch 74
[stage1_unrefined] epoch  83/100 | loss 0.178194 | train 0.015s | val AUPRC 0.863154 | val AUROC 0.971805 | thr 0.94 | best epoch 74
[stage1_unrefined] epoch  84/100 | loss 0.174705 | train 0.015s | val AUPRC 0.867481 | val AUROC 0.973282 | thr 0.93 | best epoch 74
[stage1_unrefined] epoch  85/100 | loss 0.168472 | train 0.015s | val AUPRC 0.871509 | val AUROC 0.975099 | thr 0.95 | best epoch 74
[stage1_unrefined] epoch  86/100 | loss 0.163504 | train 0.015s | val AUPRC 0.876253 | val AUROC 0.975409 | thr 0.88 | best epoch 86
[stage1_unrefined] epoch  87/100 | loss 0.158384 | train 0.015s | val AUPRC 0.878220 | val AUROC 0.976506 | thr 0.93 | best epoch 87
[stage1_unrefined] epoch  88/100 | loss 0.155657 | train 0.015s | val AUPRC 0.878041 | val AUROC 0.977840 | thr 0.77 | best epoch 87
[stage1_unrefined] epoch  89/100 | loss 0.151667 | train 0.015s | val AUPRC 0.883570 | val AUROC 0.978526 | thr 0.79 | best epoch 89
[stage1_unrefined] epoch  90/100 | loss 0.149607 | train 0.015s | val AUPRC 0.885116 | val AUROC 0.978861 | thr 0.83 | best epoch 90
[stage1_unrefined] epoch  91/100 | loss 0.148200 | train 0.015s | val AUPRC 0.888181 | val AUROC 0.980138 | thr 0.77 | best epoch 91
[stage1_unrefined] epoch  92/100 | loss 0.149427 | train 0.015s | val AUPRC 0.868050 | val AUROC 0.973709 | thr 0.92 | best epoch 91
[stage1_unrefined] epoch  93/100 | loss 0.163029 | train 0.015s | val AUPRC 0.886742 | val AUROC 0.979930 | thr 0.69 | best epoch 91
[stage1_unrefined] epoch  94/100 | loss 0.147512 | train 0.015s | val AUPRC 0.885777 | val AUROC 0.979592 | thr 0.67 | best epoch 91
[stage1_unrefined] epoch  95/100 | loss 0.145199 | train 0.015s | val AUPRC 0.883541 | val AUROC 0.978623 | thr 0.76 | best epoch 91
[stage1_unrefined] epoch  96/100 | loss 0.135224 | train 0.015s | val AUPRC 0.878607 | val AUROC 0.977095 | thr 0.79 | best epoch 91
[stage1_unrefined] epoch  97/100 | loss 0.138591 | train 0.015s | val AUPRC 0.887497 | val AUROC 0.978616 | thr 0.79 | best epoch 91
