==============================================================================
GHRN | fdcompcn | unified | TR40 | seed 2
==============================================================================
Run ID: ghrn_fdcompcn_unified_tr40_seed2_a6000_20260913T233929Z
Device: cuda:0
Protocol: vast-v4.4  selection=auprc
Deletion ratio: 0.03 (post_aggregation)
/venv/main/lib/python3.12/site-packages/scipy/sparse/_index.py:145: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
Loaded fdcompcn: 5,317 nodes, 57 features, 4 relation(s)
[compatibility] NOTE fdcompcn is multi-relational; GHRN is a homogeneous spectral method and receives the frozen union view. Record this pair as PASS_WITH_SHARED_ADAPTER (A1).
Split: train 2,126 | valid 1,063 | test 2,128
Graph: 5,317 nodes, 12,585 stored directed edges (backend: dgl)
Training fraud/normal: 224/1,902 | fraud weight 8.4911
Parameters: 73,474 trainable
[protocol] WARNING unset identity fields: model_source_commit
------------------------------------------------------------------------------
STAGE 1: training on the unrefined graph (del_ratio = 0)
[stage1_unrefined] epoch  36/100 | loss 0.684204 | train 0.011s | val AUPRC 0.150972 | val AUROC 0.597369 | thr 0.54 | best epoch 27
[stage1_unrefined] epoch  37/100 | loss 0.683985 | train 0.011s | val AUPRC 0.151150 | val AUROC 0.597609 | thr 0.55 | best epoch 27
[stage1_unrefined] epoch  38/100 | loss 0.683767 | train 0.011s | val AUPRC 0.150952 | val AUROC 0.597308 | thr 0.54 | best epoch 27
[stage1_unrefined] epoch  39/100 | loss 0.683543 | train 0.010s | val AUPRC 0.151577 | val AUROC 0.596243 | thr 0.54 | best epoch 39
[stage1_unrefined] epoch  40/100 | loss 0.683309 | train 0.011s | val AUPRC 0.152427 | val AUROC 0.595914 | thr 0.54 | best epoch 40
[stage1_unrefined] epoch  41/100 | loss 0.683068 | train 0.010s | val AUPRC 0.152634 | val AUROC 0.596064 | thr 0.54 | best epoch 41
[stage1_unrefined] epoch  42/100 | loss 0.682819 | train 0.011s | val AUPRC 0.152701 | val AUROC 0.595651 | thr 0.54 | best epoch 42
[stage1_unrefined] epoch  43/100 | loss 0.682565 | train 0.010s | val AUPRC 0.152487 | val AUROC 0.595496 | thr 0.54 | best epoch 42
[stage1_unrefined] epoch  44/100 | loss 0.682304 | train 0.011s | val AUPRC 0.152254 | val AUROC 0.595482 | thr 0.56 | best epoch 42
[stage1_unrefined] epoch  45/100 | loss 0.682042 | train 0.011s | val AUPRC 0.153594 | val AUROC 0.594966 | thr 0.56 | best epoch 45
