epoch,train_seconds,validation_seconds,cumulative_seconds,train_loss,validation_auroc,validation_auprc,validation_macro_f1,validation_threshold,is_best_checkpoint,timestamp_utc,notes
0,0.33769336802652106,0.0054003080003894866,0.34309367602691054,0.6935024857521057,0.5255417229983477,0.13696732505448156,0.47219463753723934,0.52,True,2026-09-13T23:39:31.865169+00:00,stage1_unrefined
1,0.010685616987757385,0.0047540689702145755,0.3585333619848825,0.6928665637969971,0.5276729382604777,0.13813126110541912,0.5184597961494903,0.51,True,2026-09-13T23:39:32.220210+00:00,stage1_unrefined
2,0.010278651025146246,0.004919038969092071,0.3737310519791208,0.6923958659172058,0.5284756647138351,0.1393074213383536,0.5295905121548266,0.51,True,2026-09-13T23:39:32.575006+00:00,stage1_unrefined
3,0.010109447001013905,0.004872429999522865,0.3887129289796576,0.6920374631881714,0.5302876671173201,0.13943771128105664,0.5349609322010906,0.51,True,2026-09-13T23:39:32.927963+00:00,stage1_unrefined
4,0.00981239101383835,0.004788796999491751,0.4033141169929877,0.6917212009429932,0.5325831831155174,0.1424361622907775,0.53754744385525,0.51,True,2026-09-13T23:39:33.283339+00:00,stage1_unrefined
5,0.010012649989221245,0.004861138004343957,0.4181879049865529,0.6914273500442505,0.5354373216163436,0.14171851378154626,0.535969966823817,0.51,False,2026-09-13T23:39:33.639236+00:00,stage1_unrefined
6,0.009804747009184211,0.004821932001505047,0.43281458399724215,0.6911234259605408,0.5427933002854138,0.143389928293628,0.5325149620451635,0.52,True,2026-09-13T23:39:33.996003+00:00,stage1_unrefined
7,0.009338510048110038,0.004753012966830283,0.4469061070121825,0.6908090710639954,0.5496469881327926,0.14294500761354767,0.5370289716207035,0.52,False,2026-09-13T23:39:34.349009+00:00,stage1_unrefined
8,0.009056001028511673,0.004742368008010089,0.46070447604870424,0.6904879212379456,0.5599462971308397,0.14517054467397164,0.534755102852823,0.52,True,2026-09-13T23:39:34.700128+00:00,stage1_unrefined
9,0.009829153015743941,0.004775782988872379,0.47530941205332056,0.6901694536209106,0.5691424440438636,0.14627426898281815,0.5335657101973852,0.52,True,2026-09-13T23:39:35.059589+00:00,stage1_unrefined
10,0.010182561993133277,0.004926184948999435,0.49041815899545327,0.6898613572120667,0.5788033273246207,0.1467155881643891,0.5333253512132823,0.53,True,2026-09-13T23:39:35.420274+00:00,stage1_unrefined
