epoch,avg_train_loss,train_seconds,validation_seconds,val_auprc,val_auroc,best_val_auprc_so_far,best_epoch_so_far,patience_count,peak_gpu_memory_mb_so_far
1,0.3050387347186053,15.182487623002089,7.277648727998894,0.5305597856279702,0.8355334975984031,0.5305597856279702,1,0,159.296875
2,0.27641110950046116,14.315200778000872,6.961948602998746,0.6909924088863881,0.87611112843865,0.6909924088863881,2,0,159.296875
3,0.26097972304732714,14.165891760996601,6.615347144004772,0.7631559818173441,0.9009146341463414,0.7631559818173441,3,0,159.296875
4,0.24889403802377205,14.50995256799797,7.315182845995878,0.7957363872128863,0.9123573077162995,0.7957363872128863,4,0,159.296875
5,0.22883014325742368,14.197336229997745,7.172171688005619,0.8076786497564419,0.9175932568149211,0.8076786497564419,5,0,159.296875
6,0.21408882847538702,13.908394001999113,6.997486234999087,0.8189764341096656,0.9251957145530534,0.8189764341096656,6,0,159.296875
7,0.19815573868928132,14.967530401998374,7.0805664349973085,0.8174734284086423,0.9201819911421621,0.8189764341096656,6,1,159.296875
8,0.19358788596259224,15.540507682999305,7.408361355999659,0.8335456218093347,0.9322640509013785,0.8335456218093347,8,0,159.296875
9,0.17558740686487267,14.381539010995766,7.585315987998911,0.840866753679284,0.938845050215208,0.840866753679284,9,0,159.296875
10,0.169015160313359,16.38485484699777,7.310530075003044,0.8408483000291312,0.931655854282328,0.840866753679284,9,1,159.296875
11,0.1586687476546676,16.41388303200074,7.004568798998662,0.847506466436565,0.9354180961886345,0.847506466436565,11,0,159.296875
12,0.15679959897641782,17.94412494899734,6.699201802999596,0.8512322908976689,0.9348800761025513,0.8512322908976689,12,0,159.296875
13,0.14667399724324545,15.496698784998443,6.7664204530010466,0.8593157625439882,0.9460264487555362,0.8593157625439882,13,0,159.296875
14,0.14764599446897153,13.856380698001885,7.5638943489975645,0.8598690612997381,0.9441784667207285,0.8598690612997381,14,0,159.296875
15,0.13702226568151404,13.600238619997981,8.228014744003303,0.8616379879477872,0.9436599401160253,0.8616379879477872,15,0,159.296875
16,0.13937925409387658,15.66956950599706,6.9156429060021765,0.8614217232249709,0.9435312831389183,0.8616379879477872,15,1,159.296875
17,0.13617376927976255,15.418663905998983,7.282781999994768,0.8645857499297149,0.9479952903748987,0.8645857499297149,17,0,159.296875
18,0.13513208318639686,13.77647954600252,9.390431273001013,0.8643412395822198,0.9457496413199427,0.8645857499297149,17,1,159.296875
19,0.1322624683380127,14.862456116999965,7.464265387003252,0.8678807272949011,0.9510089825962198,0.8678807272949011,19,0,159.296875
20,0.1289753207453975,15.221908808998705,9.707767387000786,0.868185831784516,0.9481434408333853,0.868185831784516,20,0,159.296875
21,0.12756528677763762,14.707955949997995,7.883616373001132,0.8785297076843,0.9626777805501839,0.8785297076843,21,0,159.296875
22,0.1221504564638491,18.261552005998965,10.000406229999498,0.8780976288247235,0.9648103674131371,0.8785297076843,21,1,159.296875
23,0.12205326115643536,14.128444909998507,7.471145810995949,0.8817009296732807,0.9654653483874991,0.8817009296732807,23,0,159.296875
24,0.128051722491229,21.90397048700106,8.131216736001079,0.8740192716790429,0.951332574387125,0.8817009296732807,23,1,159.296875
25,0.12147993511623806,19.493867117002083,10.302461635001237,0.8775699811544881,0.9598161374836255,0.8817009296732807,23,2,159.296875
26,0.12562931025469745,19.07899178400112,12.374015396002505,0.871117499188556,0.9478471399164119,0.8817009296732807,23,3,159.296875
27,0.12616390652126735,21.968215458997292,9.275143653001578,0.8812849512227657,0.9668688790468468,0.8817009296732807,23,4,159.296875
28,0.11818210283915202,20.048152343006223,12.48610393099807,0.8828740513370772,0.9673328239036866,0.8828740513370772,28,0,159.296875
29,0.11679348239192257,17.82072365899512,8.695283645996824,0.88223243356825,0.9677733765828707,0.8828740513370772,28,1,159.296875
30,0.11627384468361184,20.356013440003153,10.526116075001482,0.880664017103986,0.9668727777431226,0.8828740513370772,28,2,159.296875
31,0.11768702224448875,22.86041370100429,9.296326987998327,0.8798059653498856,0.9629896762522613,0.8828740513370772,28,3,159.296875
32,0.11384018262227376,16.036861013002635,6.788669735004078,0.8815807501742974,0.9680813735886719,0.8828740513370772,28,4,159.296875
33,0.11407325002882215,12.46041674499429,6.130648977996316,0.8817859974938569,0.9625062379140416,0.8828740513370772,28,5,159.296875
34,0.11701388712282534,12.29182106799999,7.613373991000117,0.8820888553443199,0.9592430291310585,0.8828740513370772,28,6,159.296875
