run_id,ratio,train_seed,epoch,avg_train_loss,train_seconds,validation_seconds,val_auprc,val_auroc,best_val_auprc_so_far,best_epoch_so_far,patience_count,peak_gpu_memory_mb_so_far
trial07,TR40,2,1,0.37901924502465034,15.423525209072977,7.672545097069815,0.6553940617045413,0.8797840729257294,0.6553940617045413,1,0,158.6611328125
trial07,TR40,2,2,0.12790299231006252,15.535629824036732,7.972734825103544,0.809055291724078,0.936078977057103,0.809055291724078,2,0,158.6611328125
trial07,TR40,2,3,0.09613680839538574,15.745099063031375,8.252837853040546,0.8139531319885925,0.9345960181761118,0.8139531319885925,3,0,158.6611328125
trial07,TR40,2,4,0.082237059070218,16.096601736964658,7.830610606935807,0.8187437296613689,0.9369050969012761,0.8187437296613689,4,0,158.6611328125
trial07,TR40,2,5,0.08097111794256395,15.557138349046,8.399886279948987,0.8282327931790627,0.9373015606657787,0.8282327931790627,5,0,158.6611328125
trial07,TR40,2,6,0.0748299321820659,16.10722224600613,7.867773500038311,0.8312675062411513,0.9384253049359554,0.8312675062411513,6,0,158.6611328125
trial07,TR40,2,7,0.07012325717556861,15.661342230974697,7.802590542007238,0.8384403822768894,0.9368302297903981,0.8384403822768894,7,0,158.6611328125
trial07,TR40,2,8,0.06462823960088915,18.072782014030963,8.044424938037992,0.8401679995796622,0.9385193498289306,0.8401679995796622,8,0,158.6611328125
trial07,TR40,2,9,0.06457079610516948,16.86246175901033,8.355030776001513,0.8444315689847283,0.9431714372014306,0.8444315689847283,9,0,158.6611328125
trial07,TR40,2,10,0.06352225811250749,16.715909924940206,8.202901092008688,0.8450603734793325,0.9395885111808314,0.8450603734793325,10,0,158.6611328125
trial07,TR40,2,11,0.06172210170376685,16.59374431904871,8.372717320919037,0.8482118665000402,0.950689496586908,0.8482118665000402,11,0,158.6611328125
trial07,TR40,2,12,0.059696716646994316,16.56746916694101,9.117042533005588,0.8449544245647101,0.9453857334266161,0.8482118665000402,11,1,158.6611328125
trial07,TR40,2,13,0.05770272977890507,17.228969063959084,8.498603529063985,0.8452378889498756,0.9463029477357494,0.8482118665000402,11,2,158.6611328125
trial07,TR40,2,14,0.05754252787559263,16.184446660918184,8.558175296988338,0.8472735888086026,0.9484025460718555,0.8482118665000402,11,3,158.6611328125
trial07,TR40,2,15,0.059030182899967316,17.275304847978987,8.421929914038628,0.8502109578578565,0.9499493079586689,0.8502109578578565,15,0,158.6611328125
trial07,TR40,2,16,0.0556241427698443,15.991869646008126,7.938430242007598,0.8531316731086371,0.9537103660706681,0.8531316731086371,16,0,158.6611328125
trial07,TR40,2,17,0.05632253231540803,15.870379594969563,7.722129973932169,0.8545114994595937,0.9538169502827064,0.8545114994595937,17,0,158.6611328125
trial07,TR40,2,18,0.056750824374537316,16.127206063945778,8.798494179965928,0.8558512523011603,0.9551837360606106,0.8558512523011603,18,0,158.6611328125
trial07,TR40,2,19,0.054953413624917305,19.032756922999397,8.954286744003184,0.8547463523531387,0.9522893661779896,0.8558512523011603,18,1,158.6611328125
trial07,TR40,2,20,0.05472432413408833,17.5426892520627,7.9932066049659625,0.8550921353466757,0.9525147051176279,0.8558512523011603,18,2,158.6611328125
trial07,TR40,2,21,0.05446350574493408,16.181732342927717,7.989784142002463,0.8550763878770485,0.9539106263721796,0.8558512523011603,18,3,158.6611328125
trial07,TR40,2,22,0.05406121284730973,16.20504951593466,8.100607438012958,0.8602510580561449,0.9593661521734881,0.8602510580561449,22,0,158.6611328125
trial07,TR40,2,23,0.05425618925402241,16.259933345019817,8.184161912999116,0.8585286999580891,0.9562632239105637,0.8602510580561449,22,1,158.6611328125
trial07,TR40,2,24,0.05532806150374874,15.998943867976777,7.909950155997649,0.8579578858812958,0.9538814908955323,0.8602510580561449,22,2,158.6611328125
trial07,TR40,2,25,0.0542847994835146,16.252937022945844,7.988883327925578,0.8568682178281859,0.9583130337739183,0.8602510580561449,22,3,158.6611328125
trial07,TR40,2,26,0.053040831319747433,15.956826629000716,8.211315126973204,0.8585880987604878,0.9556425276169281,0.8602510580561449,22,4,158.6611328125
trial07,TR40,2,27,0.05281412601470947,15.660115032922477,7.873160062008537,0.855798189723502,0.9535562062068891,0.8602510580561449,22,5,158.6611328125
