trial,lr,weight_decay,hid_dim,dropout,best_epoch,best_val_auprc,best_val_auroc,epochs_completed,training_wall_seconds,peak_gpu_memory_mb,test_accessed
1,0.01,0.0,64,0.4,42,0.8870825557917164,0.9713944939849992,62,1527.5088343389798,158.81494140625,False
2,0.01,1e-05,64,0.4,50,0.8876557067117321,0.9719128473068677,70,1739.9225291940384,158.81494140625,False
3,0.01,0.0001,64,0.4,34,0.8782039480437579,0.9715871938147228,54,1348.9974311960395,158.81494140625,False
4,0.01,0.001,64,0.4,12,0.8669452099778391,0.9622950051835333,32,785.9822927989298,158.81494140625,False
5,0.001,0.0,64,0.4,98,0.8869406534745671,0.9694486867091701,100,2470.1243659459287,158.81494140625,False
6,0.001,1e-05,64,0.4,98,0.8879109252471669,0.9712093546270641,100,2444.747945507057,158.81494140625,False
7,0.001,0.0001,64,0.4,97,0.8840269348800749,0.971177268722402,100,2476.3719204020454,158.81494140625,False
8,0.001,0.001,64,0.4,100,0.8792906186627726,0.9667877694432284,100,2454.529425935005,158.81494140625,False
9,0.0001,0.0,64,0.4,94,0.8523274419786797,0.9501296528710799,100,2461.18160244904,158.81494140625,False
10,0.0001,1e-05,64,0.4,94,0.851536179565338,0.9498847673458428,100,2462.132206432987,158.81494140625,False
11,0.0001,0.0001,64,0.4,94,0.8521038143910529,0.950008316518967,100,2478.9153837249614,158.81494140625,False
12,0.0001,0.001,64,0.4,96,0.851136062071345,0.9490962654588598,100,2446.2328807880403,158.81494140625,False
