epoch,train_start_utc,train_end_utc,train_seconds,validation_seconds,mean_batch_loss,validation_macro_f1,validation_fraud_f1,validation_auroc,validation_auprc,validation_gmean,validation_fraud_precision,validation_fraud_recall,is_best_checkpoint
0,2026-09-09T09:34:19.668138+00:00,2026-09-09T09:34:22.117241+00:00,2.4490804020001633,3.203964908999751,1.907681902249654,0.5579777604427306,0.3341232227488152,0.8839273321409733,0.7376931792926265,0.7503870535719711,0.20704845814977973,0.8650306748466258,True
1,2026-09-09T09:34:25.325697+00:00,2026-09-09T09:34:27.256130+00:00,1.930413124000097,0.0,1.757001797358195,,,,,,,,False
2,2026-09-09T09:34:27.256574+00:00,2026-09-09T09:34:29.186785+00:00,1.9301938739999969,0.0,1.6852657794952393,,,,,,,,False
3,2026-09-09T09:34:29.187248+00:00,2026-09-09T09:34:31.810237+00:00,2.6229705690002447,0.0,1.6051135460535686,,,,,,,,False
4,2026-09-09T09:34:31.810693+00:00,2026-09-09T09:34:33.749614+00:00,1.938892843999838,0.0,1.5848238070805867,,,,,,,,False
5,2026-09-09T09:34:33.750064+00:00,2026-09-09T09:34:35.723327+00:00,1.9732297470000049,3.1899498230000063,1.5512781143188477,0.81121547315946,0.6649350649350649,0.9180483897192666,0.8059615661812379,0.8588134412119355,0.5765765765765766,0.7852760736196319,True
6,2026-09-09T09:34:38.916959+00:00,2026-09-09T09:34:40.776500+00:00,1.8595209439999962,0.0,1.4796593586603801,,,,,,,,False
7,2026-09-09T09:34:40.776954+00:00,2026-09-09T09:34:42.708619+00:00,1.9316413520000424,0.0,1.3710859616597493,,,,,,,,False
8,2026-09-09T09:34:42.709144+00:00,2026-09-09T09:34:44.652993+00:00,1.943821430999833,0.0,1.3979933261871338,,,,,,,,False
9,2026-09-09T09:34:44.653665+00:00,2026-09-09T09:34:46.666904+00:00,2.0132113990002836,0.0,1.39117427666982,,,,,,,,False
10,2026-09-09T09:34:46.667496+00:00,2026-09-09T09:34:48.624876+00:00,1.9573606640001344,3.2982560969999213,1.3804539044698079,0.825849932604463,0.6909090909090909,0.9322417027216738,0.8302709473693098,0.8769314048961909,0.5990990990990991,0.8159509202453987,True
11,2026-09-09T09:34:51.927353+00:00,2026-09-09T09:34:53.901772+00:00,1.9743902479999633,0.0,1.3013228575388591,,,,,,,,False
12,2026-09-09T09:34:53.902398+00:00,2026-09-09T09:34:55.837287+00:00,1.934863440999834,0.0,1.2836230993270874,,,,,,,,False
13,2026-09-09T09:34:55.837840+00:00,2026-09-09T09:34:57.799518+00:00,1.9616510279997783,0.0,1.2453406651814778,,,,,,,,False
14,2026-09-09T09:34:57.800424+00:00,2026-09-09T09:34:59.708195+00:00,1.907734512999923,0.0,1.308549960454305,,,,,,,,False
15,2026-09-09T09:34:59.708780+00:00,2026-09-09T09:35:01.668129+00:00,1.959320329000093,3.23270850300014,1.2246874570846558,0.835311429808449,0.7071240105540897,0.9329000122937329,0.8293051794276256,0.8823324513836124,0.6203703703703703,0.8220858895705522,True
