ratio,seed,threshold,best_epoch,auprc,auroc,macro_f1,precision,recall,fraud_f1,gmean,training_wall_seconds,peak_gpu_memory_mb
TR40,2,0.9290163516998291,17,0.7339617646841065,0.8815214868180969,0.831803184524058,0.6986869384934347,0.6808080808080809,0.689631650750341,0.814746137699354,200.33919284198782,8591.69287109375
TR40,42,0.9127979874610901,24,0.7802241643806378,0.8842949652271686,0.8983209360570021,0.9518619436875567,0.7057239057239058,0.8105181747873164,0.8387980475651536,231.81869116800954,8591.8046875
TR40,72,0.5712346434593201,50,0.7532546744463987,0.8826482684533531,0.8119531696349257,0.607696726019529,0.7124579124579125,0.6559206447613143,0.8274021867641971,386.93219810098526,8591.9853515625
TR30,2,0.18964815139770508,40,0.5570193252097548,0.8645664539732337,0.7034283766816039,0.3624376336421953,0.6848484848484848,0.4740153810300629,0.7840236494605388,244.7759481940011,8591.939453125
TR30,42,0.052441153675317764,7,0.6883195074100227,0.8604024864618084,0.6667986852854666,0.2972683449384039,0.7474747474747475,0.4253688446062464,0.7969725286585466,111.21523734700168,8592.07763671875
TR30,72,0.07970142364501953,24,0.6386541103396511,0.8675793860115896,0.6712081960137889,0.30344450519409516,0.7474747474747475,0.4316546762589928,0.7990106877232902,184.02740746800555,8591.75341796875
TR20,2,0.3424851596355438,10,0.5739008880693115,0.8488550761855846,0.6992246907884749,0.3549965059399022,0.6841750841750842,0.46744881527490223,0.7822120014711139,91.9102906230255,8592.07763671875
TR20,42,0.20364390313625336,21,0.500054215210255,0.8423044192111989,0.5865902568648482,0.20690902514017,0.7703703703703704,0.32620473339036216,0.759565435967121,124.03884526499314,8591.9853515625
TR20,72,0.0262797549366951,38,0.4996319404048579,0.8264494270850203,0.6337477557467114,0.25614651279478173,0.6875420875420876,0.37324072381648693,0.7555214654764851,178.19247558698407,8591.9853515625
TR10,2,0.0182998888194561,4,0.3452708096295815,0.8064151786609415,0.7010269133948797,0.39001413094677345,0.5575757575757576,0.458980044345898,0.7184915431555404,41.379055847995915,8592.75537109375
TR10,42,0.0006319019594229758,20,0.13606619648654664,0.7010056088445918,0.4578086961496142,0.1272767171384683,0.7811447811447811,0.21888857439381074,0.6522050615570189,72.07230360299582,8592.21826171875
TR10,72,0.0005948662292212248,27,0.12088491961740064,0.6489744366863011,0.44811352844649727,0.11460342675592874,0.6801346801346801,0.19615459312487862,0.613389926978255,80.80834342801245,8592.3955078125
