epoch,train_start_utc,train_end_utc,train_seconds,validation_seconds,mean_batch_loss,validation_macro_f1,validation_fraud_f1,validation_auroc,validation_auprc,validation_gmean,validation_fraud_precision,validation_fraud_recall,is_best_checkpoint
0,2026-09-09T09:22:39.247667+00:00,2026-09-09T09:22:41.703300+00:00,2.455614111000159,3.161394968999957,1.907681902249654,0.5579777604427306,0.3341232227488152,0.8839273321409733,0.7376931792926265,0.7503870535719711,0.20704845814977973,0.8650306748466258,True
1,2026-09-09T09:22:44.869004+00:00,2026-09-09T09:22:46.813865+00:00,1.9448416649997853,0.0,1.757001797358195,,,,,,,,False
2,2026-09-09T09:22:46.814345+00:00,2026-09-09T09:22:48.757414+00:00,1.9430515159997412,0.0,1.6852657794952393,,,,,,,,False
3,2026-09-09T09:22:48.757806+00:00,2026-09-09T09:22:50.651553+00:00,1.8937284019998515,0.0,1.6051135460535686,,,,,,,,False
4,2026-09-09T09:22:50.651974+00:00,2026-09-09T09:22:53.368864+00:00,2.7168726299996706,0.0,1.5848238070805867,,,,,,,,False
5,2026-09-09T09:22:53.369389+00:00,2026-09-09T09:22:55.312814+00:00,1.9433958820000043,3.1891660439996485,1.5512781143188477,0.81121547315946,0.6649350649350649,0.9180483897192666,0.8059615661812379,0.8588134412119355,0.5765765765765766,0.7852760736196319,True
6,2026-09-09T09:22:58.505733+00:00,2026-09-09T09:23:00.394756+00:00,1.8889917599999535,0.0,1.4796593586603801,,,,,,,,False
7,2026-09-09T09:23:00.395275+00:00,2026-09-09T09:23:02.381477+00:00,1.9861819340003422,0.0,1.3710859616597493,,,,,,,,False
8,2026-09-09T09:23:02.382026+00:00,2026-09-09T09:23:04.301047+00:00,1.9189947229997415,0.0,1.3979933261871338,,,,,,,,False
9,2026-09-09T09:23:04.301590+00:00,2026-09-09T09:23:06.260249+00:00,1.9586320390003493,0.0,1.39117427666982,,,,,,,,False
10,2026-09-09T09:23:06.260725+00:00,2026-09-09T09:23:08.209716+00:00,1.948973974999717,3.2360488039998927,1.3804539044698079,0.825849932604463,0.6909090909090909,0.9322417027216738,0.8302709473693098,0.8769314048961909,0.5990990990990991,0.8159509202453987,True
11,2026-09-09T09:23:11.449691+00:00,2026-09-09T09:23:13.365212+00:00,1.9155014259999916,0.0,1.3013228575388591,,,,,,,,False
12,2026-09-09T09:23:13.365797+00:00,2026-09-09T09:23:15.291406+00:00,1.9255806179999126,0.0,1.2836230993270874,,,,,,,,False
13,2026-09-09T09:23:15.291981+00:00,2026-09-09T09:23:17.223893+00:00,1.9318887559998075,0.0,1.2453406651814778,,,,,,,,False
14,2026-09-09T09:23:17.224557+00:00,2026-09-09T09:23:19.118173+00:00,1.8935882220002895,0.0,1.308549960454305,,,,,,,,False
15,2026-09-09T09:23:19.118762+00:00,2026-09-09T09:23:21.082721+00:00,1.9639362890002303,3.216706717999841,1.2246874570846558,0.835311429808449,0.7071240105540897,0.9329000122937329,0.8293051794276256,0.8823324513836124,0.6203703703703703,0.8220858895705522,True
16,2026-09-09T09:23:24.303236+00:00,2026-09-09T09:23:26.146408+00:00,1.843152474999897,0.0,1.1741888523101807,,,,,,,,False
17,2026-09-09T09:23:26.147017+00:00,2026-09-09T09:23:28.056672+00:00,1.9096291830001064,0.0,1.1449658870697021,,,,,,,,False
18,2026-09-09T09:23:28.057287+00:00,2026-09-09T09:23:30.069367+00:00,2.0120627009996497,0.0,1.2027204434076946,,,,,,,,False
19,2026-09-09T09:23:30.069986+00:00,2026-09-09T09:23:32.118226+00:00,2.0482223829999384,0.0,1.1910480658213298,,,,,,,,False
20,2026-09-09T09:23:32.118892+00:00,2026-09-09T09:23:34.099492+00:00,1.9805715610000334,3.23066559300014,1.1224261124928792,0.8164134187297232,0.6751269035532995,0.9268681516967335,0.8139834864863352,0.8742206367261167,0.5757575757575758,0.8159509202453987,False
21,2026-09-09T09:23:37.330850+00:00,2026-09-09T09:23:39.254437+00:00,1.9235664450002332,0.0,1.181273063023885,,,,,,,,False
22,2026-09-09T09:23:39.255073+00:00,2026-09-09T09:23:41.255380+00:00,2.000267163999979,0.0,1.08193701505661,,,,,,,,False
23,2026-09-09T09:23:41.256041+00:00,2026-09-09T09:23:43.241230+00:00,1.9851699319997351,0.0,1.0658931334813435,,,,,,,,False
24,2026-09-09T09:23:43.241838+00:00,2026-09-09T09:23:45.196223+00:00,1.9543660310000632,0.0,1.151022990544637,,,,,,,,False
25,2026-09-09T09:23:45.197503+00:00,2026-09-09T09:23:47.128173+00:00,1.9306440260002091,4.060649921000277,1.06105903784434,0.8287768244934637,0.6961038961038961,0.9373376533246617,0.8161247623482651,0.8805237734624051,0.6036036036036037,0.8220858895705522,True
26,2026-09-09T09:23:51.192808+00:00,2026-09-09T09:23:53.110698+00:00,1.917869638999946,0.0,1.0769699017206829,,,,,,,,False
27,2026-09-09T09:23:53.111457+00:00,2026-09-09T09:23:55.001579+00:00,1.890092862000074,0.0,1.1087222496668498,,,,,,,,False
28,2026-09-09T09:23:55.002333+00:00,2026-09-09T09:23:56.953622+00:00,1.9512659049996728,0.0,1.0147745211919148,,,,,,,,False
29,2026-09-09T09:23:56.954355+00:00,2026-09-09T09:23:58.973471+00:00,2.019097664000128,0.0,1.0846829414367676,,,,,,,,False
30,2026-09-09T09:23:58.974234+00:00,2026-09-09T09:24:00.998265+00:00,2.024010755999825,3.2915954089999104,1.070220907529195,0.8432016282147172,0.7197802197802198,0.9433457195997796,0.8180359642471967,0.8759653682191414,0.6517412935323383,0.803680981595092,True
31,2026-09-09T09:24:04.294116+00:00,2026-09-09T09:24:06.276546+00:00,1.9824093049996918,0.0,1.08936603864034,,,,,,,,False
32,2026-09-09T09:24:06.277340+00:00,2026-09-09T09:24:08.323238+00:00,2.045878516000357,0.0,1.1034648418426514,,,,,,,,False
33,2026-09-09T09:24:08.324077+00:00,2026-09-09T09:24:10.255235+00:00,1.9311295190000237,0.0,1.0974280039469402,,,,,,,,False
34,2026-09-09T09:24:10.256027+00:00,2026-09-09T09:24:12.298560+00:00,2.042508326999723,0.0,1.0344212849934895,,,,,,,,False
35,2026-09-09T09:24:12.299413+00:00,2026-09-09T09:24:14.271868+00:00,1.9724363830000584,3.2763703340001484,1.0271414518356323,0.8707662680459312,0.7679083094555874,0.9382339061155374,0.8282805704041462,0.8913207898536438,0.7204301075268817,0.8220858895705522,False
36,2026-09-09T09:24:17.549151+00:00,2026-09-09T09:24:19.473802+00:00,1.9246181690000412,0.0,1.017035722732544,,,,,,,,False
37,2026-09-09T09:24:19.474759+00:00,2026-09-09T09:24:21.415359+00:00,1.9405758610000703,0.0,1.054880936940511,,,,,,,,False
38,2026-09-09T09:24:21.416206+00:00,2026-09-09T09:24:23.413024+00:00,1.9967949980000412,0.0,0.9604241847991943,,,,,,,,False
39,2026-09-09T09:24:23.413886+00:00,2026-09-09T09:24:25.295720+00:00,1.8818156669999553,0.0,1.0461899439493816,,,,,,,,False
40,2026-09-09T09:24:25.296627+00:00,2026-09-09T09:24:27.246508+00:00,1.9498616930000026,3.230725548999999,1.0625637372334797,0.8725948861849585,0.7701492537313432,0.9514754462426782,0.8328681812181326,0.8771620103294461,0.75,0.7914110429447853,True
41,2026-09-09T09:24:30.481299+00:00,2026-09-09T09:24:32.464476+00:00,1.983156658000098,0.0,0.9376514355341593,,,,,,,,False
42,2026-09-09T09:24:32.465469+00:00,2026-09-09T09:24:34.466141+00:00,2.000642111000161,0.0,1.007250189781189,,,,,,,,False
43,2026-09-09T09:24:34.467043+00:00,2026-09-09T09:24:36.414614+00:00,1.9475497350003934,0.0,1.0218249162038167,,,,,,,,False
44,2026-09-09T09:24:36.415620+00:00,2026-09-09T09:24:38.360491+00:00,1.9448441559998173,0.0,1.0213195482889812,,,,,,,,False
45,2026-09-09T09:24:38.361361+00:00,2026-09-09T09:24:41.090698+00:00,2.729320738000297,3.241174862999742,1.060705025990804,0.847875816993464,0.7277777777777777,0.9468672792382643,0.8139900487702144,0.8771507075546523,0.6649746192893401,0.803680981595092,False
46,2026-09-09T09:24:44.332819+00:00,2026-09-09T09:24:46.278739+00:00,1.945900342999721,0.0,0.9835442105929056,,,,,,,,False
47,2026-09-09T09:24:46.279679+00:00,2026-09-09T09:24:48.202037+00:00,1.9223305840000648,0.0,1.0785607894261677,,,,,,,,False
48,2026-09-09T09:24:48.202980+00:00,2026-09-09T09:24:50.080061+00:00,1.8770625729998756,0.0,0.9916053811709086,,,,,,,,False
49,2026-09-09T09:24:50.081329+00:00,2026-09-09T09:24:52.056883+00:00,1.9755305119997502,0.0,1.0421886841456096,,,,,,,,False
50,2026-09-09T09:24:52.057940+00:00,2026-09-09T09:24:53.980254+00:00,1.922279276000154,3.2615754699995705,1.0217174887657166,0.8611875879619623,0.7492447129909365,0.9438652289608624,0.8072801068876354,0.8597088031932479,0.7380952380952381,0.7607361963190185,False
