epoch,logged_loss,legacy_minibatch_seconds
0,0.6779377460479736,1.839676856994629
1,0.6842811107635498,1.7109038829803467
2,0.6759616533915201,1.7274253368377686
3,0.6614518165588379,1.7532563209533691
4,0.6582810878753662,1.8281078338623047
5,0.6537692546844482,1.7464420795440674
6,0.6183281739552816,1.8101463317871094
7,0.6316820780436198,1.700671911239624
8,0.6471023559570312,1.7358322143554688
9,0.638826052347819,1.730506181716919
10,0.6533284187316895,1.8392329216003418
11,0.6244873205820719,1.735804557800293
12,0.6341019074122111,1.8235948085784912
13,0.6358497937520345,1.7204864025115967
14,0.6314655939737955,1.7009289264678955
15,0.6381736199061075,1.7460196018218994
16,0.6221325397491455,1.7828691005706787
17,0.6376089255015055,1.7252600193023682
18,0.6303501923878988,1.8143236637115479
19,0.6470948855082194,1.6865785121917725
20,0.6344993909200033,1.7100107669830322
21,0.5946071147918701,1.7372550964355469
22,0.6138389110565186,1.7347359657287598
23,0.610432505607605,1.7191517353057861
24,0.6218349933624268,1.833268404006958
25,0.6213409900665283,1.7083280086517334
26,0.5996708869934082,1.7796030044555664
27,0.5977587302525839,1.8508567810058594
28,0.606194814046224,1.6853063106536865
29,0.6042858759562174,1.7664878368377686
30,0.6064040263493856,1.7761955261230469
31,0.6073141495386759,1.7198054790496826
32,0.6119740804036459,1.7527110576629639
33,0.6101873715718588,1.8402001857757568
34,0.6008582909901937,1.7004117965698242
35,0.6108806133270264,1.7131602764129639
36,0.6055737733840942,1.7310192584991455
37,0.6176274617513021,1.730210304260254
38,0.598866860071818,1.7528245449066162
39,0.5858626365661621,1.811535120010376
40,0.6035046577453613,1.7175180912017822
41,0.6064281463623047,1.8108868598937988
42,0.5906188488006592,1.734872817993164
43,0.5839927991231283,1.7354977130889893
44,0.602483073870341,1.7073097229003906
45,0.6034870545069376,1.8202831745147705
46,0.6017409960428873,1.7422475814819336
47,0.582206130027771,1.8261454105377197
48,0.5690751075744629,1.745729684829712
49,0.5833032925923666,1.720268964767456
50,0.5947307348251343,1.727067232131958
