threshold,macro_f1,fraud_recall
0.41000000000000003,0.8577592688709421,0.7213483146067415
0.39,0.8575042447604615,0.7250936329588015
0.35000000000000003,0.8573427333730221,0.7295880149812735
0.34,0.8572619348178199,0.7318352059925094
0.38,0.8572376296466313,0.7258426966292135
0.4,0.857224300170776,0.7228464419475655
0.32,0.8571917737020347,0.7370786516853932
0.36000000000000004,0.8569782492633284,0.7280898876404495
0.31,0.8569333090485041,0.7393258426966293
0.33,0.8569224710023211,0.7363295880149813
0.44,0.8568074667254698,0.7123595505617978
0.37,0.856792239193555,0.7265917602996255
0.42000000000000004,0.8567382724591991,0.7161048689138577
0.43,0.8567297475185534,0.7146067415730337
0.45,0.8560505624474619,0.7078651685393258
0.3,0.8557869306763132,0.7400749063670412
0.51,0.8557626585416791,0.6943820224719102
0.47000000000000003,0.8556524050281186,0.7033707865168539
0.54,0.8556238914561329,0.6891385767790262
0.55,0.85561007215879,0.6876404494382022
0.46,0.8554815845436722,0.7048689138576779
0.52,0.8553668864175028,0.6913857677902622
0.29000000000000004,0.8553569735098484,0.7423220973782771
0.53,0.8553529999801743,0.6898876404494382
0.48000000000000004,0.8552622971869648,0.700374531835206
0.5,0.8550394858021511,0.695880149812734
0.49,0.8549680216644271,0.69812734082397
0.5800000000000001,0.8547902030528874,0.6801498127340824
0.5700000000000001,0.8545187984655997,0.6808988764044944
0.59,0.8543831889994936,0.6771535580524345
0.28,0.8541459431833763,0.7453183520599251
0.6,0.8540761099664117,0.6749063670411986
0.56,0.8540621723242583,0.6816479400749064
0.61,0.8536642245163256,0.6719101123595506
0.26,0.8535576617952956,0.7490636704119851
0.27,0.8534575129965565,0.746816479400749
0.25,0.852873291734738,0.750561797752809
0.62,0.852790948544434,0.6696629213483146
0.24000000000000002,0.8526281743293842,0.7528089887640449
0.21000000000000002,0.8521677516396344,0.7617977528089888
0.23,0.8517873983331263,0.7558052434456929
0.2,0.8517547225946407,0.7640449438202247
0.63,0.8517056451941358,0.6659176029962547
0.19,0.8516919716226325,0.7677902621722846
0.22,0.8515455679059087,0.7580524344569288
0.64,0.8509081946831156,0.6629213483146067
0.18000000000000002,0.8506853091957896,0.7692883895131086
0.17,0.850189293515279,0.7707865168539326
0.65,0.8499196324677754,0.6599250936329588
0.66,0.8493303072314868,0.6584269662921348
0.16,0.8490355890728947,0.7737827715355805
0.67,0.8486318651318452,0.6561797752808989
0.68,0.8476032704221403,0.651685393258427
0.15000000000000002,0.8475589995192843,0.7767790262172285
0.14,0.8451674694359651,0.7775280898876404
0.6900000000000001,0.8448082223568802,0.6441947565543071
0.7000000000000001,0.8439830080503817,0.6411985018726591
0.7100000000000001,0.8438697073937232,0.6404494382022472
0.74,0.8436350239756797,0.6352059925093633
0.13,0.8435763326940134,0.7820224719101123
0.73,0.8434879359199705,0.6367041198501873
0.75,0.8431751669623204,0.6322097378277154
0.72,0.8429251912916258,0.6367041198501873
0.76,0.842712056289451,0.6292134831460674
0.11,0.8419850014550827,0.7917602996254681
0.77,0.8417503541995234,0.6254681647940075
0.12,0.8416426083508246,0.7835205992509363
0.78,0.8401665382143744,0.6202247191011236
0.09999999999999999,0.8395078600733221,0.7925093632958802
0.79,0.8393098062762907,0.6172284644194757
0.8,0.8388957055214723,0.6134831460674157
0.09,0.8378211462450593,0.797003745318352
0.81,0.8365910883666832,0.6074906367041198
0.08,0.8363106818844268,0.8014981273408239
0.8200000000000001,0.8360301677706832,0.6052434456928839
0.8300000000000001,0.8340178813537924,0.6
0.06999999999999999,0.8329536586430604,0.8059925093632959
0.8400000000000001,0.8316753867800675,0.5940074906367041
0.060000000000000005,0.8302562273557144,0.8142322097378277
0.85,0.8292419239865363,0.5865168539325842
0.05,0.8278149504286372,0.8254681647940075
0.86,0.8265109137569527,0.5775280898876405
0.04,0.8246233466603893,0.8337078651685393
0.87,0.8243409642616621,0.5707865168539326
0.88,0.8239272030651341,0.5685393258426966
0.89,0.8220551476058459,0.5625468164794007
0.9,0.8201637941829822,0.5565543071161049
0.03,0.819074033088032,0.8471910112359551
0.91,0.8188649568688957,0.5498127340823971
0.92,0.8157675572179797,0.5408239700374532
0.93,0.8117135474922408,0.5310861423220974
0.9400000000000001,0.808519477570893,0.5220973782771535
0.02,0.806430776924211,0.8614232209737828
0.9500000000000001,0.803330986607674,0.5093632958801498
0.9600000000000001,0.7955589218489323,0.4898876404494382
0.97,0.7884646239387951,0.47340823970037454
0.01,0.7802796819568592,0.8861423220973783
0.98,0.7771726890196234,0.44644194756554306
0.99,0.759684409250313,0.40749063670411984
