epoch,train_seconds,valid_seconds,peak_memory_bytes,loss
0,0.8483162177726626,0.21514998003840446,1842352128,1.7202309370040894
1,0.27172078005969524,0.20628588646650314,1928893440,1.707470417022705
2,0.28725660499185324,0.22440518718212843,1928843776,1.700071096420288
3,0.2704074000939727,0.20628546737134457,1928706048,1.6945757865905762
4,0.28306983038783073,0.2216828539967537,1928843776,1.6884443759918213
5,0.2682369453832507,0.2062625978142023,1928706048,1.6810104846954346
6,0.2713028881698847,0.2061357144266367,1928843776,1.6719390153884888
7,0.2683630380779505,0.2068775286898017,1928706048,1.6616255044937134
8,0.2691918481141329,0.20611040852963924,1928843776,1.6505271196365356
9,0.2689134534448385,0.20720781199634075,1928706048,1.6380677223205566
10,0.2686598477885127,0.20695718936622143,1928843776,1.6231167316436768
11,0.2690402688458562,0.2065595705062151,1928706048,1.606050729751587
12,0.2686591958627105,0.2096908837556839,1928843776,1.586874008178711
13,0.26952600572258234,0.20686716120690107,1928706048,1.563413143157959
14,0.2685379730537534,0.2064486462622881,1928843776,1.5424020290374756
15,0.2686532260850072,0.20682240277528763,1928706048,1.5180537700653076
16,0.27133394591510296,0.20764924120157957,1928843776,1.4934816360473633
17,0.26921838242560625,0.2069569081068039,1928706048,1.4745690822601318
18,0.2833156380802393,0.21542926039546728,1928843776,1.4587783813476562
19,0.2804691707715392,0.2173256315290928,1928706048,1.4449107646942139
20,0.28126156982034445,0.2198183834552765,1928843776,1.431797981262207
21,0.2687931405380368,0.21006983518600464,1928706048,1.4189376831054688
22,0.2717240834608674,0.2073459904640913,1928843776,1.4023035764694214
23,0.268222089856863,0.20961815863847733,1928706048,1.3907335996627808
24,0.26892540231347084,0.2095445515587926,1928843776,1.368825078010559
25,0.26832263451069593,0.20924765337258577,1928706048,1.3527356386184692
26,0.2686043558642268,0.2119896663352847,1928843776,1.3325459957122803
27,0.2682538563385606,0.22138863522559404,1928706048,1.3216363191604614
28,0.28299469593912363,0.21973727270960808,1928843776,1.3030023574829102
29,0.2845696406438947,0.21714572235941887,1928706048,1.298191785812378
30,0.28088316787034273,0.2199652036651969,1928843776,1.2846688032150269
31,0.28352736588567495,0.20701038744300604,1928706048,1.2707905769348145
32,0.27583941351622343,0.20918044447898865,1928843776,1.2654016017913818
33,0.27051589637994766,0.2075303541496396,1928706048,1.2528743743896484
34,0.26900707464665174,0.21273583732545376,1928843776,1.248782992362976
35,0.26922800578176975,0.20666974782943726,1928706048,1.2381372451782227
36,0.26968895085155964,0.2130163200199604,1928843776,1.2292225360870361
37,0.2697893725708127,0.2091295998543501,1928706048,1.2169195413589478
38,0.27374502550810575,0.2082823272794485,1928843776,1.2147505283355713
39,0.2725535435602069,0.20823334995657206,1928706048,1.2096235752105713
40,0.27140145003795624,0.2080637663602829,1928843776,1.2032115459442139
41,0.2865097261965275,0.21476161666214466,1928706048,1.1999531984329224
42,0.2826922610402107,0.2190930088981986,1928843776,1.1936235427856445
43,0.2832320472225547,0.2180728018283844,1928706048,1.1887106895446777
44,0.2765772705897689,0.21035050693899393,1928843776,1.1828980445861816
45,0.27206633519381285,0.21920892503112555,1928706048,1.1758404970169067
46,0.28006395418196917,0.2193763731047511,1928843776,1.170487403869629
47,0.28466370794922113,0.20817019511014223,1928706048,1.1700537204742432
48,0.27298588398844004,0.21134474035352468,1928843776,1.1645777225494385
49,0.27624394185841084,0.22039374709129333,1928706048,1.164133906364441
50,0.2836577193811536,0.21999696642160416,1928843776,1.1577597856521606
51,0.2697978224605322,0.2073525618761778,1928706048,1.1560444831848145
52,0.27015531063079834,0.20741550158709288,1928843776,1.1546756029129028
53,0.2801264878362417,0.20720610301941633,1928706048,1.1510611772537231
54,0.2691095173358917,0.21045814733952284,1928843776,1.1461892127990723
55,0.2684229053556919,0.2097150692716241,1928706048,1.1421289443969727
56,0.26810760237276554,0.209785514511168,1928843776,1.1385328769683838
57,0.27241009660065174,0.2082844991236925,1928706048,1.1363568305969238
58,0.2693027127534151,0.2062575537711382,1928843776,1.1381529569625854
59,0.2681919764727354,0.21465615555644035,1928706048,1.1356850862503052
60,0.27011826634407043,0.2196944272145629,1928843776,1.1336058378219604
61,0.2813729466870427,0.21890644077211618,1928706048,1.1335117816925049
