model,datasets,dataset_list,auprc,auroc,macro_f1,fraud_f1,fraud_precision,fraud_recall,gmean,accuracy
CARE-GNN,5,YelpChi Amazon T-Finance Elliptic FDCompCN,0.51108,0.809114,0.716187,0.487243,0.592942,0.466965,0.642022,0.902286
GHRN,5,YelpChi Amazon T-Finance Elliptic FDCompCN,0.538962,0.832577,0.741624,0.535071,0.536391,0.561842,0.69659,0.90774
