dataset,model,ratio,seed,train_nodes,epochs_completed,best_epoch,best_validation_auprc,threshold,auprc,auroc,macro_f1,fraud_precision,fraud_recall,fraud_f1,gmean,train_seconds_total,train_seconds_mean,test_inference_seconds,peak_gpu_memory_mb
Amazon,PMP,TR40,2,3455,57,37,0.9259633900148442,0.35,0.9121007286306162,0.9761448521614372,0.9228129210931859,0.9140893470790378,0.8109756097560976,0.8594507269789985,0.8969359103064752,1142.3617808650451,20.041434752018336,7.340391787998669,524.91357421875
Amazon,PMP,TR40,42,3455,51,31,0.9144622617509057,0.51,0.9034128459764134,0.9706740066121888,0.9131713992473487,0.9431818181818182,0.7591463414634146,0.8412162162162162,0.8691984432888338,946.6200901569828,18.56117823837221,3.77690886399796,524.91357421875
Amazon,PMP,TR40,72,3455,91,71,0.9294350669579399,0.5,0.9074863583941848,0.9749333322936811,0.9180685716161434,0.9217081850533808,0.7896341463414634,0.8505747126436782,0.8854831751627756,1563.7678054880234,17.18426159876949,7.580445292995137,524.91357421875
Amazon,PMP,TR30,2,2591,53,33,0.9238989309103741,0.43,0.8960804934298235,0.9704264393986651,0.9224552497996259,0.9321428571428572,0.7957317073170732,0.8585526315789475,0.8893246306096246,782.8013037740093,14.769835920264326,8.204650176005089,524.91357421875
Amazon,PMP,TR30,42,2591,71,51,0.9203166136693453,0.46,0.8953301840743262,0.9723777368847858,0.9241441263714512,0.9520295202952029,0.7865853658536586,0.8614357262103506,0.88505158551706,724.7503695309861,10.207751683535015,3.660987438997836,524.91357421875
Amazon,PMP,TR30,72,2591,90,70,0.92655085868162,0.36,0.9080126591395935,0.9765776074480694,0.9201927578764659,0.8963210702341137,0.8170731707317073,0.8548644338118022,0.8994306969225184,747.9692934629566,8.310769927366184,2.488771402997372,524.91357421875
Amazon,PMP,TR20,2,1727,90,70,0.9228880744545991,0.75,0.8924373638350268,0.9695735995882978,0.915833953899174,0.96484375,0.7530487804878049,0.8458904109589042,0.8665345232778883,1386.9296506939936,15.410329452155484,3.4373638200049754,524.91357421875
Amazon,PMP,TR20,42,1727,43,23,0.9078794273596725,0.56,0.8893882591036311,0.9704264393986651,0.9158136162031807,0.9505703422053232,0.7621951219512195,0.8460236886632827,0.8712218036912287,504.1288782009651,11.723927400022445,3.0939562319981633,524.91357421875
Amazon,PMP,TR20,72,1727,77,57,0.9180543414867669,0.45,0.8952912386041237,0.9683835225500593,0.9136893137642361,0.8996539792387543,0.7926829268292683,0.8427876823338736,0.886190659141177,350.55981998304924,4.552724934844795,2.8192865300006815,524.91357421875
Amazon,PMP,TR10,2,863,58,38,0.888055910769699,0.54,0.8468046351715254,0.9458076344270475,0.9020868970236059,0.9204545454545454,0.7408536585365854,0.8209459459459459,0.8578344226961999,145.97336288498627,2.5167821187066597,2.89016526100022,524.91357421875
Amazon,PMP,TR10,42,863,50,30,0.8876156542951925,0.56,0.8285263225060646,0.937270951593787,0.9023278160356474,0.89568345323741,0.7591463414634146,0.8217821782178218,0.8672417310134632,126.25012336205691,2.5250024672411384,3.077505907000159,524.91357421875
Amazon,PMP,TR10,72,863,48,28,0.8818458831579992,0.66,0.8324423786070673,0.9430034971305595,0.9009801207940327,0.8981818181818182,0.7530487804878049,0.8192371475953565,0.863891159016378,118.3548811100336,2.465726689792367,2.669413766998332,524.91357421875
