ratio,n_seeds,auprc_mean,auprc_sd,auroc_mean,auroc_sd,macro_f1_mean,macro_f1_sd,fraud_precision_mean,fraud_precision_sd,fraud_recall_mean,fraud_recall_sd,fraud_f1_mean,fraud_f1_sd,gmean_mean,gmean_sd,total_train_seconds_mean,total_train_seconds_sd,test_inference_seconds_mean,test_inference_seconds_sd,peak_gpu_memory_mb_mean,peak_gpu_memory_mb_sd
TR40,3,0.9076666443337382,0.004346746314003166,0.9739173970224356,0.0028734354199203734,0.918017630652226,0.0048209627785632935,0.9263264501047456,0.015086061373997591,0.7865853658536586,0.02604879190645591,0.850413885279631,0.00911831918558872,0.8838725095860283,0.01393870337724339,1217.5832255033504,315.3752129364101,6.232581981663922,2.130059686237858,524.91357421875,0.0
TR30,3,0.8998077788812476,0.007115531327496261,0.9731272612438401,0.003143335357007731,0.9222640446825143,0.0019826113571241584,0.926831149224058,0.02823151665804009,0.7997967479674797,0.01564512633977704,0.8582842638670334,0.003293855927086577,0.8912689710164011,0.0073841083358597735,751.840322255984,29.218425514720792,4.784803006000099,3.019112221896946,524.91357421875,0.0
TR20,3,0.8923722871809273,0.002952027773241775,0.9694611871790074,0.0010260870942084875,0.9151122946221969,0.0012323795263885827,0.9383560238146925,0.03426833426483864,0.7693089430894308,0.020752619773030643,0.8449005939853534,0.00183104818938245,0.874648995370098,0.010266457586324485,747.2061162926693,559.3125371924682,3.11686886066794,0.3096750321210645,524.91357421875,0.0
TR10,3,0.8359244454282191,0.009623812679198955,0.9420273610504647,0.004351249209602712,0.9017982779510954,0.0007187115852902217,0.9047732722912579,0.013637712523187056,0.7510162601626016,0.009314178241780172,0.8206550905863748,0.0012972057845481062,0.8629891042420138,0.004768085523140082,130.1927891190256,14.225104352577814,2.879028311666237,0.20427389067907933,524.91357421875,0.0
