TRIAL_CONFIG | trial=07/12 | hidden=64 | bins=16 | lr=0.001
===== GAAP × YELPCHI — UNIFIED 2-EPOCH SMOKE =====
RATIO=TR40 | TRAIN_SEED=2 | SPLIT_SEED=2
AUTHOR_ARCHITECTURE_CHANGED=NO
TEST_USED_FOR_SELECTION=NO
MAX_EPOCHS=100 | PATIENCE=20
CANONICAL_NODES=45954
CANONICAL_FEATURES=32
RELATION_EDGE_ENTRIES=8051348
HOMOGENEOUS_WITH_SELF_LOOPS=8097302
SHARED_YELP_VIEW_GATE=PASS
EXACT_FROZEN_SPLIT_GATE=PASS
The shape of bin-encoded feature is torch.Size([45954, 32])
Processing dataset done!

GAAP_NATIVE_NORM_TYPE=norm01
GAAP_NATIVE_PREPROCESS=None
GAAP_AUTHOR_DATALOADER_GATE=PASS
TEST_LABELS_HIDDEN_DURING_FIT=PASS
GPU available: True (cuda), used: True
TPU available: False, using: 0 TPU cores
HPU available: False, using: 0 HPUs
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [0]
trial=07/12 | TR40 seed=2 | epoch=001 | loss=0.382399 | valAUPRC=0.482124 | valAUROC=0.819887 | best=0.482124@1 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=002 | loss=0.382087 | valAUPRC=0.480470 | valAUROC=0.814245 | best=0.482124@1 | patience=1/20
trial=07/12 | TR40 seed=2 | epoch=003 | loss=0.446368 | valAUPRC=0.478337 | valAUROC=0.815792 | best=0.482124@1 | patience=2/20
trial=07/12 | TR40 seed=2 | epoch=004 | loss=0.360024 | valAUPRC=0.499144 | valAUROC=0.819356 | best=0.499144@4 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=005 | loss=0.364983 | valAUPRC=0.553348 | valAUROC=0.851098 | best=0.553348@5 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=006 | loss=0.331507 | valAUPRC=0.540961 | valAUROC=0.843413 | best=0.553348@5 | patience=1/20
trial=07/12 | TR40 seed=2 | epoch=007 | loss=0.350666 | valAUPRC=0.577825 | valAUROC=0.858066 | best=0.577825@7 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=008 | loss=0.320616 | valAUPRC=0.581077 | valAUROC=0.860604 | best=0.581077@8 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=009 | loss=0.349179 | valAUPRC=0.605674 | valAUROC=0.870702 | best=0.605674@9 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=010 | loss=0.300213 | valAUPRC=0.630625 | valAUROC=0.879227 | best=0.630625@10 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=011 | loss=0.289673 | valAUPRC=0.651012 | valAUROC=0.885807 | best=0.651012@11 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=012 | loss=0.277319 | valAUPRC=0.663513 | valAUROC=0.892013 | best=0.663513@12 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=013 | loss=0.278597 | valAUPRC=0.666960 | valAUROC=0.888256 | best=0.666960@13 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=014 | loss=0.269656 | valAUPRC=0.665224 | valAUROC=0.888856 | best=0.666960@13 | patience=1/20
trial=07/12 | TR40 seed=2 | epoch=015 | loss=0.302474 | valAUPRC=0.694792 | valAUROC=0.898357 | best=0.694792@15 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=016 | loss=0.265251 | valAUPRC=0.714464 | valAUROC=0.905111 | best=0.714464@16 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=017 | loss=0.245806 | valAUPRC=0.720578 | valAUROC=0.907319 | best=0.720578@17 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=018 | loss=0.235699 | valAUPRC=0.714419 | valAUROC=0.908805 | best=0.720578@17 | patience=1/20
trial=07/12 | TR40 seed=2 | epoch=019 | loss=0.246163 | valAUPRC=0.734778 | valAUROC=0.915247 | best=0.734778@19 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=020 | loss=0.230600 | valAUPRC=0.741442 | valAUROC=0.918882 | best=0.741442@20 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=021 | loss=0.225066 | valAUPRC=0.752335 | valAUROC=0.922002 | best=0.752335@21 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=022 | loss=0.217187 | valAUPRC=0.754683 | valAUROC=0.922103 | best=0.754683@22 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=023 | loss=0.214088 | valAUPRC=0.775480 | valAUROC=0.930212 | best=0.775480@23 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=024 | loss=0.211973 | valAUPRC=0.773545 | valAUROC=0.928655 | best=0.775480@23 | patience=1/20
trial=07/12 | TR40 seed=2 | epoch=025 | loss=0.198029 | valAUPRC=0.773293 | valAUROC=0.925780 | best=0.775480@23 | patience=2/20
trial=07/12 | TR40 seed=2 | epoch=026 | loss=0.196167 | valAUPRC=0.793844 | valAUROC=0.936796 | best=0.793844@26 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=027 | loss=0.190299 | valAUPRC=0.780040 | valAUROC=0.935060 | best=0.793844@26 | patience=1/20
trial=07/12 | TR40 seed=2 | epoch=028 | loss=0.187492 | valAUPRC=0.794685 | valAUROC=0.937992 | best=0.794685@28 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=029 | loss=0.190907 | valAUPRC=0.805420 | valAUROC=0.940159 | best=0.805420@29 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=030 | loss=0.183612 | valAUPRC=0.798468 | valAUROC=0.939677 | best=0.805420@29 | patience=1/20
trial=07/12 | TR40 seed=2 | epoch=031 | loss=0.175086 | valAUPRC=0.803790 | valAUROC=0.937415 | best=0.805420@29 | patience=2/20
trial=07/12 | TR40 seed=2 | epoch=032 | loss=0.171607 | valAUPRC=0.811532 | valAUROC=0.942104 | best=0.811532@32 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=033 | loss=0.170017 | valAUPRC=0.814000 | valAUROC=0.943137 | best=0.814000@33 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=034 | loss=0.161153 | valAUPRC=0.811146 | valAUROC=0.940799 | best=0.814000@33 | patience=1/20
trial=07/12 | TR40 seed=2 | epoch=035 | loss=0.158691 | valAUPRC=0.801374 | valAUROC=0.937559 | best=0.814000@33 | patience=2/20
trial=07/12 | TR40 seed=2 | epoch=036 | loss=0.161881 | valAUPRC=0.810834 | valAUROC=0.942841 | best=0.814000@33 | patience=3/20
trial=07/12 | TR40 seed=2 | epoch=037 | loss=0.152583 | valAUPRC=0.812104 | valAUROC=0.940005 | best=0.814000@33 | patience=4/20
trial=07/12 | TR40 seed=2 | epoch=038 | loss=0.153397 | valAUPRC=0.833624 | valAUROC=0.945969 | best=0.833624@38 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=039 | loss=0.155199 | valAUPRC=0.836290 | valAUROC=0.951519 | best=0.836290@39 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=040 | loss=0.146882 | valAUPRC=0.844749 | valAUROC=0.954814 | best=0.844749@40 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=041 | loss=0.146847 | valAUPRC=0.847705 | valAUROC=0.953592 | best=0.847705@41 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=042 | loss=0.136489 | valAUPRC=0.840318 | valAUROC=0.951050 | best=0.847705@41 | patience=1/20
trial=07/12 | TR40 seed=2 | epoch=043 | loss=0.133070 | valAUPRC=0.846988 | valAUROC=0.954136 | best=0.847705@41 | patience=2/20
trial=07/12 | TR40 seed=2 | epoch=044 | loss=0.133103 | valAUPRC=0.848448 | valAUROC=0.957249 | best=0.848448@44 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=045 | loss=0.127344 | valAUPRC=0.845810 | valAUROC=0.952926 | best=0.848448@44 | patience=1/20
trial=07/12 | TR40 seed=2 | epoch=046 | loss=0.124383 | valAUPRC=0.857172 | valAUROC=0.957909 | best=0.857172@46 | patience=0/20
trial=07/12 | TR40 seed=2 | epoch=047 | loss=0.123798 | valAUPRC=0.843611 | valAUROC=0.952683 | best=0.857172@46 | patience=1/20
trial=07/12 | TR40 seed=2 | epoch=048 | loss=0.121937 | valAUPRC=0.850061 | valAUROC=0.957093 | best=0.857172@46 | patience=2/20
trial=07/12 | TR40 seed=2 | epoch=049 | loss=0.115679 | valAUPRC=0.853155 | valAUROC=0.957776 | best=0.857172@46 | patience=3/20
trial=07/12 | TR40 seed=2 | epoch=050 | loss=0.112870 | valAUPRC=0.853050 | valAUROC=0.958401 | best=0.857172@46 | patience=4/20
trial=07/12 | TR40 seed=2 | epoch=051 | loss=0.111541 | valAUPRC=0.850629 | valAUROC=0.956966 | best=0.857172@46 | patience=5/20
