epoch,time_s
0,3.428389310836792
1,3.270915985107422
2,3.4364330768585205
3,3.4802167415618896
4,3.543199062347412
5,3.310861110687256
6,3.423734188079834
7,3.4498608112335205
8,3.3821184635162354
9,3.5003302097320557
10,3.409425973892212
11,3.3386669158935547
12,3.3310022354125977
13,3.3555305004119873
14,3.477688789367676
15,3.537151336669922
16,3.4191267490386963
17,3.3588340282440186
18,3.2386467456817627
19,3.5398759841918945
20,3.4801549911499023
21,3.283846378326416
22,3.428105115890503
23,3.2732465267181396
24,3.2826685905456543
25,3.382463216781616
26,3.4339873790740967
27,3.2558834552764893
28,3.3588290214538574
29,3.322232484817505
30,3.349369525909424
31,3.4399704933166504
32,3.3205032348632812
33,3.411961555480957
34,3.535008430480957
35,3.3436896800994873
36,3.4906749725341797
37,3.2244906425476074
38,3.331970453262329
39,3.420091152191162
40,3.295605421066284
41,3.8298861980438232
42,3.2775142192840576
43,3.3050990104675293
44,3.3727316856384277
45,3.3764846324920654
46,3.228459119796753
47,3.2991929054260254
48,3.2193634510040283
49,3.2513389587402344
50,3.2671844959259033
51,3.210200786590576
52,3.46004056930542
53,3.332718849182129
54,3.480041027069092
55,3.43308424949646
56,3.267289638519287
