epoch,train_seconds
1,23.086166782071814
2,22.643799686804414
3,22.32428383710794
4,22.968960736878216
5,23.094306743936613
6,22.83446682104841
7,22.365528038935736
8,23.08500530081801
9,22.55451395898126
10,22.43477481394075
11,22.24138491298072
12,22.31031650211662
13,23.34515794715844
14,22.496920752106234
15,22.366910693934187
16,23.097047425806522
17,22.1000156190712
18,23.43428787193261
19,23.161796503001824
20,22.455987019930035
21,21.718541103880852
22,22.600632302928716
23,22.85003598802723
24,23.238667301135138
25,23.24353096401319
26,23.582010966958478
27,22.71663616015576
28,22.54931394290179
29,22.878291310044006
30,23.209925699047744
31,23.38181444304064
32,23.036074151983485
33,22.93577775801532
34,22.358555825194344
35,22.549421702045947
36,22.98809005599469
37,23.42123038810678
38,22.322323354892433
39,23.65100995497778
40,22.381139122880995
41,22.511424941942096
42,23.628644027980044
43,22.738280823919922
44,22.536971643101424
45,22.85079752188176
46,21.7250102290418
47,23.367465971037745
48,22.608754141023383
49,22.461989887990057
50,22.194186933804303
51,22.722958483966067
52,23.363883526064456
53,22.930298843886703
54,22.256611637072638
55,22.901144838891923
56,23.258449360029772
57,22.776367700193077
58,22.419013945152983
59,22.44747462309897
60,22.640957932919264
61,22.772011667024344
62,22.21845680521801
63,22.79562224005349
64,22.89992395392619
65,22.73692414094694
66,22.449082252103835
67,22.607726361136883
68,22.7317547861021
69,23.111690818099305
70,22.558806305052713
71,22.608665126841515
72,22.711197359953076
73,22.560500083956867
74,23.12477528792806
75,22.180920046987012
76,22.64433604083024
77,23.110140128061175
78,22.6910889740102
79,22.29700349504128
80,22.341204951051623
81,22.265151838073507
82,23.27141728019342
83,22.758462505880743
84,22.827226236928254
85,23.05437580612488
86,21.989432562841102
87,23.252208480844274
88,23.222368113929406
89,22.619220753898844
90,23.185899131000042
91,22.829869884997606
92,22.365132246166468
93,22.777798979077488
94,23.136206249939278
95,22.00990367704071
96,22.33776014111936
97,22.417096997844055
98,22.619585196953267
99,22.899304463993758
100,22.940106418915093
