epoch,time_s
0,0.07598257064819336
1,0.0469660758972168
2,0.045743703842163086
3,0.04653358459472656
4,0.03777194023132324
5,0.0379948616027832
6,0.0460207462310791
7,0.04378843307495117
8,0.04726147651672363
9,0.04546308517456055
10,0.04695296287536621
11,0.04624629020690918
12,0.046842098236083984
13,0.07331418991088867
14,0.04653334617614746
15,0.04499101638793945
16,0.04620552062988281
17,0.047377586364746094
18,0.0458216667175293
19,0.046164751052856445
20,0.07420659065246582
21,0.04591846466064453
