model,dataset,ratio,status,n_seeds,metric,mean,sd
GHRN,T-Social,TR40,NOT_RUN,0,Accuracy,,
GHRN,Elliptic,TR40,COMPLETED,3,AUROC,0.891074,0.002990
GHRN,Elliptic,TR40,COMPLETED,3,AUPRC,0.497752,0.057353
GHRN,Elliptic,TR40,COMPLETED,3,Macro-F1,0.728441,0.019130
GHRN,Elliptic,TR40,COMPLETED,3,Fraud F1,0.516759,0.028905
GHRN,Elliptic,TR40,COMPLETED,3,Fraud precision,0.397324,0.038117
GHRN,Elliptic,TR40,COMPLETED,3,Fraud recall,0.743590,0.018542
GHRN,Elliptic,TR40,COMPLETED,3,G-mean,0.820585,0.002021
GHRN,Elliptic,TR40,COMPLETED,3,Accuracy,0.893512,0.015473
GHRN,FDCompCN,TR40,COMPLETED,3,AUROC,0.552542,0.003826
GHRN,FDCompCN,TR40,COMPLETED,3,AUPRC,0.120352,0.003154
GHRN,FDCompCN,TR40,COMPLETED,3,Macro-F1,0.502988,0.005953
GHRN,FDCompCN,TR40,COMPLETED,3,Fraud F1,0.096436,0.022240
GHRN,FDCompCN,TR40,COMPLETED,3,Fraud precision,0.124942,0.017897
GHRN,FDCompCN,TR40,COMPLETED,3,Fraud recall,0.086697,0.040690
GHRN,FDCompCN,TR40,COMPLETED,3,G-mean,0.276540,0.059160
GHRN,FDCompCN,TR40,COMPLETED,3,Accuracy,0.836310,0.039444
