epoch,train_start_utc,train_end_utc,train_seconds,validation_seconds,mean_batch_loss,validation_macro_f1,validation_fraud_f1,validation_auroc,validation_auprc,validation_gmean,validation_fraud_precision,validation_fraud_recall,is_best_checkpoint
0,2026-09-09T11:50:56.070207+00:00,2026-09-09T11:50:58.542584+00:00,2.472359585999584,3.3002973619986733,1.9581685066223145,0.8294764888735382,0.6923076923076923,0.84848496662716,0.7481942506876111,0.8291044739246851,0.6724137931034483,0.7134146341463414,True
1,2026-09-09T11:51:01.847494+00:00,2026-09-09T11:51:03.792991+00:00,1.9454789179999352,0.0,1.7829814354578655,,,,,,,,False
2,2026-09-09T11:51:03.793487+00:00,2026-09-09T11:51:05.746806+00:00,1.953299804999915,0.0,1.7485982179641724,,,,,,,,False
3,2026-09-09T11:51:05.747400+00:00,2026-09-09T11:51:07.758711+00:00,2.011284797999906,0.0,1.6609829266866047,,,,,,,,False
4,2026-09-09T11:51:07.759459+00:00,2026-09-09T11:51:10.514702+00:00,2.7552139639992674,0.0,1.6792633930842082,,,,,,,,False
5,2026-09-09T11:51:10.515273+00:00,2026-09-09T11:51:12.529506+00:00,2.0142132840010163,3.2986391549984546,1.6036405563354492,0.8859387118599318,0.7922077922077922,0.9253009793525044,0.8119433818399427,0.8564101460279994,0.8472222222222222,0.7439024390243902,True
6,2026-09-09T11:51:15.831968+00:00,2026-09-09T11:51:17.754246+00:00,1.9222561110000242,0.0,1.4851382970809937,,,,,,,,False
7,2026-09-09T11:51:17.754744+00:00,2026-09-09T11:51:19.776710+00:00,2.0219474820005416,0.0,1.524495800336202,,,,,,,,False
8,2026-09-09T11:51:19.777337+00:00,2026-09-09T11:51:21.823703+00:00,2.046347067998795,0.0,1.5158462921778362,,,,,,,,False
9,2026-09-09T11:51:21.824574+00:00,2026-09-09T11:51:23.815952+00:00,1.9913589139996475,0.0,1.4579267104466755,,,,,,,,False
10,2026-09-09T11:51:23.816593+00:00,2026-09-09T11:51:25.785511+00:00,1.9688928190007573,3.2898391359995003,1.5257302522659302,0.8280425913026171,0.6923076923076923,0.9319950408583368,0.8212147559776571,0.855535644406315,0.63,0.7682926829268293,True
11,2026-09-09T11:51:29.079194+00:00,2026-09-09T11:51:31.111640+00:00,2.032426869000119,0.0,1.4280079205830891,,,,,,,,False
12,2026-09-09T11:51:31.112292+00:00,2026-09-09T11:51:33.084232+00:00,1.9719199270002719,0.0,1.4148455063501995,,,,,,,,False
13,2026-09-09T11:51:33.084828+00:00,2026-09-09T11:51:35.009290+00:00,1.9244433180010674,0.0,1.341080109278361,,,,,,,,False
14,2026-09-09T11:51:35.010270+00:00,2026-09-09T11:51:37.012199+00:00,2.0019111669989798,0.0,1.3005024592081706,,,,,,,,False
15,2026-09-09T11:51:37.012833+00:00,2026-09-09T11:51:38.977515+00:00,1.9646551639998506,3.3009036340008606,1.29856538772583,0.820707384690053,0.6807387862796834,0.9321314952279959,0.826667767984754,0.8621677501322462,0.6,0.7865853658536586,True
16,2026-09-09T11:51:42.282927+00:00,2026-09-09T11:51:44.253200+00:00,1.970241963999797,0.0,1.3108747005462646,,,,,,,,False
17,2026-09-09T11:51:44.253865+00:00,2026-09-09T11:51:46.207424+00:00,1.9535362719998375,0.0,1.2827753623326619,,,,,,,,False
18,2026-09-09T11:51:46.208095+00:00,2026-09-09T11:51:48.235991+00:00,2.0278769279993867,0.0,1.3620749711990356,,,,,,,,False
19,2026-09-09T11:51:48.236679+00:00,2026-09-09T11:51:50.174422+00:00,1.937716509000893,0.0,1.234207550684611,,,,,,,,False
20,2026-09-09T11:51:50.174989+00:00,2026-09-09T11:51:52.189496+00:00,2.0144900560007954,3.354730973000187,1.3703718582789104,0.8196001311045559,0.6814814814814815,0.9398197242841995,0.84095679666782,0.8865931117302769,0.5726141078838174,0.8414634146341463,True
21,2026-09-09T11:51:55.548190+00:00,2026-09-09T11:51:57.496388+00:00,1.9481778890003625,0.0,1.2494765122731526,,,,,,,,False
22,2026-09-09T11:51:57.497151+00:00,2026-09-09T11:51:59.488588+00:00,1.9914112810001825,0.0,1.3575092951456706,,,,,,,,False
23,2026-09-09T11:51:59.489400+00:00,2026-09-09T11:52:01.476729+00:00,1.9872864299995854,0.0,1.21635107199351,,,,,,,,False
24,2026-09-09T11:52:01.477478+00:00,2026-09-09T11:52:03.374419+00:00,1.8969214199987618,0.0,1.2281728585561116,,,,,,,,False
25,2026-09-09T11:52:03.375117+00:00,2026-09-09T11:52:06.060778+00:00,2.685642585000096,3.1996713059998,1.2916890382766724,0.7759736944075266,0.6117136659436009,0.9457145530534589,0.845119961436682,0.8797729106279885,0.47474747474747475,0.8597560975609756,True
26,2026-09-09T11:52:09.264536+00:00,2026-09-09T11:52:11.247874+00:00,1.983317400001397,0.0,1.2967342138290405,,,,,,,,False
27,2026-09-09T11:52:11.248671+00:00,2026-09-09T11:52:13.202679+00:00,1.9539841119985795,0.0,1.1532164414723713,,,,,,,,False
28,2026-09-09T11:52:13.203506+00:00,2026-09-09T11:52:15.170923+00:00,1.9673983409993525,0.0,1.2551079988479614,,,,,,,,False
29,2026-09-09T11:52:15.171719+00:00,2026-09-09T11:52:17.091424+00:00,1.919678608999675,0.0,1.1862123409907024,,,,,,,,False
30,2026-09-09T11:52:17.092303+00:00,2026-09-09T11:52:19.060005+00:00,1.9676737999998295,3.3038852080007928,1.158235987027486,0.7819251189368615,0.6211453744493393,0.9406657413760837,0.8388376984926175,0.8819571347289052,0.4862068965517241,0.8597560975609756,False
31,2026-09-09T11:52:22.364831+00:00,2026-09-09T11:52:24.310022+00:00,1.9451686590000463,0.0,1.1878513097763062,,,,,,,,False
32,2026-09-09T11:52:24.310843+00:00,2026-09-09T11:52:26.267636+00:00,1.956765244000053,0.0,1.2473130226135254,,,,,,,,False
33,2026-09-09T11:52:26.268547+00:00,2026-09-09T11:52:28.245450+00:00,1.9768819119999534,0.0,1.1648883024851482,,,,,,,,False
34,2026-09-09T11:52:28.246391+00:00,2026-09-09T11:52:30.173238+00:00,1.926817781999489,0.0,1.1131370862325032,,,,,,,,False
