=== Run: splitgnn_tfinance_unified_tr40_seed2_a6000_20260918T010905Z ===
Result dir: /workspace/splitgnn_vast/results/splitgnn/tfinance/unified/tr40/seed_2
No existing split file at /workspace/splitgnn_vast/splits/tfinance_seed2_nested_splits.npz, generating now.
Split overlap checks: PASSED
train=15742 valid=7872 test=15743
epoch 42: loss=0.8075 val_auprc=0.8606 val_auc=0.9566 val_f1_macro=0.7943 (best_epoch=42, best_auprc=0.8606)
epoch 43: loss=0.7933 val_auprc=0.8622 val_auc=0.9568 val_f1_macro=0.7884 (best_epoch=43, best_auprc=0.8622)
epoch 44: loss=0.8026 val_auprc=0.8659 val_auc=0.9571 val_f1_macro=0.7970 (best_epoch=44, best_auprc=0.8659)
epoch 45: loss=0.7910 val_auprc=0.8684 val_auc=0.9577 val_f1_macro=0.8085 (best_epoch=45, best_auprc=0.8684)
epoch 46: loss=0.7941 val_auprc=0.8688 val_auc=0.9583 val_f1_macro=0.8103 (best_epoch=46, best_auprc=0.8688)
epoch 47: loss=0.7930 val_auprc=0.8680 val_auc=0.9588 val_f1_macro=0.8114 (best_epoch=46, best_auprc=0.8688)
epoch 48: loss=0.7944 val_auprc=0.8664 val_auc=0.9591 val_f1_macro=0.8110 (best_epoch=46, best_auprc=0.8688)
epoch 49: loss=0.7835 val_auprc=0.8659 val_auc=0.9594 val_f1_macro=0.8162 (best_epoch=46, best_auprc=0.8688)
epoch 50: loss=0.7973 val_auprc=0.8662 val_auc=0.9596 val_f1_macro=0.8189 (best_epoch=46, best_auprc=0.8688)
epoch 51: loss=0.7811 val_auprc=0.8651 val_auc=0.9597 val_f1_macro=0.8114 (best_epoch=46, best_auprc=0.8688)
epoch 52: loss=0.8061 val_auprc=0.8667 val_auc=0.9598 val_f1_macro=0.8136 (best_epoch=46, best_auprc=0.8688)
epoch 53: loss=0.7805 val_auprc=0.8690 val_auc=0.9599 val_f1_macro=0.8162 (best_epoch=53, best_auprc=0.8690)
epoch 54: loss=0.7890 val_auprc=0.8717 val_auc=0.9599 val_f1_macro=0.8235 (best_epoch=54, best_auprc=0.8717)
epoch 55: loss=0.7738 val_auprc=0.8740 val_auc=0.9600 val_f1_macro=0.8247 (best_epoch=55, best_auprc=0.8740)
epoch 56: loss=0.7780 val_auprc=0.8751 val_auc=0.9601 val_f1_macro=0.8219 (best_epoch=56, best_auprc=0.8751)
epoch 57: loss=0.7815 val_auprc=0.8765 val_auc=0.9601 val_f1_macro=0.8294 (best_epoch=57, best_auprc=0.8765)
